391665:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       4864416      727944608  [B (java.base@17.0.15)
   2:       2476701      332651512  [I (java.base@17.0.15)
   3:       3689015      177072720  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   4:       3893659      124597088  java.util.HashMap$Node (java.base@17.0.15)
   5:       1205160      116575640  [Ljava.lang.Object; (java.base@17.0.15)
   6:       4112146       98691504  java.lang.String (java.base@17.0.15)
   7:        543086       56480944  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
   8:       1088026       52225248  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
   9:       2063949       49534776  java.util.ArrayList (java.base@17.0.15)
  10:        169677       43683768  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  11:       1128818       36122176  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  12:        873631       34945240  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  13:        731250       29250000  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
  14:       1156541       27756984  org.joml.Vector3f (org.joml@1.10.5)
  15:        534069       25635312  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  16:        823520       19764480  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  17:        546817       17498144  malte0811.ferritecore.fastmap.immutable.FastMapEntryImmutableMap (ferritecore@6.0.1)
  18:        329267       15804816  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  19:        637901       15309624  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  20:          1558       15013440  [C (java.base@17.0.15)
  21:        623090       14954160  net.minecraft.client.resources.model.ModelBakery$BakedCacheKey (minecraft@1.20.1)
  22:        119793       13958048  java.lang.Class (java.base@17.0.15)
  23:        570067       13681608  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
  24:        513408       12321792  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex (citadel@2.6.3)
  25:        215085       12044760  net.minecraft.client.renderer.texture.SpriteContents (minecraft@1.20.1)
  26:        238785       11461680  java.util.HashMap (java.base@17.0.15)
  27:        215084       10324032  net.minecraft.client.renderer.texture.TextureAtlasSprite (minecraft@1.20.1)
  28:        248870        9954800  it.unimi.dsi.fastutil.objects.Object2ObjectArrayMap (it.unimi.dsi.fastutil@8.5.9)
  29:        229710        9188400  net.minecraftforge.eventbus.ListenerList$ListenerListInst (net.minecraftforge.eventbus)
  30:        161436        9040416  net.minecraft.client.resources.model.SimpleBakedModel (minecraft@1.20.1)
  31:        167822        8808520  [Lcom.google.common.collect.ImmutableMapEntry; (com.google.common@31.1-jre)
  32:        218615        8718344  [Lcom.mojang.blaze3d.platform.NativeImage; (minecraft@1.20.1)
  33:        360279        8646696  com.google.common.collect.ImmutableMapEntry$NonTerminalImmutableMapEntry (com.google.common@31.1-jre)
  34:        154099        8629544  com.google.gson.internal.LinkedTreeMap (com.google.gson@2.10)
  35:        337022        8088528  java.util.ImmutableCollections$List12 (java.base@17.0.15)
