411679:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       1099691      359930576  [B (java.base@17.0.15)
   2:        800247       32009880  java.util.LinkedHashMap$Entry (java.base@17.0.15)
   3:        737522       29500880  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
   4:        178542       10105192  [Ljava.lang.Object; (java.base@17.0.15)
   5:         72200       10002776  [Ljava.util.HashMap$Node; (java.base@17.0.15)
   6:        358572        8605728  java.lang.String (java.base@17.0.15)
   7:        328143        7875432  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
   8:        208022        6656704  java.util.HashMap$Node (java.base@17.0.15)
   9:         85467        4017992  [Lcom.google.common.collect.ImmutableMapEntry; (com.google.common@31.1-jre)
  10:        124241        2981784  com.google.common.collect.ImmutableMapEntry$NonTerminalImmutableMapEntry (com.google.common@31.1-jre)
  11:         68689        2747560  com.google.common.collect.RegularImmutableMap (com.google.common@31.1-jre)
  12:         47037        2634072  java.util.LinkedHashMap (java.base@17.0.15)
  13:         51912        2348152  [Ljava.util.Map$Entry; (java.base@17.0.15)
  14:         24135        2316960  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
  15:         42562        2042976  java.util.HashMap (java.base@17.0.15)
  16:         13811        1670160  java.lang.Class (java.base@17.0.15)
  17:         44343        1418976  java.util.Hashtable$Entry (java.base@17.0.15)
  18:         26579        1384616  [D (java.base@17.0.15)
  19:         23810        1142880  com.google.common.collect.ArrayTable (com.google.common@31.1-jre)
  20:         70796        1132736  com.google.common.collect.RegularImmutableList (com.google.common@31.1-jre)
  21:          5572        1087408  [I (java.base@17.0.15)
  22:         29015         928480  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.15)
  23:         27793         889376  org.objectweb.asm.Type (org.objectweb.asm@9.8)
  24:         17906         859488  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  25:         23811         843408  [[Ljava.lang.Object; (java.base@17.0.15)
  26:         24077         770464  com.mojang.datafixers.types.templates.Product$ProductType (datafixerupper@6.0.8)
  27:         44834         717344  java.util.jar.Attributes (java.base@17.0.15)
  28:         22252         712064  com.mojang.datafixers.types.templates.Sum$SumType (datafixerupper@6.0.8)
  29:         21500         688000  com.mojang.datafixers.types.templates.Tag$TagType (datafixerupper@6.0.8)
  30:         16762         670480  it.unimi.dsi.fastutil.objects.Object2ObjectArrayMap (it.unimi.dsi.fastutil@8.5.9)
  31:         26569         637656  it.unimi.dsi.fastutil.doubles.DoubleArrayList (it.unimi.dsi.fastutil@8.5.9)
  32:         35613         569808  net.minecraft.nbt.StringTag (minecraft@1.20.1)
