399703:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       4679406      715662920  [B (java.base@17.0.15)
   2:       2398647      321251056  [I (java.base@17.0.15)
   3:       3538272      169837056  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   4:       3734091      119490912  java.util.HashMap$Node (java.base@17.0.15)
   5:       1172065      113160144  [Ljava.lang.Object; (java.base@17.0.15)
   6:       3945574       94693776  java.lang.String (java.base@17.0.15)
   7:        519964       54076256  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
   8:       1067924       51260352  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
   9:       2063708       49528992  java.util.ArrayList (java.base@17.0.15)
  10:        160116       42646336  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  11:       1079181       34533792  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  12:        851605       34064200  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  13:        712162       28486480  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
  14:       1017088       24410112  org.joml.Vector3f (org.joml@1.10.5)
  15:        493767       23700816  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  16:        790568       18973632  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  17:        524799       16793568  malte0811.ferritecore.fastmap.immutable.FastMapEntryImmutableMap (ferritecore@6.0.1)
  18:        643111       15434664  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
  19:          1540       14906176  [C (java.base@17.0.15)
  20:        301217       14458416  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  21:        594621       14270904  net.minecraft.client.resources.model.ModelBakery$BakedCacheKey (minecraft@1.20.1)
  22:        590757       14178168  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  23:        115813       13507552  java.lang.Class (java.base@17.0.15)
  24:        513408       12321792  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex (citadel@2.6.3)
  25:        211297       11832632  net.minecraft.client.renderer.texture.SpriteContents (minecraft@1.20.1)
  26:        223519       10728912  java.util.HashMap (java.base@17.0.15)
  27:        211296       10142208  net.minecraft.client.renderer.texture.TextureAtlasSprite (minecraft@1.20.1)
  28:        235064        9402560  it.unimi.dsi.fastutil.objects.Object2ObjectArrayMap (it.unimi.dsi.fastutil@8.5.9)
  29:        232224        9288960  net.minecraftforge.eventbus.ListenerList$ListenerListInst (net.minecraftforge.eventbus)
  30:        153623        8602888  net.minecraft.client.resources.model.SimpleBakedModel (minecraft@1.20.1)
  31:        214814        8567872  [Lcom.mojang.blaze3d.platform.NativeImage; (minecraft@1.20.1)
  32:        160716        8260112  [Lcom.google.common.collect.ImmutableMapEntry; (com.google.common@31.1-jre)
  33:        140103        7845768  com.google.gson.internal.LinkedTreeMap (com.google.gson@2.10)
  34:        156647        7519056  net.minecraft.client.renderer.block.model.ItemTransforms (minecraft@1.20.1)
  35:        232689        7446048  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.15)
  36:        232224        7431168  java.util.concurrent.Semaphore$FairSync (java.base@17.0.15)
  37:        302142        7251408  java.util.ImmutableCollections$List12 (java.base@17.0.15)
  38:        197642        6324544  [Lnet.minecraft.client.model.geom.ModelPart$Vertex; (minecraft@1.20.1)
  39:         99001        5544056  org.spongepowered.asm.mixin.transformer.ClassInfo$Method (org.spongepowered.mixin)
  40:         87810        5481560  [D (java.base@17.0.15)
