284281:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       2652710      296013368  [B (java.base@17.0.15)
   2:       1143290      120859176  [Ljava.lang.Object; (java.base@17.0.15)
   3:        648171       68853160  [I (java.base@17.0.15)
   4:       1808559       57873888  java.util.HashMap$Node (java.base@17.0.15)
   5:       2359169       56620056  java.lang.String (java.base@17.0.15)
   6:         74520       54681752  [J (java.base@17.0.15)
   7:       1328273       31878552  java.util.ArrayList (java.base@17.0.15)
   8:        620524       29785152  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   9:        136568       23930904  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  10:        172260       17915040  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
  11:        199524       15961920  net.minecraft.world.item.ItemStack (minecraft@1.20.1)
  12:         44208       14754952  [C (java.base@17.0.15)
  13:        362289       14491560  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  14:        363221       11623072  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  15:         86835       10118928  java.lang.Class (java.base@17.0.15)
  16:        204274        9805152  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  17:        241633        9665320  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
  18:        188574        9051552  java.util.HashMap (java.base@17.0.15)
  19:        134885        8632640  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap (it.unimi.dsi.fastutil@8.5.9)
  20:        345708        8296992  org.joml.Vector3f (org.joml@1.10.5)
  21:        151024        7249152  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  22:        149201        7161648  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  23:        295157        7083768  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  24:        280516        6732384  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
  25:        201940        6462080  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@17.0.15)
  26:        191060        6113920  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.15)
  27:        189725        6071200  java.util.concurrent.Semaphore$NonfairSync (java.base@17.0.15)
  28:        189721        6071072  net.minecraft.util.ThreadingDetector (minecraft@1.20.1)
