261038:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       4175730      653589520  [B (java.base@17.0.15)
   2:       1889024      245800688  [I (java.base@17.0.15)
   3:       1896445      209625576  [Ljava.lang.Object; (java.base@17.0.15)
   4:       2435807      116918736  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   5:       2850737       91223584  java.util.HashMap$Node (java.base@17.0.15)
   6:       3785135       90843240  java.lang.String (java.base@17.0.15)
   7:         94699       64885120  [J (java.base@17.0.15)
   8:       2182925       52390200  java.util.ArrayList (java.base@17.0.15)
   9:       1045056       50162688  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  10:        983094       39323760  software.bernie.geckolib.core.keyframe.Keyframe (geckolib@4.8.3)
  11:        155227       35312040  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  12:        281749       24793912  net.minecraft.world.item.ItemStack (minecraft@1.20.1)
  13:        998153       23955672  org.joml.Vector3f (org.joml@1.10.5)
  14:        986176       23668224  com.eliotlash.mclib.math.Constant (mclib@20)
  15:        225313       23432552  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
  16:        488820       19552800  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  17:         82790       16338040  [C (java.base@17.0.15)
  18:        478886       15324352  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  19:        313987       15071376  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  20:        619654       14871696  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  21:        125116       14544176  java.lang.Class (java.base@17.0.15)
  22:        219865       14071360  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap (it.unimi.dsi.fastutil@8.5.9)
  23:        583947       14014728  it.unimi.dsi.fastutil.objects.ObjectArrayList (it.unimi.dsi.fastutil@8.5.9)
  24:        339118       13564720  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
  25:        552528       13260672  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex (citadel@2.6.3)
  26:        266044       12770112  java.util.HashMap (java.base@17.0.15)
  27:        509506       12228144  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
  28:        506968       12167232  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  29:        236799       11366352  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  30:        263955       10558200  mezz.jei.core.search.suffixtree.Node (jei@15.20.0.130)
  31:        208237        9995376  net.minecraft.client.renderer.texture.SpriteContents (minecraft@1.20.1)
  32:        208236        9995328  net.minecraft.client.renderer.texture.TextureAtlasSprite (minecraft@1.20.1)
  33:        235350        9414000  net.minecraftforge.eventbus.ListenerList$ListenerListInst (net.minecraftforge.eventbus)
  34:        269603        8627296  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.15)
  35:        355081        8521944  java.util.ImmutableCollections$List12 (java.base@17.0.15)
  36:        210483        8384392  [Lcom.mojang.blaze3d.platform.NativeImage; (minecraft@1.20.1)
  37:        235350        7531200  java.util.concurrent.Semaphore$FairSync (java.base@17.0.15)
  38:        155321        7455408  net.fabricmc.fabric.impl.renderer.SpriteFinderImpl$Node (fabric_renderer_api_v1@3.2.2+cf68abbe77)
  39:        229971        7359072  malte0811.ferritecore.fastmap.immutable.FastMapEntryImmutableMap (ferritecore@6.0.1)
  40:        213468        6830976  net.minecraft.world.level.biome.Climate$Parameter (minecraft@1.20.1)
  41:        425121        6801936  java.util.concurrent.Semaphore (java.base@17.0.15)
  42:        133821        6738744  [Lcom.google.common.collect.ImmutableMapEntry; (com.google.common@31.1-jre)
  43:        275758        6618192  software.bernie.geckolib.core.molang.expressions.MolangValue (geckolib@4.8.3)
  44:        202244        6471808  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@17.0.15)
  45:        268833        6451992  net.minecraft.client.resources.model.ModelBakery$BakedCacheKey (minecraft@1.20.1)
  46:        152384        6095360  it.unimi.dsi.fastutil.objects.Object2ObjectArrayMap (it.unimi.dsi.fastutil@8.5.9)
  47:        189771        6072672  java.util.concurrent.Semaphore$NonfairSync (java.base@17.0.15)
  48:        189766        6072512  net.minecraft.util.ThreadingDetector (minecraft@1.20.1)
  49:        189766        6072512  net.minecraft.world.level.chunk.PalettedContainer (minecraft@1.20.1)
  50:        238632        5727168  software.bernie.geckolib.cache.object.GeoVertex (geckolib@4.8.3)
  51:         95007        5320392  net.minecraft.client.resources.model.SimpleBakedModel (minecraft@1.20.1)
  52:         93484        5235104  com.google.gson.internal.LinkedTreeMap (com.google.gson@2.10)
  53:         90337        5058872  org.spongepowered.asm.mixin.transformer.ClassInfo$Method (org.spongepowered.mixin)
  54:        300939        4815024  org.embeddedt.modernfix.resources.PackResourcesCacheEngine$Node (modernfix@5.27.12+mc1.20.1)
  55:         98282        4717536  net.minecraft.client.renderer.block.model.ItemTransforms (minecraft@1.20.1)
  56:         84171        4713576  org.objectweb.asm.Label (org.objectweb.asm@9.8)
  57:         97244        4667712  java.lang.invoke.MemberName (java.base@17.0.15)
  58:        189766        4554384  net.minecraft.world.level.chunk.PalettedContainer$Data (minecraft@1.20.1)
  59:        189721        4553304  net.minecraft.world.level.chunk.PalettedContainer$Configuration (minecraft@1.20.1)
  60:        281748        4507968  net.minecraft.world.item.ItemStack$$Lambda$2464/0x0000000800d1b398 (minecraft@1.20.1)
  61:        138132        4420224  [Lcom.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex; (citadel@2.6.3)
  62:        108704        4348160  com.google.common.collect.RegularImmutableMap (com.google.common@31.1-jre)
  63:         59030        4238136  [D (java.base@17.0.15)
  64:        172288        4134912  com.google.common.collect.ImmutableMapEntry$NonTerminalImmutableMapEntry (com.google.common@31.1-jre)
  65:        126742        4055744  [Lnet.minecraft.client.model.geom.ModelPart$Vertex; (minecraft@1.20.1)
  66:        101424        3997472  [F (java.base@17.0.15)
  67:         99058        3962320  net.minecraft.client.renderer.block.model.BlockElementFace (minecraft@1.20.1)
  68:         22756        3906536  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@17.0.15)
  69:         23002        3864336  com.github.alexthe666.citadel.client.model.AdvancedModelBox (citadel@2.6.3)
  70:        159521        3828504  net.minecraft.world.level.chunk.SingleValuePalette (minecraft@1.20.1)
  71:        235615        3769840  java.util.concurrent.atomic.AtomicReference (java.base@17.0.15)
  72:         93933        3757320  org.objectweb.asm.tree.VarInsnNode (org.objectweb.asm.tree@9.8)
  73:         93023        3720920  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@17.0.15)
  74:        230951        3695216  net.minecraft.nbt.CompoundTag (minecraft@1.20.1)
  75:        153882        3693168  net.minecraft.world.phys.Vec2 (minecraft@1.20.1)
