298782:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       3961009      632545800  [B (java.base@17.0.15)
   2:       1623814      200739208  [I (java.base@17.0.15)
   3:       1550355      169606968  [Ljava.lang.Object; (java.base@17.0.15)
   4:       1995002       95760096  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   5:       3595035       86280840  java.lang.String (java.base@17.0.15)
   6:       2546441       81486112  java.util.HashMap$Node (java.base@17.0.15)
   7:         91806       56389656  [J (java.base@17.0.15)
   8:       1831267       43950408  java.util.ArrayList (java.base@17.0.15)
   9:        902545       43322160  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  10:        174840       31860680  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  11:        239318       24889072  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
  12:        277630       22210400  net.minecraft.world.item.ItemStack (minecraft@1.20.1)
  13:        400632       19230336  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  14:        470705       18828200  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  15:        504656       16148992  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  16:         74649       15645968  [C (java.base@17.0.15)
  17:        602328       14455872  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  18:        313193       12527720  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
  19:        260371       12497808  java.util.HashMap (java.base@17.0.15)
  20:        104854       12211264  java.lang.Class (java.base@17.0.15)
  21:        165610       10599040  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap (it.unimi.dsi.fastutil@8.5.9)
  22:        424131       10179144  org.joml.Vector3f (org.joml@1.10.5)
  23:        205304        9854592  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  24:        392364        9416736  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
  25:        232876        9315040  mezz.jei.core.search.suffixtree.Node (jei@15.20.0.130)
  26:        359250        8622000  java.util.ImmutableCollections$List12 (java.base@17.0.15)
  27:        179393        8610864  net.minecraft.client.renderer.texture.SpriteContents (minecraft@1.20.1)
  28:        179392        8610816  net.minecraft.client.renderer.texture.TextureAtlasSprite (minecraft@1.20.1)
  29:        243994        7807808  malte0811.ferritecore.fastmap.immutable.FastMapEntryImmutableMap (ferritecore@6.0.1)
  30:        229575        7346400  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.15)
  31:        181039        7225480  [Lcom.mojang.blaze3d.platform.NativeImage; (minecraft@1.20.1)
  32:        180500        7220000  net.minecraftforge.eventbus.ListenerList$ListenerListInst (net.minecraftforge.eventbus)
  33:        287567        6901608  net.minecraft.client.resources.model.ModelBakery$BakedCacheKey (minecraft@1.20.1)
  34:        120700        6759200  com.google.gson.internal.LinkedTreeMap (com.google.gson@2.10)
  35:        202062        6465984  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@17.0.15)
  36:        125210        6255760  [Lcom.google.common.collect.ImmutableMapEntry; (com.google.common@31.1-jre)
  37:        189726        6071232  java.util.concurrent.Semaphore$NonfairSync (java.base@17.0.15)
  38:        189721        6071072  net.minecraft.util.ThreadingDetector (minecraft@1.20.1)
  39:        189721        6071072  net.minecraft.world.level.chunk.PalettedContainer (minecraft@1.20.1)
  40:        370226        5923616  java.util.concurrent.Semaphore (java.base@17.0.15)
  41:        123168        5912064  net.fabricmc.fabric.impl.renderer.SpriteFinderImpl$Node (fabric_renderer_api_v1@3.2.2+cf68abbe77)
  42:        180500        5776000  java.util.concurrent.Semaphore$FairSync (java.base@17.0.15)
  43:        141730        5669200  it.unimi.dsi.fastutil.objects.Object2ObjectArrayMap (it.unimi.dsi.fastutil@8.5.9)
  44:        233544        5605056  com.google.common.collect.ImmutableMapEntry$NonTerminalImmutableMapEntry (com.google.common@31.1-jre)
  45:        211375        5073000  net.minecraft.world.phys.Vec2 (minecraft@1.20.1)
  46:         87566        4903696  net.minecraft.client.resources.model.SimpleBakedModel (minecraft@1.20.1)
  47:        101594        4876512  org.embeddedt.modernfix.render.font.CompactUnihexContents$Shorts (modernfix@5.27.12+mc1.20.1)
  48:         85462        4785872  org.spongepowered.asm.mixin.transformer.ClassInfo$Method (org.spongepowered.mixin)
  49:        189721        4553304  net.minecraft.world.level.chunk.PalettedContainer$Configuration (minecraft@1.20.1)
  50:        189721        4553304  net.minecraft.world.level.chunk.PalettedContainer$Data (minecraft@1.20.1)
  51:         80620        4514720  org.objectweb.asm.Label (org.objectweb.asm@9.8)
  52:         80308        4497248  java.util.LinkedHashMap (java.base@17.0.15)
  53:        280627        4490032  org.embeddedt.modernfix.resources.PackResourcesCacheEngine$Node (modernfix@5.27.12+mc1.20.1)
  54:        277629        4442064  net.minecraft.world.item.ItemStack$$Lambda$2420/0x0000000800ca4230 (minecraft@1.20.1)
  55:         90257        4332336  net.minecraft.client.renderer.block.model.ItemTransforms (minecraft@1.20.1)
  56:         46112        4057856  java.lang.reflect.Method (java.base@17.0.15)
  57:        100691        4027640  com.google.common.collect.RegularImmutableMap (com.google.common@31.1-jre)
  58:         83174        3992352  java.lang.invoke.MemberName (java.base@17.0.15)
  59:        159521        3828504  net.minecraft.world.level.chunk.SingleValuePalette (minecraft@1.20.1)
  60:         54044        3737968  [D (java.base@17.0.15)
  61:         90845        3633800  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@17.0.15)
  62:         90504        3620160  org.objectweb.asm.tree.VarInsnNode (org.objectweb.asm.tree@9.8)
  63:         87806        3581656  [F (java.base@17.0.15)
  64:        148480        3563520  software.bernie.geckolib.cache.object.GeoVertex (geckolib@4.8.3)
  65:        110807        3545824  net.minecraft.world.level.biome.Climate$Parameter (minecraft@1.20.1)
  66:         85642        3425680  net.minecraft.client.renderer.block.model.BlockElementFace (minecraft@1.20.1)
  67:        138568        3325632  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  68:           243        3112888  [Lnet.minecraft.world.level.block.state.BlockState; (minecraft@1.20.1)
  69:         42765        3079080  java.lang.reflect.Constructor (java.base@17.0.15)
  70:        192392        3078272  java.util.concurrent.locks.ReentrantLock (java.base@17.0.15)
  71:         94860        3035520  net.minecraft.world.level.chunk.LevelChunkSection (minecraft@1.20.1)
  72:         54089        3028984  org.objectweb.asm.tree.MethodInsnNode (org.objectweb.asm.tree@9.8)
  73:         46164        2954496  java.lang.Class$ReflectionData (java.base@17.0.15)
  74:        180746        2891936  java.util.concurrent.atomic.AtomicReference (java.base@17.0.15)
  75:         72130        2885200  java.util.EnumMap (java.base@17.0.15)
  76:         89998        2879936  org.spongepowered.asm.mixin.transformer.ClassInfo$FrameData (org.spongepowered.mixin)
  77:         71912        2876480  org.objectweb.asm.tree.LabelNode (org.objectweb.asm.tree@9.8)
  78:        178038        2848608  net.minecraft.nbt.CompoundTag (minecraft@1.20.1)
  79:         69900        2796000  it.unimi.dsi.fastutil.chars.Char2ObjectArrayMap (it.unimi.dsi.fastutil@8.5.9)
  80:         12602        2785320  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@17.0.15)
  81:        173579        2777264  com.google.gson.JsonPrimitive (com.google.gson@2.10)
  82:        112990        2711760  net.minecraft.client.gui.font.providers.UnihexProvider$Glyph (minecraft@1.20.1)
  83:        118893        2624544  [Ljava.lang.String; (java.base@17.0.15)
  84:         18180        2617920  me.jellysquid.mods.sodium.client.render.chunk.RenderSection (embeddium@0.3.31+mc1.20.1)
  85:         76295        2608032  [Ljava.util.Map$Entry; (java.base@17.0.15)
  86:         53946        2589408  org.objectweb.asm.tree.LineNumberNode (org.objectweb.asm.tree@9.8)
  87:         79969        2559008  net.minecraft.core.Holder$Reference (minecraft@1.20.1)
  88:        159521        2552336  net.minecraft.util.ZeroBitStorage (minecraft@1.20.1)
  89:         52320        2511360  java.lang.invoke.MethodHandleImpl$CountingWrapper (java.base@17.0.15)
  90:         77655        2484960  org.objectweb.asm.Type (org.objectweb.asm@9.8)
  91:          1520        2466624  [Lcom.google.common.collect.HashBiMap$BiEntry; (com.google.common@31.1-jre)
  92:          1953        2416824  [S (java.base@17.0.15)
  93:        100686        2416464  java.util.ImmutableCollections$ListN (java.base@17.0.15)
  94:         70140        2244944  [[I (java.base@17.0.15)
  95:         85642        2055408  net.minecraft.client.renderer.block.model.BlockFaceUV (minecraft@1.20.1)
  96:         50397        2015880  java.lang.ref.SoftReference (java.base@17.0.15)
  97:         41688        2001024  net.minecraft.util.SimpleBitStorage (minecraft@1.20.1)
  98:         35065        1963640  net.minecraft.client.renderer.block.model.BlockModel (minecraft@1.20.1)
  99:          2761        1940192  [Lnet.minecraft.world.phys.shapes.VoxelShape; (minecraft@1.20.1)
 100:         59717        1910944  net.minecraft.client.renderer.block.model.Variant (minecraft@1.20.1)
 101:         46682        1867280  org.objectweb.asm.tree.InsnNode (org.objectweb.asm.tree@9.8)
 102:        116050        1856800  com.google.gson.JsonObject (com.google.gson@2.10)
 103:         74956        1798944  net.minecraft.client.resources.model.Material (minecraft@1.20.1)
 104:         36905        1771440  org.spongepowered.asm.mixin.transformer.ClassInfo$Field (org.spongepowered.mixin)
 105:         66549        1759928  [Ljava.lang.Class; (java.base@17.0.15)
 106:         54220        1735040  com.mojang.datafixers.types.templates.Product$ProductType (datafixerupper@6.0.8)
 107:         24048        1731456  java.lang.reflect.Field (java.base@17.0.15)
 108:         42622        1704880  java.lang.invoke.MethodType (java.base@17.0.15)
 109:         52293        1673376  com.mojang.datafixers.types.templates.Sum$SumType (datafixerupper@6.0.8)
 110:         40477        1619080  net.minecraft.world.item.crafting.Ingredient (minecraft@1.20.1)
 111:         66091        1586184  it.unimi.dsi.fastutil.objects.ObjectArrayList (it.unimi.dsi.fastutil@8.5.9)
 112:         39102        1564080  org.embeddedt.modernfix.forge.recipe.IngredientItemStacksSoftReference (modernfix@5.27.12+mc1.20.1)
 113:         32329        1551792  org.objectweb.asm.Frame (org.objectweb.asm@9.8)
 114:         64252        1542048  net.minecraftforge.forgespi.language.ModFileScanData$ClassData (net.minecraftforge.forgespi@7.0.1)
 115:         63808        1531392  net.minecraft.core.BlockPos (minecraft@1.20.1)
 116:         42611        1517520  [Lnet.minecraft.world.item.ItemStack; (minecraft@1.20.1)
 117:         31573        1515504  java.lang.invoke.BoundMethodHandle$Species_LLLL (java.base@17.0.15)
 118:         30818        1479264  it.unimi.dsi.fastutil.objects.ObjectOpenHashSet (it.unimi.dsi.fastutil@8.5.9)
 119:         44897        1436704  java.util.Hashtable$Entry (java.base@17.0.15)
 120:         59780        1434720  java.lang.invoke.ResolvedMethodName (java.base@17.0.15)
 121:         44419        1421408  com.mojang.datafixers.types.templates.Tag$TagType (datafixerupper@6.0.8)
 122:         35065        1402600  net.minecraftforge.client.model.geometry.BlockGeometryBakingContext (forge@47.4.13)
 123:         42626        1364032  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry (java.base@17.0.15)
 124:         42620        1363840  java.lang.invoke.BoundMethodHandle$Species_L (java.base@17.0.15)
 125:         42590        1362880  java.lang.invoke.DirectMethodHandle (java.base@17.0.15)
 126:         28364        1361472  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@17.0.15)
 127:         42201        1350432  net.minecraft.network.chat.MutableComponent (minecraft@1.20.1)
 128:         83489        1335824  com.mojang.datafixers.util.Either$Left (datafixerupper@6.0.8)
 129:         27365        1313520  [Lnet.minecraft.world.level.biome.Climate$Parameter; (minecraft@1.20.1)
 130:         40799        1305568  jdk.internal.reflect.NativeConstructorAccessorImpl (java.base@17.0.15)
 131:         80576        1289216  java.lang.Object (java.base@17.0.15)
 132:         39957        1278624  org.openjdk.nashorn.internal.runtime.PropertyHashMap$Element (org.openjdk.nashorn)
 133:         52524        1260576  cpw.mods.modlauncher.TransformerAuditTrail$TransformerActivity (cpw.mods.modlauncher@10.0.9)
 134:         50964        1223136  net.minecraftforge.registries.ForgeRegistry$OverrideOwner (forge@47.4.13)
 135:         30573        1222920  software.bernie.geckolib.core.keyframe.Keyframe (geckolib@4.8.3)
 136:         50779        1218696  it.unimi.dsi.fastutil.doubles.DoubleArrayList (it.unimi.dsi.fastutil@8.5.9)
 137:         18745        1199680  java.util.concurrent.ConcurrentHashMap (java.base@17.0.15)
 138:         21269        1191064  org.openjdk.nashorn.internal.runtime.ScriptFunction (org.openjdk.nashorn)
 139:         37120        1187840  [Lsoftware.bernie.geckolib.cache.object.GeoVertex; (geckolib@4.8.3)
 140:         73238        1171808  java.util.HashSet (java.base@17.0.15)
 141:         36351        1163232  com.mojang.datafixers.types.Func (datafixerupper@6.0.8)
 142:         71460        1143360  net.minecraft.nbt.StringTag (minecraft@1.20.1)
 143:         47235        1133640  net.minecraft.world.level.levelgen.structure.templatesystem.StructureTemplate$StructureBlockInfo (minecraft@1.20.1)
 144:         23531        1129488  org.objectweb.asm.tree.FieldInsnNode (org.objectweb.asm.tree@9.8)
 145:         28125        1125000  org.openjdk.nashorn.internal.runtime.CompiledFunction (org.openjdk.nashorn)
 146:         34902        1116864  com.mojang.serialization.MapCodec$1 (datafixerupper@6.0.8)
 147:         46321        1111704  net.p3pp3rf1y.sophisticatedstorage.client.render.BarrelDynamicModelBase$BarrelModelPartDefinition (sophisticatedstorage@1.4.39.1666)
 148:         34642        1108544  [Lnet.minecraft.client.model.geom.ModelPart$Vertex; (minecraft@1.20.1)
 149:         27167        1086680  org.objectweb.asm.tree.LocalVariableNode (org.objectweb.asm.tree@9.8)
 150:         27118        1084720  java.util.TreeMap$Entry (java.base@17.0.15)
 151:         44927        1078248  net.minecraft.world.level.chunk.DataLayer (minecraft@1.20.1)
 152:         41745        1042632  [Lnet.minecraft.world.item.crafting.Ingredient$Value; (minecraft@1.20.1)
 153:         18552        1038912  net.minecraft.network.chat.Style (minecraft@1.20.1)
 154:         42346        1016304  net.minecraft.core.NonNullList (minecraft@1.20.1)
 155:         41291         991192  [Ljava.lang.reflect.Constructor; (java.base@17.0.15)
 156:         30944         990208  java.util.LinkedList (java.base@17.0.15)
 157:         40409         969816  com.mojang.datafixers.types.templates.List$ListType (datafixerupper@6.0.8)
 158:         12057         964560  com.endertech.minecraft.forge.configs.Property (forgeendertech@11.1.10.0)
 159:         30129         964128  com.google.common.collect.MapMakerInternalMap$StrongKeyWeakValueEntry (com.google.common@31.1-jre)
 160:         30129         964128  com.google.common.collect.MapMakerInternalMap$WeakValueReferenceImpl (com.google.common@31.1-jre)
 161:         58611         937776  net.minecraft.client.renderer.block.model.MultiVariant (minecraft@1.20.1)
 162:         29213         934816  java.util.ImmutableCollections$MapN (java.base@17.0.15)
 163:         23310         932400  net.minecraft.world.phys.Vec3 (minecraft@1.20.1)
 164:         37873         908952  net.p3pp3rf1y.sophisticatedstorage.client.render.DynamicBarrelBakingData (sophisticatedstorage@1.4.39.1666)
 165:         28394         908608  net.minecraft.world.level.chunk.LinearPalette (minecraft@1.20.1)
 166:          6986         894208  org.spongepowered.asm.mixin.transformer.MixinInfo$MixinMethodNode (org.spongepowered.mixin)
 167:         37120         890880  software.bernie.geckolib.cache.object.GeoQuad (geckolib@4.8.3)
 168:         55345         885520  com.google.gson.internal.LazilyParsedNumber (com.google.gson@2.10)
 169:         27298         873536  com.mojang.datafixers.TypedOptic$Element (datafixerupper@6.0.8)
 170:         27077         866464  com.mojang.datafixers.functions.Apply (datafixerupper@6.0.8)
 171:         27028         864896  java.lang.invoke.MethodHandleNatives$CallSiteContext (java.base@17.0.15)
 172:         53901         862416  com.google.common.collect.SingletonImmutableSet (com.google.common@31.1-jre)
 173:         53477         855632  java.lang.Integer (java.base@17.0.15)
 174:         15128         847168  net.minecraft.world.phys.shapes.BitSetDiscreteVoxelShape (minecraft@1.20.1)
