256787:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       5244070      720342688  [B (java.base@17.0.15)
   2:       2262164      338963936  [I (java.base@17.0.15)
   3:       3510690      286313520  [Ljava.lang.Object; (java.base@17.0.15)
   4:       2859172      137240256  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   5:       3684881      117916192  java.util.HashMap$Node (java.base@17.0.15)
   6:       4801868      115244832  java.lang.String (java.base@17.0.15)
   7:        110970       71129696  [J (java.base@17.0.15)
   8:       2867756       68826144  java.util.ArrayList (java.base@17.0.15)
   9:       1097148       52663104  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  10:       1074119       51557712  dev.emi.emi.api.stack.ItemEmiStack (emi@1.1.22+1.20.1+forge)
  11:        293483       48358544  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  12:        695969       44542016  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap (it.unimi.dsi.fastutil@8.5.9)
  13:        983094       39323760  software.bernie.geckolib.core.keyframe.Keyframe (geckolib@4.8.3)
  14:        388611       34197768  net.minecraft.world.item.ItemStack (minecraft@1.20.1)
  15:        285693       29712072  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
  16:       1078595       25886280  org.joml.Vector3f (org.joml@1.10.5)
  17:        613262       24530480  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  18:        508041       24385968  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  19:        986176       23668224  com.eliotlash.mclib.math.Constant (mclib@20)
  20:        450956       21645888  java.util.HashMap (java.base@17.0.15)
  21:        831014       19944336  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  22:        605519       19376608  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  23:        695693       16696632  it.unimi.dsi.fastutil.objects.ObjectArrayList (it.unimi.dsi.fastutil@8.5.9)
  24:        132915       15451128  java.lang.Class (java.base@17.0.15)
  25:        383203       15328120  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
  26:          1572       14227248  [C (java.base@17.0.15)
  27:        566129       13587096  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
  28:        554440       13306560  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  29:        552528       13260672  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex (citadel@2.6.3)
  30:        271647       13039056  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  31:        218704       12247424  net.minecraft.client.renderer.texture.SpriteContents (minecraft@1.20.1)
  32:        367492       11759744  net.minecraft.world.level.biome.Climate$Parameter (minecraft@1.20.1)
  33:        709746       11355936  net.minecraft.nbt.CompoundTag (minecraft@1.20.1)
  34:        218703       10497744  net.minecraft.client.renderer.texture.TextureAtlasSprite (minecraft@1.20.1)
  35:        250950       10038000  net.minecraftforge.eventbus.ListenerList$ListenerListInst (net.minecraftforge.eventbus)
  36:        290642        9300544  malte0811.ferritecore.fastmap.immutable.FastMapEntryImmutableMap (ferritecore@6.0.1)
