258983:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       4257487      658005048  [B (java.base@17.0.15)
   2:       1891645      245932144  [I (java.base@17.0.15)
   3:       1911981      210771704  [Ljava.lang.Object; (java.base@17.0.15)
   4:       2435807      116918736  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   5:       3861742       92681808  java.lang.String (java.base@17.0.15)
   6:       2891425       92525600  java.util.HashMap$Node (java.base@17.0.15)
   7:         94655       64846992  [J (java.base@17.0.15)
   8:       2193080       52633920  java.util.ArrayList (java.base@17.0.15)
   9:       1045056       50162688  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  10:        983094       39323760  software.bernie.geckolib.core.keyframe.Keyframe (geckolib@4.8.3)
  11:        183481       36532856  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  12:        284311       25019368  net.minecraft.world.item.ItemStack (minecraft@1.20.1)
  13:        998151       23955624  org.joml.Vector3f (org.joml@1.10.5)
  14:        986176       23668224  com.eliotlash.mclib.math.Constant (mclib@20)
  15:        225313       23432552  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
  16:        520738       20829520  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  17:         82768       16296312  [C (java.base@17.0.15)
  18:        478886       15324352  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  19:        313987       15071376  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  20:        619655       14871720  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  21:        125706       14614352  java.lang.Class (java.base@17.0.15)
  22:        221071       14148544  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap (it.unimi.dsi.fastutil@8.5.9)
  23:        583947       14014728  it.unimi.dsi.fastutil.objects.ObjectArrayList (it.unimi.dsi.fastutil@8.5.9)
  24:        339117       13564680  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
  25:        552528       13260672  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex (citadel@2.6.3)
  26:        273160       13111680  java.util.HashMap (java.base@17.0.15)
  27:        506968       12167232  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  28:        236799       11366352  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  29:        263970       10558800  mezz.jei.core.search.suffixtree.Node (jei@15.20.0.130)
  30:        208237        9995376  net.minecraft.client.renderer.texture.SpriteContents (minecraft@1.20.1)
  31:        208236        9995328  net.minecraft.client.renderer.texture.TextureAtlasSprite (minecraft@1.20.1)
  32:        235350        9414000  net.minecraftforge.eventbus.ListenerList$ListenerListInst (net.minecraftforge.eventbus)
  33:        274199        8774368  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.15)
  34:        356230        8549520  java.util.ImmutableCollections$List12 (java.base@17.0.15)
  35:        210483        8384392  [Lcom.mojang.blaze3d.platform.NativeImage; (minecraft@1.20.1)
  36:        349159        8379816  com.google.common.collect.ImmutableMapEntry$NonTerminalImmutableMapEntry (com.google.common@31.1-jre)
  37:        332623        7982952  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
  38:        235350        7531200  java.util.concurrent.Semaphore$FairSync (java.base@17.0.15)
  39:        155321        7455408  net.fabricmc.fabric.impl.renderer.SpriteFinderImpl$Node (fabric_renderer_api_v1@3.2.2+cf68abbe77)
  40:        229971        7359072  malte0811.ferritecore.fastmap.immutable.FastMapEntryImmutableMap (ferritecore@6.0.1)
  41:        213468        6830976  net.minecraft.world.level.biome.Climate$Parameter (minecraft@1.20.1)
  42:        423996        6783936  java.util.concurrent.Semaphore (java.base@17.0.15)
  43:        133819        6738696  [Lcom.google.common.collect.ImmutableMapEntry; (com.google.common@31.1-jre)
  44:        275758        6618192  software.bernie.geckolib.core.molang.expressions.MolangValue (geckolib@4.8.3)
  45:        268833        6451992  net.minecraft.client.resources.model.ModelBakery$BakedCacheKey (minecraft@1.20.1)
  46:        201195        6438240  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@17.0.15)
  47:        152369        6094760  it.unimi.dsi.fastutil.objects.Object2ObjectArrayMap (it.unimi.dsi.fastutil@8.5.9)
  48:        188646        6036672  java.util.concurrent.Semaphore$NonfairSync (java.base@17.0.15)
  49:        188641        6036512  net.minecraft.util.ThreadingDetector (minecraft@1.20.1)
  50:        188641        6036512  net.minecraft.world.level.chunk.PalettedContainer (minecraft@1.20.1)
  51:        238632        5727168  software.bernie.geckolib.cache.object.GeoVertex (geckolib@4.8.3)
  52:         95007        5320392  net.minecraft.client.resources.model.SimpleBakedModel (minecraft@1.20.1)
  53:         93484        5235104  com.google.gson.internal.LinkedTreeMap (com.google.gson@2.10)
  54:         90337        5058872  org.spongepowered.asm.mixin.transformer.ClassInfo$Method (org.spongepowered.mixin)
  55:        101594        4876512  org.embeddedt.modernfix.render.font.CompactUnihexContents$Shorts (modernfix@5.27.12+mc1.20.1)
  56:        300939        4815024  org.embeddedt.modernfix.resources.PackResourcesCacheEngine$Node (modernfix@5.27.12+mc1.20.1)
  57:         85473        4786488  java.util.LinkedHashMap (java.base@17.0.15)
  58:         84901        4754456  org.objectweb.asm.Label (org.objectweb.asm@9.8)
  59:         98282        4717536  net.minecraft.client.renderer.block.model.ItemTransforms (minecraft@1.20.1)
  60:         97901        4699248  java.lang.invoke.MemberName (java.base@17.0.15)
  61:         52981        4662328  java.lang.reflect.Method (java.base@17.0.15)
  62:        284310        4548960  net.minecraft.world.item.ItemStack$$Lambda$2464/0x0000000800d1a138 (minecraft@1.20.1)
  63:        188641        4527384  net.minecraft.world.level.chunk.PalettedContainer$Configuration (minecraft@1.20.1)
  64:        188641        4527384  net.minecraft.world.level.chunk.PalettedContainer$Data (minecraft@1.20.1)
  65:        138132        4420224  [Lcom.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex; (citadel@2.6.3)
  66:        108703        4348120  com.google.common.collect.RegularImmutableMap (com.google.common@31.1-jre)
  67:         59030        4238136  [D (java.base@17.0.15)
  68:         25254        4108328  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@17.0.15)
  69:        126742        4055744  [Lnet.minecraft.client.model.geom.ModelPart$Vertex; (minecraft@1.20.1)
  70:        101424        3997472  [F (java.base@17.0.15)
  71:         99058        3962320  net.minecraft.client.renderer.block.model.BlockElementFace (minecraft@1.20.1)
  72:         54125        3897000  java.lang.reflect.Constructor (java.base@17.0.15)
  73:         23002        3864336  com.github.alexthe666.citadel.client.model.AdvancedModelBox (citadel@2.6.3)
  74:        158441        3802584  net.minecraft.world.level.chunk.SingleValuePalette (minecraft@1.20.1)
  75:        235615        3769840  java.util.concurrent.atomic.AtomicReference (java.base@17.0.15)
  76:         93933        3757320  org.objectweb.asm.tree.VarInsnNode (org.objectweb.asm.tree@9.8)
  77:         58251        3728064  java.lang.Class$ReflectionData (java.base@17.0.15)
  78:         93057        3722280  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@17.0.15)
  79:        232504        3720064  net.minecraft.nbt.CompoundTag (minecraft@1.20.1)
  80:        153882        3693168  net.minecraft.world.phys.Vec2 (minecraft@1.20.1)
  81:        138132        3315168  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$TexturedQuad (citadel@2.6.3)
  82:           250        3181624  [Lnet.minecraft.world.level.block.state.BlockState; (minecraft@1.20.1)
  83:         56438        3160528  org.objectweb.asm.tree.MethodInsnNode (org.objectweb.asm.tree@9.8)
  84:        144570        3157056  [Ljava.lang.String; (java.base@17.0.15)
  85:         77399        3095960  it.unimi.dsi.fastutil.chars.Char2ObjectArrayMap (it.unimi.dsi.fastutil@8.5.9)
  86:        191433        3062928  java.util.concurrent.locks.ReentrantLock (java.base@17.0.15)
  87:        126742        3041808  net.minecraft.client.model.geom.ModelPart$Polygon (minecraft@1.20.1)
  88:         94320        3018240  net.minecraft.world.level.chunk.LevelChunkSection (minecraft@1.20.1)
  89:         74543        2981720  org.objectweb.asm.tree.LabelNode (org.objectweb.asm.tree@9.8)
  90:         92645        2964640  org.spongepowered.asm.mixin.transformer.ClassInfo$FrameData (org.spongepowered.mixin)
  91:         73778        2951120  java.util.EnumMap (java.base@17.0.15)
  92:         83741        2894800  [Ljava.util.Map$Entry; (java.base@17.0.15)
  93:         90290        2889280  net.minecraft.core.Holder$Reference (minecraft@1.20.1)
  94:         89351        2859232  org.objectweb.asm.Type (org.objectweb.asm@9.8)
  95:        112990        2711760  net.minecraft.client.gui.font.providers.UnihexProvider$Glyph (minecraft@1.20.1)
  96:         55886        2682528  org.objectweb.asm.tree.LineNumberNode (org.objectweb.asm.tree@9.8)
  97:        109290        2622960  java.util.ImmutableCollections$ListN (java.base@17.0.15)
  98:         18180        2617920  me.jellysquid.mods.sodium.client.render.chunk.RenderSection (embeddium@0.3.31+mc1.20.1)
  99:          1806        2614432  [Lcom.google.common.collect.HashBiMap$BiEntry; (com.google.common@31.1-jre)
 100:         53714        2578272  java.lang.invoke.MethodHandleImpl$CountingWrapper (java.base@17.0.15)
 101:        158441        2535056  net.minecraft.util.ZeroBitStorage (minecraft@1.20.1)
 102:         62643        2505720  java.lang.ref.SoftReference (java.base@17.0.15)
 103:          1981        2417904  [S (java.base@17.0.15)
 104:         99058        2377392  net.minecraft.client.renderer.block.model.BlockFaceUV (minecraft@1.20.1)
 105:        143975        2303600  com.google.gson.JsonPrimitive (com.google.gson@2.10)
 106:         45594        2188512  [Lnet.minecraft.world.level.biome.Climate$Parameter; (minecraft@1.20.1)
 107:         32091        2053824  java.util.concurrent.ConcurrentHashMap (java.base@17.0.15)
 108:         50652        2026080  net.minecraft.world.item.crafting.Ingredient (minecraft@1.20.1)
 109:         41649        1999152  net.minecraft.util.SimpleBitStorage (minecraft@1.20.1)
 110:         75597        1990240  [Ljava.lang.Class; (java.base@17.0.15)
 111:         49224        1968960  org.embeddedt.modernfix.forge.recipe.IngredientItemStacksSoftReference (modernfix@5.27.12+mc1.20.1)
 112:          3174        1959000  [Lnet.minecraft.world.phys.shapes.VoxelShape; (minecraft@1.20.1)
 113:         48890        1955600  org.objectweb.asm.tree.InsnNode (org.objectweb.asm.tree@9.8)
