246996:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       6590519      817448048  [B (java.base@17.0.15)
   2:       7084400      577461216  [Ljava.lang.Object; (java.base@17.0.15)
   3:       2752456      450697696  [I (java.base@17.0.15)
   4:       3750567      180027216  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   5:        411885      168873968  [J (java.base@17.0.15)
   6:       6073830      145771920  java.lang.String (java.base@17.0.15)
   7:       4534556      145105792  java.util.HashMap$Node (java.base@17.0.15)
   8:       1674130      107144320  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap (it.unimi.dsi.fastutil@8.5.9)
   9:       1983070       95187360  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  10:       1870103       89764944  dev.emi.emi.api.stack.ItemEmiStack (emi@1.1.22+1.20.1+forge)
  11:       3597474       86339376  java.util.ArrayList (java.base@17.0.15)
  12:       1526847       73288656  java.util.HashMap (java.base@17.0.15)
  13:        379324       61309912  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  14:        559580       49243040  net.minecraft.world.item.ItemStack (minecraft@1.20.1)
  15:        987807       39512280  software.bernie.geckolib.core.keyframe.Keyframe (geckolib@4.8.3)
  16:        352456       36655424  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
  17:        891601       35664040  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  18:       1243988       29855712  org.joml.Vector3f (org.joml@1.10.5)
  19:        594929       28556592  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  20:       1163877       27933048  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  21:       1689213       27027408  net.minecraft.nbt.CompoundTag (minecraft@1.20.1)
  22:         88436       24721632  [D (java.base@17.0.15)
  23:        745151       23844832  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  24:        990889       23781336  com.eliotlash.mclib.math.Constant (mclib@20)
  25:        930531       22332744  it.unimi.dsi.fastutil.objects.ObjectArrayList (it.unimi.dsi.fastutil@8.5.9)
  26:        393875       22057000  net.minecraft.client.renderer.texture.SpriteContents (minecraft@1.20.1)
  27:        800872       19220928  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  28:       1190210       19043360  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap$MapEntrySet (it.unimi.dsi.fastutil@8.5.9)
  29:        393874       18905952  net.minecraft.client.renderer.texture.TextureAtlasSprite (minecraft@1.20.1)
  30:        460043       18401720  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
  31:        761698       18280752  net.minecraft.core.NonNullList (minecraft@1.20.1)
  32:        148361       17236128  java.lang.Class (java.base@17.0.15)
  33:        708690       17008560  java.util.Arrays$ArrayList (java.base@17.0.15)
  34:        398286       15892496  [Lcom.mojang.blaze3d.platform.NativeImage; (minecraft@1.20.1)
  35:        327267       15708816  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  36:          1656       15490168  [C (java.base@17.0.15)
  37:        255370       14300720  dev.emi.emi.jemi.impl.JemiRecipeSlotBuilder (emi@1.1.22+1.20.1+forge)
  38:        589307       14143368  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
  39:        552528       13260672  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex (citadel@2.6.3)
  40:        778473       12455568  java.util.HashSet (java.base@17.0.15)
  41:        369994       11839808  net.minecraftforge.common.util.LazyOptional (forge@47.4.13)
  42:        368080       11778560  net.minecraft.world.level.biome.Climate$Parameter (minecraft@1.20.1)
  43:        358001       11456032  malte0811.ferritecore.fastmap.immutable.FastMapEntryImmutableMap (ferritecore@6.0.1)
  44:        277046       11081840  net.minecraftforge.eventbus.ListenerList$ListenerListInst (net.minecraftforge.eventbus)
  45:        274606       10984240  it.unimi.dsi.fastutil.objects.Object2ObjectArrayMap (it.unimi.dsi.fastutil@8.5.9)
  46:        226281       10861488  net.fabricmc.fabric.impl.renderer.SpriteFinderImpl$Node (fabric_renderer_api_v1@3.2.2+cf68abbe77)
  47:        332425       10637600  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.15)
  48:        429220       10301280  net.minecraft.client.resources.model.ModelBakery$BakedCacheKey (minecraft@1.20.1)
  49:        173502        9716112  com.google.gson.internal.LinkedTreeMap (com.google.gson@2.10)
  50:        384918        9238032  net.minecraft.nbt.ListTag (minecraft@1.20.1)
  51:        229640        9185600  net.minecraft.world.inventory.Slot (minecraft@1.20.1)
  52:        183871        9105976  [Lcom.google.common.collect.ImmutableMapEntry; (com.google.common@31.1-jre)
  53:        559579        8953264  net.minecraft.world.item.ItemStack$$Lambda$2471/0x0000000800d68e10 (minecraft@1.20.1)
  54:        277046        8865472  java.util.concurrent.Semaphore$FairSync (java.base@17.0.15)
  55:        369043        8857032  com.google.common.collect.ImmutableMapEntry$NonTerminalImmutableMapEntry (com.google.common@31.1-jre)
  56:        154542        8654352  java.util.LinkedHashMap (java.base@17.0.15)
  57:        152828        8646928  [F (java.base@17.0.15)
  58:        154032        8625792  net.minecraft.client.resources.model.SimpleBakedModel (minecraft@1.20.1)
  59:        341701        8200824  java.util.ImmutableCollections$List12 (java.base@17.0.15)
  60:        494116        7905856  org.embeddedt.modernfix.resources.PackResourcesCacheEngine$Node (modernfix@5.27.12+mc1.20.1)
  61:        120639        7720896  top.theillusivec4.curios.common.inventory.CurioStacksHandler (curios@5.14.1+1.20.1)
  62:        477788        7644608  java.util.concurrent.Semaphore (java.base@17.0.15)
  63:        317910        7629840  java.util.ImmutableCollections$ListN (java.base@17.0.15)
  64:        158081        7587888  net.minecraft.client.renderer.block.model.ItemTransforms (minecraft@1.20.1)
  65:        456209        7299344  java.lang.Object (java.base@17.0.15)
  66:        219074        7010368  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@17.0.15)
  67:        171983        6879320  dev.emi.emi.api.stack.FluidEmiStack (emi@1.1.22+1.20.1+forge)
  68:        282648        6783552  it.unimi.dsi.fastutil.longs.LongArrayList (it.unimi.dsi.fastutil@8.5.9)
  69:        278431        6682344  software.bernie.geckolib.core.molang.expressions.MolangValue (geckolib@4.8.3)
  70:        200742        6423744  java.util.concurrent.Semaphore$NonfairSync (java.base@17.0.15)
  71:        200737        6423584  net.minecraft.util.ThreadingDetector (minecraft@1.20.1)
  72:        200737        6423584  net.minecraft.world.level.chunk.PalettedContainer (minecraft@1.20.1)
  73:        200218        6406976  [Lnet.minecraft.client.model.geom.ModelPart$Vertex; (minecraft@1.20.1)
