245889:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       1467665      405868504  [B (java.base@17.0.15)
   2:        935884       37435360  java.util.LinkedHashMap$Entry (java.base@17.0.15)
   3:        872769       34910760  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
   4:        311757       20819752  [Ljava.lang.Object; (java.base@17.0.15)
   5:         93247       16179680  [I (java.base@17.0.15)
   6:        571862       13724688  java.lang.String (java.base@17.0.15)
   7:         76356       12842720  [Ljava.util.HashMap$Node; (java.base@17.0.15)
   8:        364685       11669920  java.util.HashMap$Node (java.base@17.0.15)
   9:        326104        7826496  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
  10:        101641        4878936  [S (java.base@17.0.15)
  11:        169088        4058112  net.minecraft.client.renderer.block.model.multipart.KeyValueCondition$$Lambda$5578/0x0000000800e171d8 (minecraft@1.20.1)
  12:         85538        4057200  [Lcom.google.common.collect.ImmutableMapEntry; (com.google.common@31.1-jre)
  13:        135470        3251280  java.util.ArrayList (java.base@17.0.15)
  14:        133296        3199104  com.google.common.collect.ImmutableMapEntry$NonTerminalImmutableMapEntry (com.google.common@31.1-jre)
  15:         68744        2749760  com.google.common.collect.RegularImmutableMap (com.google.common@31.1-jre)
  16:         85728        2743296  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
  17:        170599        2729584  java.util.Optional (java.base@17.0.15)
  18:        112990        2711760  net.minecraft.client.gui.font.providers.UnihexProvider$Glyph (minecraft@1.20.1)
  19:         47176        2641856  java.util.LinkedHashMap (java.base@17.0.15)
  20:        106247        2549928  org.apache.commons.lang3.tuple.ImmutablePair (org.apache.commons.lang3@3.12.0)
  21:         52328        2511744  java.util.HashMap (java.base@17.0.15)
  22:         20804        2495376  java.lang.Class (java.base@17.0.15)
  23:         52044        2377360  [Ljava.util.Map$Entry; (java.base@17.0.15)
  24:         24137        2317152  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
  25:         36497        1751856  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  26:        101594        1625504  net.minecraft.client.gui.font.providers.UnihexProvider$ShortContents (minecraft@1.20.1)
  27:         31134        1494432  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  28:         44354        1419328  java.util.Hashtable$Entry (java.base@17.0.15)
  29:         26579        1384616  [D (java.base@17.0.15)
  30:         39986        1279552  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.15)
  31:         52432        1258368  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  32:         50796        1219104  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  33:         74994        1199904  com.google.common.collect.RegularImmutableList (com.google.common@31.1-jre)
  34:         23812        1142976  com.google.common.collect.ArrayTable (com.google.common@31.1-jre)
  35:         40741         977784  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  36:         28047         897504  org.objectweb.asm.Type (org.objectweb.asm@9.8)
  37:         22220         888800  it.unimi.dsi.fastutil.objects.Object2ObjectArrayMap (it.unimi.dsi.fastutil@8.5.9)
  38:         35454         850896  org.joml.Vector3f (org.joml@1.10.5)
  39:         23813         843456  [[Ljava.lang.Object; (java.base@17.0.15)
  40:         10742         773424  it.unimi.dsi.fastutil.objects.Object2ObjectOpenCustomHashMap (it.unimi.dsi.fastutil@8.5.9)
  41:         24077         770464  com.mojang.datafixers.types.templates.Product$ProductType (datafixerupper@6.0.8)
  42:           357         757824  [C (java.base@17.0.15)
  43:         44865         717840  java.util.jar.Attributes (java.base@17.0.15)
  44:         22252         712064  com.mojang.datafixers.types.templates.Sum$SumType (datafixerupper@6.0.8)
  45:         29614         710736  net.minecraft.client.resources.model.ModelBakery$BakedCacheKey (minecraft@1.20.1)
  46:         14366         689568  java.lang.invoke.MemberName (java.base@17.0.15)
  47:         21500         688000  com.mojang.datafixers.types.templates.Tag$TagType (datafixerupper@6.0.8)
  48:           617         641680  [Lnet.minecraft.client.gui.font.providers.UnihexProvider$Glyph; (minecraft@1.20.1)
  49:         26569         637656  it.unimi.dsi.fastutil.doubles.DoubleArrayList (it.unimi.dsi.fastutil@8.5.9)
  50:         35613         569808  net.minecraft.nbt.StringTag (minecraft@1.20.1)
  51:         11416         547968  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  52:         22484         539616  com.google.common.collect.ImmutableMapEntrySet$RegularEntrySet (com.google.common@31.1-jre)
  53:          9318         521808  com.google.gson.internal.LinkedTreeMap (com.google.gson@2.10)
  54:           971         476688  [Ljava.util.Hashtable$Entry; (java.base@17.0.15)
  55:         14243         455776  net.minecraft.core.Holder$Reference (minecraft@1.20.1)
  56:          7945         444920  net.minecraft.world.phys.shapes.BitSetDiscreteVoxelShape (minecraft@1.20.1)
  57:          4896         430848  java.lang.reflect.Method (java.base@17.0.15)
  58:         10742         429680  net.minecraft.client.resources.model.MultiPartBakedModel (minecraft@1.20.1)
  59:         13108         419456  [Lnet.minecraft.client.model.geom.ModelPart$Vertex; (minecraft@1.20.1)
  60:           488         409984  [Lcom.google.common.collect.HashBiMap$BiEntry; (com.google.common@31.1-jre)
  61:          3928         398264  [F (java.base@17.0.15)
  62:         23440         375040  net.minecraft.client.renderer.block.model.multipart.AndCondition$$Lambda$5580/0x0000000800e17678 (minecraft@1.20.1)
  63:          5039         362808  java.lang.reflect.Constructor (java.base@17.0.15)
  64:          8966         358640  java.lang.invoke.MethodType (java.base@17.0.15)
  65:          6392         357952  net.minecraft.client.resources.model.SimpleBakedModel (minecraft@1.20.1)
  66:         22333         357328  com.mojang.datafixers.types.templates.Const (datafixerupper@6.0.8)
  67:          5370         343680  java.lang.Class$ReflectionData (java.base@17.0.15)
  68:           602         331712  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@17.0.15)
  69:          9979         319328  com.mojang.datafixers.types.templates.Named$NamedType (datafixerupper@6.0.8)
  70:         13150         315600  net.minecraft.util.random.WeightedEntry$Wrapper (minecraft@1.20.1)
  71:         13108         314592  net.minecraft.client.model.geom.ModelPart$Polygon (minecraft@1.20.1)
  72:          6514         312672  net.minecraft.client.renderer.block.model.ItemTransforms (minecraft@1.20.1)
  73:          9822         306960  [J (java.base@17.0.15)
  74:         12620         302880  com.mojang.datafixers.types.templates.Sum (datafixerupper@6.0.8)
  75:         12496         299904  com.mojang.datafixers.types.templates.List$ListType (datafixerupper@6.0.8)
  76:          7449         297960  java.util.EnumMap (java.base@17.0.15)
  77:         18567         297072  java.util.HashMap$EntrySet (java.base@17.0.15)
  78:          7387         295480  java.lang.ref.SoftReference (java.base@17.0.15)
  79:         10319         292408  [Ljava.lang.Class; (java.base@17.0.15)
  80:         12124         290976  com.mojang.datafixers.types.templates.Product (datafixerupper@6.0.8)
  81:          9053         289696  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry (java.base@17.0.15)
  82:         12043         289032  com.mojang.datafixers.types.templates.Tag (datafixerupper@6.0.8)
  83:          8904         284928  net.minecraft.world.phys.shapes.ArrayVoxelShape (minecraft@1.20.1)
  84:         11137         273424  [Ljava.lang.String; (java.base@17.0.15)
  85:         16144         258304  net.minecraft.nbt.CompoundTag (minecraft@1.20.1)
  86:         15744         251904  net.minecraft.client.renderer.block.model.multipart.KeyValueCondition$$Lambda$5594/0x0000000800e18d00 (minecraft@1.20.1)
  87:         10344         248256  java.lang.invoke.ResolvedMethodName (java.base@17.0.15)
