1170398:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       5323224      728417296  [B (java.base@17.0.15)
   2:       2532748      333121352  [I (java.base@17.0.15)
   3:       3696264      177420672  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   4:       4323000      138336000  java.util.HashMap$Node (java.base@17.0.15)
   5:       1286286      128607656  [Ljava.lang.Object; (java.base@17.0.15)
   6:       4873804      116971296  java.lang.String (java.base@17.0.15)
   7:        624934       64993136  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
   8:       1085407       52099536  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
   9:       2150125       51603000  java.util.ArrayList (java.base@17.0.15)
  10:        192257       43597168  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  11:       1292725       41367200  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  12:        671841       32248368  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  13:       1080994       25943856  org.joml.Vector3f (org.joml@1.10.5)
  14:        579879       23195160  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  15:        627016       20064512  malte0811.ferritecore.fastmap.immutable.FastMapEntryImmutableMap (ferritecore@6.0.1)
  16:        772304       18535296  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  17:        751855       18044520  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  18:        713832       17131968  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
  19:        712433       17098392  net.minecraft.client.resources.model.ModelBakery$BakedCacheKey (minecraft@1.20.1)
  20:        426695       17067800  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
  21:        332875       15978000  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  22:          1527       14974056  [C (java.base@17.0.15)
  23:        121882       14192928  java.lang.Class (java.base@17.0.15)
  24:        265273       12733104  java.util.HashMap (java.base@17.0.15)
  25:        513408       12321792  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex (citadel@2.6.3)
