1175253:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       5115986      706082432  [B (java.base@17.0.15)
   2:       2705714      356229784  [I (java.base@17.0.15)
   3:       3931897      188731056  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   4:       4044533      129425056  java.util.HashMap$Node (java.base@17.0.15)
   5:       1301228      126257368  [Ljava.lang.Object; (java.base@17.0.15)
   6:       4692874      112628976  java.lang.String (java.base@17.0.15)
   7:        581222       60447088  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
   8:       2188363       52520712  java.util.ArrayList (java.base@17.0.15)
   9:        194559       42071672  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  10:       1206483       38607456  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  11:        679063       32595024  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  12:       1044815       25075560  org.joml.Vector3f (org.joml@1.10.5)
  13:        555468       22218720  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  14:        425182       20408736  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  15:        583507       18672224  malte0811.ferritecore.fastmap.immutable.FastMapEntryImmutableMap (ferritecore@6.0.1)
  16:        732728       17585472  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  17:        337513       16200624  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  18:        670999       16103976  net.minecraft.client.resources.model.ModelBakery$BakedCacheKey (minecraft@1.20.1)
  19:        400311       16012440  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
  20:          1536       15091736  [C (java.base@17.0.15)
  21:        626833       15043992  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  22:        120411       14022840  java.lang.Class (java.base@17.0.15)
  23:        268813       12903024  java.util.HashMap (java.base@17.0.15)
  24:        513408       12321792  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex (citadel@2.6.3)
  25:        197176       11041856  com.google.gson.internal.LinkedTreeMap (com.google.gson@2.10)
  26:        266317       10652680  it.unimi.dsi.fastutil.objects.Object2ObjectArrayMap (it.unimi.dsi.fastutil@8.5.9)
  27:        172058        9635248  net.minecraft.client.resources.model.SimpleBakedModel (minecraft@1.20.1)
  28:        236160        9446400  net.minecraftforge.eventbus.ListenerList$ListenerListInst (net.minecraftforge.eventbus)
  29:        359437        8626488  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
  30:        176009        8448432  net.minecraft.client.renderer.block.model.ItemTransforms (minecraft@1.20.1)
  31:        346605        8318520  java.util.ImmutableCollections$List12 (java.base@17.0.15)
  32:        236160        7557120  java.util.concurrent.Semaphore$FairSync (java.base@17.0.15)
  33:        231155        7396960  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.15)
  34:        384258        6148128  org.embeddedt.modernfix.resources.PackResourcesCacheEngine$Node (modernfix@5.27.12+mc1.20.1)
  35:        123259        5916432  com.google.common.collect.SingletonImmutableBiMap (com.google.common@31.1-jre)
  36:        183182        5861824  [Lnet.minecraft.client.model.geom.ModelPart$Vertex; (minecraft@1.20.1)
  37:        104352        5843712  org.spongepowered.asm.mixin.transformer.ClassInfo$Method (org.spongepowered.mixin)
  38:        103718        5808208  org.objectweb.asm.Label (org.objectweb.asm@9.8)
  39:         88945        5600768  [D (java.base@17.0.15)
  40:         52324        5077600  [Lcom.google.common.collect.ImmutableMapEntry; (com.google.common@31.1-jre)
  41:        210278        5046672  net.minecraft.world.phys.Vec2 (minecraft@1.20.1)
  42:        309434        4950944  com.google.gson.JsonPrimitive (com.google.gson@2.10)
  43:        122728        4909120  net.minecraft.client.renderer.block.model.BlockElementFace (minecraft@1.20.1)
  44:        101594        4876512  org.embeddedt.modernfix.render.font.CompactUnihexContents$Shorts (modernfix@5.27.12+mc1.20.1)
  45:         85369        4780664  net.minecraft.client.renderer.texture.SpriteContents (minecraft@1.20.1)
  46:        117864        4714560  org.objectweb.asm.tree.VarInsnNode (org.objectweb.asm.tree@9.8)
  47:        115122        4604880  java.util.EnumMap (java.base@17.0.15)
  48:        183182        4396368  net.minecraft.client.model.geom.ModelPart$Polygon (minecraft@1.20.1)
  49:         49813        4383544  java.lang.reflect.Method (java.base@17.0.15)
  50:         77605        4345880  java.util.LinkedHashMap (java.base@17.0.15)
  51:        124239        4265664  [F (java.base@17.0.15)
  52:         87923        4220304  java.lang.invoke.MemberName (java.base@17.0.15)
