1185636:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       5521897      743999880  [B (java.base@17.0.15)
   2:       2783879      368937712  [I (java.base@17.0.15)
   3:       4019899      192955152  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   4:       4440200      142086400  java.util.HashMap$Node (java.base@17.0.15)
   5:       1341269      133640712  [Ljava.lang.Object; (java.base@17.0.15)
   6:       5053516      121284384  java.lang.String (java.base@17.0.15)
   7:        636372       66182688  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
   8:       1132403       54355344  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
   9:       2256525       54156600  java.util.ArrayList (java.base@17.0.15)
  10:        195991       44259912  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  11:       1318213       42182816  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  12:        693695       33297360  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  13:       1107751       26586024  org.joml.Vector3f (org.joml@1.10.5)
  14:        597363       23894520  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  15:        639858       20475456  malte0811.ferritecore.fastmap.immutable.FastMapEntryImmutableMap (ferritecore@6.0.1)
  16:        800960       19223040  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  17:        789080       18937920  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  18:        445415       17816600  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
  19:        728528       17484672  net.minecraft.client.resources.model.ModelBakery$BakedCacheKey (minecraft@1.20.1)
  20:        723660       17367840  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
  21:        348382       16722336  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  22:          1535       15063152  [C (java.base@17.0.15)
  23:        126535       14732624  java.lang.Class (java.base@17.0.15)
  24:        274263       13164624  java.util.HashMap (java.base@17.0.15)
  25:        223899       12538344  net.minecraft.client.renderer.texture.SpriteContents (minecraft@1.20.1)
  26:        513408       12321792  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex (citadel@2.6.3)
  27:        201827       11302312  com.google.gson.internal.LinkedTreeMap (com.google.gson@2.10)
  28:        280787       11231480  it.unimi.dsi.fastutil.objects.Object2ObjectArrayMap (it.unimi.dsi.fastutil@8.5.9)
  29:        223898       10747104  net.minecraft.client.renderer.texture.TextureAtlasSprite (minecraft@1.20.1)
  30:        176931        9908136  net.minecraft.client.resources.model.SimpleBakedModel (minecraft@1.20.1)
  31:        244961        9798440  net.minecraftforge.eventbus.ListenerList$ListenerListInst (net.minecraftforge.eventbus)
