1195656:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       5555648      787914160  [B (java.base@17.0.15)
   2:       2792099      369393440  [I (java.base@17.0.15)
   3:       4021036      193009728  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   4:       4419648      141428736  java.util.HashMap$Node (java.base@17.0.15)
   5:       1325652      128783984  [Ljava.lang.Object; (java.base@17.0.15)
   6:       4727878      113469072  java.lang.String (java.base@17.0.15)
   7:        636392       66184768  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
   8:       2290785       54978840  java.util.ArrayList (java.base@17.0.15)
   9:       1132728       54370944  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  10:        192149       46620992  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  11:       1318275       42184800  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  12:        957451       38298040  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  13:        690761       33156528  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  14:        806295       32251800  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
  15:       1111494       26675856  org.joml.Vector3f (org.joml@1.10.5)
  16:        639872       20475904  malte0811.ferritecore.fastmap.immutable.FastMapEntryImmutableMap (ferritecore@6.0.1)
  17:        806096       19346304  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  18:        737338       17696112  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  19:        728574       17485776  net.minecraft.client.resources.model.ModelBakery$BakedCacheKey (minecraft@1.20.1)
  20:        719735       17273640  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
  21:        351662       16879776  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  22:          1532       15207120  [C (java.base@17.0.15)
  23:        123154       14353944  java.lang.Class (java.base@17.0.15)
  24:        273431       13124688  java.util.HashMap (java.base@17.0.15)
  25:        223989       12543384  net.minecraft.client.renderer.texture.SpriteContents (minecraft@1.20.1)
  26:        513408       12321792  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex (citadel@2.6.3)
  27:        200864       11248384  com.google.gson.internal.LinkedTreeMap (com.google.gson@2.10)
  28:        280070       11202800  it.unimi.dsi.fastutil.objects.Object2ObjectArrayMap (it.unimi.dsi.fastutil@8.5.9)
  29:        223988       10751424  net.minecraft.client.renderer.texture.TextureAtlasSprite (minecraft@1.20.1)
