1231984:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       5536324      786230272  [B (java.base@17.0.15)
   2:       2789215      369119576  [I (java.base@17.0.15)
   3:       4019899      192955152  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   4:       4404010      140928320  java.util.HashMap$Node (java.base@17.0.15)
   5:       1314933      128312368  [Ljava.lang.Object; (java.base@17.0.15)
   6:       4711731      113081544  java.lang.String (java.base@17.0.15)
   7:        636372       66182688  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
   8:       1132403       54355344  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
   9:       2257498       54179952  java.util.ArrayList (java.base@17.0.15)
  10:        190118       46355480  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  11:       1318213       42182816  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  12:        946472       37858880  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  13:        690527       33145296  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  14:        803315       32132600  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
  15:       1109932       26638368  org.joml.Vector3f (org.joml@1.10.5)
  16:        639858       20475456  malte0811.ferritecore.fastmap.immutable.FastMapEntryImmutableMap (ferritecore@6.0.1)
  17:        804632       19311168  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  18:        735604       17654496  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  19:        728528       17484672  net.minecraft.client.resources.model.ModelBakery$BakedCacheKey (minecraft@1.20.1)
  20:        708165       16995960  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
  21:        348374       16721952  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  22:          1531       15178432  [C (java.base@17.0.15)
  23:        122580       14285392  java.lang.Class (java.base@17.0.15)
  24:        272671       13088208  java.util.HashMap (java.base@17.0.15)
  25:        223899       12538344  net.minecraft.client.renderer.texture.SpriteContents (minecraft@1.20.1)
  26:        513408       12321792  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex (citadel@2.6.3)
  27:        200771       11243176  com.google.gson.internal.LinkedTreeMap (com.google.gson@2.10)
