1300959:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       5157339      712774776  [B (java.base@17.0.15)
   2:       2788478      369025696  [I (java.base@17.0.15)
   3:       4040626      193950048  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   4:       4398065      140738080  java.util.HashMap$Node (java.base@17.0.15)
   5:       1317549      128060592  [Ljava.lang.Object; (java.base@17.0.15)
   6:       4694163      112659912  java.lang.String (java.base@17.0.15)
   7:        635830       66126320  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
   8:       2269793       54475032  java.util.ArrayList (java.base@17.0.15)
   9:       1058748       50819904  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  10:        191040       43638448  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  11:       1317107       42147424  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  12:        688168       33032064  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  13:       1111156       26667744  org.joml.Vector3f (org.joml@1.10.5)
  14:        592344       23693760  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  15:        639276       20456832  malte0811.ferritecore.fastmap.immutable.FastMapEntryImmutableMap (ferritecore@6.0.1)
  16:        806096       19346304  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  17:        442177       17687080  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
  18:        727976       17471424  net.minecraft.client.resources.model.ModelBakery$BakedCacheKey (minecraft@1.20.1)
  19:        722244       17333856  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  20:        350933       16844784  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  21:          1532       15133528  [C (java.base@17.0.15)
  22:        122918       14326512  java.lang.Class (java.base@17.0.15)
  23:        569792       13675008  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
  24:        271469       13030512  java.util.HashMap (java.base@17.0.15)
  25:        513408       12321792  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex (citadel@2.6.3)
  26:        210302       11776912  net.minecraft.client.renderer.texture.SpriteContents (minecraft@1.20.1)
  27:        200115       11206440  com.google.gson.internal.LinkedTreeMap (com.google.gson@2.10)
  28:        279779       11191160  it.unimi.dsi.fastutil.objects.Object2ObjectArrayMap (it.unimi.dsi.fastutil@8.5.9)
  29:        210301       10094448  net.minecraft.client.renderer.texture.TextureAtlasSprite (minecraft@1.20.1)
  30:        247979        9919160  net.minecraftforge.eventbus.ListenerList$ListenerListInst (net.minecraftforge.eventbus)
  31:        176853        9903768  net.minecraft.client.resources.model.SimpleBakedModel (minecraft@1.20.1)
  32:        408299        9799176  com.google.common.collect.ImmutableMapEntry$NonTerminalImmutableMapEntry (com.google.common@31.1-jre)
  33:        178871        9154608  [Lcom.google.common.collect.ImmutableMapEntry; (com.google.common@31.1-jre)
  34:        180883        8682384  net.minecraft.client.renderer.block.model.ItemTransforms (minecraft@1.20.1)
  35:        354694        8512656  java.util.ImmutableCollections$List12 (java.base@17.0.15)
  36:        212849        8485912  [Lcom.mojang.blaze3d.platform.NativeImage; (minecraft@1.20.1)
  37:        247979        7935328  java.util.concurrent.Semaphore$FairSync (java.base@17.0.15)
  38:        247096        7907072  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.15)
  39:        201524        6448768  [Lnet.minecraft.client.model.geom.ModelPart$Vertex; (minecraft@1.20.1)
  40:        154382        6175280  com.google.common.collect.RegularImmutableMap (com.google.common@31.1-jre)
  41:        105223        5892488  org.spongepowered.asm.mixin.transformer.ClassInfo$Method (org.spongepowered.mixin)
  42:        104201        5835256  org.objectweb.asm.Label (org.objectweb.asm@9.8)
