Picked up JAVA_TOOL_OPTIONS: -XX:NativeMemoryTracking=summary
671240:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       6668230      804684104  [B (java.base@17.0.15)
   2:       3124393      511190712  [I (java.base@17.0.15)
   3:       5362077      458160328  [Ljava.lang.Object; (java.base@17.0.15)
   4:       4454921      213836208  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   5:       4252033      204097584  dev.emi.emi.api.stack.ItemEmiStack (emi@1.1.22+1.20.1+forge)
   6:       5360125      171524000  java.util.HashMap$Node (java.base@17.0.15)
   7:       6177480      148259520  java.lang.String (java.base@17.0.15)
   8:       1123204      107827584  net.minecraft.world.item.ItemStack (minecraft@1.20.1)
   9:       2067690       99249120  java.util.HashMap (java.base@17.0.15)
  10:       3953883       94893192  java.util.ArrayList (java.base@17.0.15)
  11:        720690       74951760  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
  12:        317853       65766512  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  13:        959861       61431104  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap (it.unimi.dsi.fastutil@8.5.9)
  14:       1214970       58318560  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  15:       1497076       47906432  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  16:        839308       40286784  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  17:        784930       31397200  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  18:        559635       31339560  dev.emi.emi.jemi.impl.JemiRecipeSlotBuilder (emi@1.1.22+1.20.1+forge)
  19:       1174543       28189032  org.joml.Vector3f (org.joml@1.10.5)
  20:       1107226       26573424  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  21:         92753       26296800  [J (java.base@17.0.15)
  22:       1000447       24010728  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
  23:        719229       23015328  malte0811.ferritecore.fastmap.immutable.FastMapEntryImmutableMap (ferritecore@6.0.1)
  24:        478981       22991088  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  25:        846200       20308800  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  26:        841565       20197560  net.minecraft.client.resources.model.ModelBakery$BakedCacheKey (minecraft@1.20.1)
  27:        498773       19950920  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
  28:       1123203       17971248  net.minecraft.world.item.ItemStack$$Lambda$2527/0x0000000800da06b0 (minecraft@1.20.1)
  29:        142724       16611448  java.lang.Class (java.base@17.0.15)
  30:        978065       15649040  net.minecraft.nbt.CompoundTag (minecraft@1.20.1)
  31:          1625       15454752  [C (java.base@17.0.15)
  32:        369254       14770160  it.unimi.dsi.fastutil.objects.Object2ObjectArrayMap (it.unimi.dsi.fastutil@8.5.9)
  33:        128071       14351472  [D (java.base@17.0.15)
  34:        250654       14036624  com.google.gson.internal.LinkedTreeMap (com.google.gson@2.10)
  35:        562506       13500144  dev.emi.emi.jemi.impl.JemiIngredientAcceptor (emi@1.1.22+1.20.1+forge)
  36:        240486       13467216  net.minecraft.client.renderer.texture.SpriteContents (minecraft@1.20.1)
  37:        513408       12321792  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex (citadel@2.6.3)
  38:        507385       12177240  java.util.ImmutableCollections$List12 (java.base@17.0.15)
  39:        212376       11893056  net.minecraft.client.resources.model.SimpleBakedModel (minecraft@1.20.1)
  40:        288666       11546640  net.minecraftforge.eventbus.ListenerList$ListenerListInst (net.minecraftforge.eventbus)
  41:        240485       11543280  net.minecraft.client.renderer.texture.TextureAtlasSprite (minecraft@1.20.1)
  42:        218353       10799584  [Lcom.google.common.collect.ImmutableMapEntry; (com.google.common@31.1-jre)
  43:        666432       10662912  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap$MapEntrySet (it.unimi.dsi.fastutil@8.5.9)
  44:        216814       10407072  net.minecraft.client.renderer.block.model.ItemTransforms (minecraft@1.20.1)
  45:        313130       10020160  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.15)
  46:        244155        9736920  [Lcom.mojang.blaze3d.platform.NativeImage; (minecraft@1.20.1)
  47:        401004        9624096  net.minecraft.core.NonNullList (minecraft@1.20.1)
  48:        288667        9237344  java.util.concurrent.Semaphore$FairSync (java.base@17.0.15)
  49:        361161        8667864  java.util.Arrays$ArrayList (java.base@17.0.15)
  50:        331723        7961352  it.unimi.dsi.fastutil.objects.ObjectArrayList (it.unimi.dsi.fastutil@8.5.9)
  51:        327028        7848672  java.util.ImmutableCollections$ListN (java.base@17.0.15)
  52:        189036        7561440  com.google.common.collect.RegularImmutableMap (com.google.common@31.1-jre)
  53:        211550        6769600  [Lnet.minecraft.client.model.geom.ModelPart$Vertex; (minecraft@1.20.1)
  54:        422283        6756528  java.util.HashSet (java.base@17.0.15)
  55:        165448        6617920  java.util.EnumMap (java.base@17.0.15)
  56:        160297        6411880  net.minecraft.client.renderer.block.model.BlockElementFace (minecraft@1.20.1)
  57:        113984        6383104  org.objectweb.asm.Label (org.objectweb.asm@9.8)
  58:        112277        6287512  org.spongepowered.asm.mixin.transformer.ClassInfo$Method (org.spongepowered.mixin)
  59:        374747        5995952  com.google.gson.JsonPrimitive (com.google.gson@2.10)
  60:        177982        5695424  net.minecraft.core.Holder$Reference (minecraft@1.20.1)
  61:        177320        5674240  net.minecraftforge.common.util.LazyOptional (forge@47.4.13)
  62:        161478        5570352  [F (java.base@17.0.15)
  63:         92768        5526328  [Lnet.minecraft.world.item.ItemStack; (minecraft@1.20.1)
  64:        159883        5484280  [Ljava.util.Map$Entry; (java.base@17.0.15)
  65:          2236        5347584  [Lcom.google.common.collect.HashBiMap$BiEntry; (com.google.common@31.1-jre)
  66:         94214        5275984  java.util.LinkedHashMap (java.base@17.0.15)
  67:        219830        5275920  net.minecraft.nbt.ListTag (minecraft@1.20.1)
  68:        107205        5145840  java.lang.invoke.MemberName (java.base@17.0.15)
  69:        127902        5116080  org.objectweb.asm.tree.VarInsnNode (org.objectweb.asm.tree@9.8)
  70:        212700        5104800  net.minecraft.world.phys.Vec2 (minecraft@1.20.1)
  71:        211550        5077200  net.minecraft.client.model.geom.ModelPart$Polygon (minecraft@1.20.1)
  72:        309481        4951696  java.util.concurrent.Semaphore (java.base@17.0.15)
  73:        101594        4876512  org.embeddedt.modernfix.render.font.CompactUnihexContents$Shorts (modernfix@5.27.12+mc1.20.1)
  74:         20942        4709144  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@17.0.15)
  75:        288919        4622704  java.util.concurrent.atomic.AtomicReference (java.base@17.0.15)
  76:         96129        4614192  net.fabricmc.fabric.impl.renderer.SpriteFinderImpl$Node (fabric_renderer_api_v1@3.2.2+cf68abbe77)
  77:         62341        4488552  java.lang.reflect.Constructor (java.base@17.0.15)
  78:        140201        4486432  net.minecraft.client.renderer.block.model.Variant (minecraft@1.20.1)
  79:        111120        4444800  net.minecraft.world.inventory.Slot (minecraft@1.20.1)
  80:         78940        4420640  net.minecraft.client.renderer.block.model.BlockModel (minecraft@1.20.1)
  81:        275969        4415504  org.embeddedt.modernfix.resources.PackResourcesCacheEngine$Node (modernfix@5.27.12+mc1.20.1)
  82:         49879        4389352  java.lang.reflect.Method (java.base@17.0.15)
  83:         67220        4302080  java.lang.Class$ReflectionData (java.base@17.0.15)
  84:         76792        4300352  org.objectweb.asm.tree.MethodInsnNode (org.objectweb.asm.tree@9.8)
  85:        103542        4141680  org.objectweb.asm.tree.LabelNode (org.objectweb.asm.tree@9.8)
  86:        128352        4107264  [Lcom.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex; (citadel@2.6.3)
  87:        255576        4089216  java.lang.Object (java.base@17.0.15)
  88:        168529        4044696  net.minecraft.client.resources.model.Material (minecraft@1.20.1)
  89:         98887        3955480  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@17.0.15)
  90:        164008        3936192  com.google.common.collect.ImmutableMapEntry$NonTerminalImmutableMapEntry (com.google.common@31.1-jre)
  91:         61130        3912320  top.theillusivec4.curios.common.inventory.CurioStacksHandler (curios@5.14.1+1.20.1)
  92:        241523        3864368  net.minecraft.nbt.StringTag (minecraft@1.20.1)
  93:        241470        3863520  com.google.gson.JsonObject (com.google.gson@2.10)
  94:        160297        3847128  net.minecraft.client.renderer.block.model.BlockFaceUV (minecraft@1.20.1)
  95:        115821        3706272  org.spongepowered.asm.mixin.transformer.ClassInfo$FrameData (org.spongepowered.mixin)
  96:         77037        3697776  org.objectweb.asm.tree.LineNumberNode (org.objectweb.asm.tree@9.8)
  97:         21345        3585960  com.github.alexthe666.citadel.client.model.AdvancedModelBox (citadel@2.6.3)
  98:         88765        3550600  net.minecraft.world.item.crafting.Ingredient (minecraft@1.20.1)
  99:        146552        3517248  net.minecraft.util.random.WeightedEntry$Wrapper (minecraft@1.20.1)
 100:        109166        3493312  org.objectweb.asm.Type (org.objectweb.asm@9.8)
 101:         86492        3459680  org.embeddedt.modernfix.forge.recipe.IngredientItemStacksSoftReference (modernfix@5.27.12+mc1.20.1)
 102:        133505        3400616  [Ljava.lang.String; (java.base@17.0.15)
 103:         57257        3206392  dev.emi.emi.jemi.JemiRecipe (emi@1.1.22+1.20.1+forge)
 104:          5744        3170688  com.github.benmanes.caffeine.cache.MpscGrowableArrayQueue (com.github.benmanes.caffeine@3.2.1)
 105:         78940        3157600  net.minecraftforge.client.model.geometry.BlockGeometryBakingContext (forge@47.4.13)
 106:           328        3141096  [Lnet.minecraft.world.level.block.state.BlockState; (minecraft@1.20.1)
 107:         65355        3137040  com.google.common.collect.HashMultimap (com.google.common@31.1-jre)
 108:        128352        3080448  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$TexturedQuad (citadel@2.6.3)
 109:         63257        3036336  it.unimi.dsi.fastutil.objects.ObjectOpenHashSet (it.unimi.dsi.fastutil@8.5.9)
 110:         73456        2938240  dev.emi.emi.api.stack.FluidEmiStack (emi@1.1.22+1.20.1+forge)
 111:        122260        2934240  top.theillusivec4.curios.common.inventory.DynamicStackHandler (curios@5.14.1+1.20.1)
 112:         71732        2869280  java.lang.ref.SoftReference (java.base@17.0.15)
 113:        118955        2854920  net.minecraftforge.registries.ForgeRegistry$OverrideOwner (forge@47.4.13)
 114:        118619        2846856  it.unimi.dsi.fastutil.doubles.DoubleArrayList (it.unimi.dsi.fastutil@8.5.9)
 115:          2777        2843648  net.minecraft.client.player.RemotePlayer (minecraft@1.20.1)
 116:         35265        2821200  me.jellysquid.mods.sodium.client.render.immediate.model.ModelCuboid (embeddium@0.3.31+mc1.20.1)
 117:         87724        2807168  com.mojang.serialization.MapCodec$1 (datafixerupper@6.0.8)
 118:         34401        2752080  net.minecraft.client.model.geom.ModelPart (minecraft@1.20.1)
 119:        112990        2711760  net.minecraft.client.gui.font.providers.UnihexProvider$Glyph (minecraft@1.20.1)
 120:         56382        2706336  java.lang.invoke.MethodHandleImpl$CountingWrapper (java.base@17.0.15)
 121:         67039        2681560  org.objectweb.asm.tree.InsnNode (org.objectweb.asm.tree@9.8)
 122:         12997        2380488  [Lnet.minecraft.world.phys.shapes.VoxelShape; (minecraft@1.20.1)
 123:         49057        2354736  org.spongepowered.asm.mixin.transformer.ClassInfo$Field (org.spongepowered.mixin)
 124:         71056        2300752  [[I (java.base@17.0.15)
 125:         91042        2283672  [Lnet.minecraft.world.item.crafting.Ingredient$Value; (minecraft@1.20.1)
 126:         46704        2241792  com.google.common.cache.LocalCache$StrongAccessEntry (com.google.common@31.1-jre)
 127:         30973        2230056  java.lang.reflect.Field (java.base@17.0.15)
 128:         90603        2174472  net.minecraftforge.forgespi.language.ModFileScanData$ClassData (net.minecraftforge.forgespi@7.0.1)
 129:        134419        2150704  net.minecraft.client.renderer.block.model.MultiVariant (minecraft@1.20.1)
 130:         44736        2147328  org.objectweb.asm.Frame (org.objectweb.asm@9.8)
 131:        133899        2142384  java.lang.Integer (java.base@17.0.15)
 132:         64790        2073280  net.minecraft.network.syncher.SynchedEntityData$DataItem (minecraft@1.20.1)
 133:         51310        2052400  java.lang.invoke.MethodType (java.base@17.0.15)
 134:         19589        2037256  net.minecraft.world.level.block.state.BlockBehaviour$Properties (minecraft@1.20.1)
 135:         62584        2002688  com.google.common.collect.MapMakerInternalMap$StrongKeyWeakValueEntry (com.google.common@31.1-jre)
 136:         62584        2002688  com.google.common.collect.MapMakerInternalMap$WeakValueReferenceImpl (com.google.common@31.1-jre)
 137:         31280        2001920  java.util.concurrent.ConcurrentHashMap (java.base@17.0.15)
 138:         60593        1938976  java.lang.invoke.BoundMethodHandle$Species_L (java.base@17.0.15)
 139:        120567        1929072  com.mojang.datafixers.util.Either$Left (datafixerupper@6.0.8)
 140:         60133        1924256  jdk.internal.reflect.NativeConstructorAccessorImpl (java.base@17.0.15)
 141:         71747        1900248  [Ljava.lang.Class; (java.base@17.0.15)
 142:         33863        1896328  net.minecraft.world.phys.shapes.BitSetDiscreteVoxelShape (minecraft@1.20.1)
 143:        118080        1889280  com.google.gson.internal.LazilyParsedNumber (com.google.gson@2.10)
 144:         78030        1872720  cpw.mods.modlauncher.TransformerAuditTrail$TransformerActivity (cpw.mods.modlauncher@10.0.9)
 145:         77753        1866072  java.lang.invoke.ResolvedMethodName (java.base@17.0.15)
 146:         56566        1810112  java.lang.invoke.DirectMethodHandle (java.base@17.0.15)
 147:         56022        1792704  it.unimi.dsi.fastutil.objects.Object2IntRBTreeMap$Entry (it.unimi.dsi.fastutil@8.5.9)
 148:         15693        1757616  net.minecraft.world.item.BlockItem (minecraft@1.20.1)
 149:         54858        1755456  net.minecraft.network.chat.MutableComponent (minecraft@1.20.1)
 150:         30477        1706712  net.minecraft.network.chat.Style (minecraft@1.20.1)
 151:         35265        1692720  net.minecraft.client.model.geom.ModelPart$Cube (minecraft@1.20.1)
 152:         51369        1643808  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry (java.base@17.0.15)
 153:         34246        1643808  org.objectweb.asm.tree.FieldInsnNode (org.objectweb.asm.tree@9.8)
 154:         33789        1621872  java.lang.invoke.BoundMethodHandle$Species_LLLL (java.base@17.0.15)
 155:         66005        1584120  java.util.Collections$UnmodifiableRandomAccessList (java.base@17.0.15)
 156:         39429        1577160  org.objectweb.asm.tree.LocalVariableNode (org.objectweb.asm.tree@9.8)
 157:         95667        1530672  net.minecraft.world.item.crafting.Ingredient$ItemValue (minecraft@1.20.1)
 158:         31613        1517424  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@17.0.15)
 159:         46170        1477440  java.util.LinkedList (java.base@17.0.15)
 160:         61130        1467120  top.theillusivec4.curios.common.inventory.CurioStacksHandler$$Lambda$61379/0x0000000806bc3c38 (curios@5.14.1+1.20.1)
 161:         61130        1467120  top.theillusivec4.curios.common.inventory.CurioStacksHandler$$Lambda$61380/0x0000000806bc6000 (curios@5.14.1+1.20.1)
 162:         61113        1466712  dev.emi.emi.jemi.impl.JemiRecipeSlot$IngredientRenderer (emi@1.1.22+1.20.1+forge)
 163:         60821        1459704  net.minecraft.resources.ResourceKey (minecraft@1.20.1)
 164:         60821        1459704  net.minecraft.resources.ResourceKey$InternKey (minecraft@1.20.1)
 165:         60761        1458488  [Ljava.lang.reflect.Constructor; (java.base@17.0.15)
 166:         45071        1442272  java.util.Hashtable$Entry (java.base@17.0.15)
 167:         44765        1432480  net.minecraftforge.registries.RegistryObject (forge@47.4.13)
 168:         29756        1428288  xfacthd.framedblocks.common.compat.emi.FramingSawEmiRecipe (framedblocks@9.4.3)
 169:         44422        1421504  net.minecraftforge.registries.RegistryObject$1 (forge@47.4.13)
 170:         35265        1410472  [Lnet.minecraft.client.model.geom.ModelPart$Polygon; (minecraft@1.20.1)
 171:         34825        1393000  net.minecraft.client.renderer.block.model.BlockElement (minecraft@1.20.1)
 172:         57648        1383552  software.bernie.geckolib.cache.object.GeoVertex (geckolib@4.8.3)
 173:         57257        1374168  dev.emi.emi.jemi.impl.JemiRecipeLayoutBuilder (emi@1.1.22+1.20.1+forge)
 174:         41974        1343168  net.minecraft.client.resources.model.WeightedBakedModel (minecraft@1.20.1)
 175:         41863        1339616  org.openjdk.nashorn.internal.runtime.PropertyHashMap$Element (org.openjdk.nashorn)
 176:          5744        1332608  com.github.benmanes.caffeine.cache.SSA (com.github.benmanes.caffeine@3.2.1)
 177:         23706        1327536  org.openjdk.nashorn.internal.runtime.ScriptFunction (org.openjdk.nashorn)
 178:         23436        1312416  moffy.ticex.client.render.shader.ShaderToolQuad$Material (ticex@0.5.1)
 179:         54229        1301496  org.apache.commons.lang3.tuple.ImmutablePair (org.apache.commons.lang3@3.12.0)
 180:         54010        1296240  java.util.Collections$SynchronizedRandomAccessList (java.base@17.0.15)
 181:         40267        1288544  net.minecraft.world.phys.shapes.ArrayVoxelShape (minecraft@1.20.1)
 182:         10048        1286144  org.spongepowered.asm.mixin.transformer.MixinInfo$MixinMethodNode (org.spongepowered.mixin)
