675401:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       6639714      803202584  [B (java.base@17.0.15)
   2:       3122293      460341512  [I (java.base@17.0.15)
   3:       3234930      360123688  [Ljava.lang.Object; (java.base@17.0.15)
   4:       4449115      213557520  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   5:       5160058      165121856  java.util.HashMap$Node (java.base@17.0.15)
   6:       6122720      146945280  java.lang.String (java.base@17.0.15)
   7:       1156273      111002208  net.minecraft.world.item.ItemStack (minecraft@1.20.1)
   8:       1909893       91674864  java.util.HashMap (java.base@17.0.15)
   9:        720690       74951760  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
  10:       3067535       73620840  java.util.ArrayList (java.base@17.0.15)
  11:        242208       58800928  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  12:       1214970       58318560  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  13:       1497076       47906432  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  14:        839111       40277328  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  15:        769537       30781480  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  16:       1174351       28184424  org.joml.Vector3f (org.joml@1.10.5)
  17:       1045149       25083576  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  18:        601647       24065880  mezz.jei.core.search.suffixtree.Node (jei@15.20.0.130)
  19:         83768       23983520  [J (java.base@17.0.15)
  20:        719229       23015328  malte0811.ferritecore.fastmap.immutable.FastMapEntryImmutableMap (ferritecore@6.0.1)
  21:        359574       23012736  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap (it.unimi.dsi.fastutil@8.5.9)
  22:        478981       22991088  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  23:        890627       21375048  java.util.ImmutableCollections$List12 (java.base@17.0.15)
  24:        192525       20559384  [C (java.base@17.0.15)
  25:        846200       20308800  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  26:        841542       20197008  net.minecraft.client.resources.model.ModelBakery$BakedCacheKey (minecraft@1.20.1)
  27:        498088       19923520  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
  28:        803172       19276128  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
  29:       1156272       18500352  net.minecraft.world.item.ItemStack$$Lambda$2527/0x0000000800d81990 (minecraft@1.20.1)
  30:        142313       16563560  java.lang.Class (java.base@17.0.15)
  31:        365418       14616720  it.unimi.dsi.fastutil.objects.Object2ObjectArrayMap (it.unimi.dsi.fastutil@8.5.9)
  32:        250599       14033544  com.google.gson.internal.LinkedTreeMap (com.google.gson@2.10)
  33:        240486       13467216  net.minecraft.client.renderer.texture.SpriteContents (minecraft@1.20.1)
  34:        125707       12372016  [D (java.base@17.0.15)
  35:        513408       12321792  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex (citadel@2.6.3)
  36:        212206       11883536  net.minecraft.client.resources.model.SimpleBakedModel (minecraft@1.20.1)
  37:        240485       11543280  net.minecraft.client.renderer.texture.TextureAtlasSprite (minecraft@1.20.1)
  38:        287526       11501040  net.minecraftforge.eventbus.ListenerList$ListenerListInst (net.minecraftforge.eventbus)
  39:        214688       10677376  [Lcom.google.common.collect.ImmutableMapEntry; (com.google.common@31.1-jre)
  40:        216644       10398912  net.minecraft.client.renderer.block.model.ItemTransforms (minecraft@1.20.1)
  41:        313189       10022048  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.15)
  42:        244155        9736920  [Lcom.mojang.blaze3d.platform.NativeImage; (minecraft@1.20.1)
  43:        287527        9200864  java.util.concurrent.Semaphore$FairSync (java.base@17.0.15)
  44:        351422        8434128  com.google.common.collect.ImmutableMapEntry$NonTerminalImmutableMapEntry (com.google.common@31.1-jre)
  45:        326128        7827072  net.minecraft.core.NonNullList (minecraft@1.20.1)
  46:        186057        7442280  com.google.common.collect.RegularImmutableMap (com.google.common@31.1-jre)
  47:        181598        7263920  it.unimi.dsi.fastutil.chars.Char2ObjectArrayMap (it.unimi.dsi.fastutil@8.5.9)
  48:        284762        6834288  java.util.Arrays$ArrayList (java.base@17.0.15)
  49:        211550        6769600  [Lnet.minecraft.client.model.geom.ModelPart$Vertex; (minecraft@1.20.1)
  50:        161736        6469440  java.util.EnumMap (java.base@17.0.15)
  51:        160288        6411520  net.minecraft.client.renderer.block.model.BlockElementFace (minecraft@1.20.1)
  52:        113683        6366248  org.objectweb.asm.Label (org.objectweb.asm@9.8)
  53:        111744        6257664  org.spongepowered.asm.mixin.transformer.ClassInfo$Method (org.spongepowered.mixin)
  54:        377679        6042864  net.minecraft.nbt.CompoundTag (minecraft@1.20.1)
  55:        374103        5985648  com.google.gson.JsonPrimitive (com.google.gson@2.10)
  56:         99088        5714304  [Lnet.minecraft.world.item.ItemStack; (minecraft@1.20.1)
  57:        177982        5695424  net.minecraft.core.Holder$Reference (minecraft@1.20.1)
  58:        161211        5562840  [F (java.base@17.0.15)
  59:        341969        5471504  java.util.HashSet (java.base@17.0.15)
  60:        157562        5420160  [Ljava.util.Map$Entry; (java.base@17.0.15)
  61:          2236        5347584  [Lcom.google.common.collect.HashBiMap$BiEntry; (com.google.common@31.1-jre)
  62:        106882        5130336  java.lang.invoke.MemberName (java.base@17.0.15)
  63:        212700        5104800  net.minecraft.world.phys.Vec2 (minecraft@1.20.1)
  64:        127100        5084000  org.objectweb.asm.tree.VarInsnNode (org.objectweb.asm.tree@9.8)
  65:        211550        5077200  net.minecraft.client.model.geom.ModelPart$Polygon (minecraft@1.20.1)
  66:        308341        4933456  java.util.concurrent.Semaphore (java.base@17.0.15)
  67:        101594        4876512  org.embeddedt.modernfix.render.font.CompactUnihexContents$Shorts (modernfix@5.27.12+mc1.20.1)
  68:         84648        4740288  java.util.LinkedHashMap (java.base@17.0.15)
  69:         20933        4711960  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@17.0.15)
  70:        193603        4646472  java.util.ImmutableCollections$ListN (java.base@17.0.15)
  71:         96129        4614192  net.fabricmc.fabric.impl.renderer.SpriteFinderImpl$Node (fabric_renderer_api_v1@3.2.2+cf68abbe77)
  72:        287779        4604464  java.util.concurrent.atomic.AtomicReference (java.base@17.0.15)
  73:        140201        4486432  net.minecraft.client.renderer.block.model.Variant (minecraft@1.20.1)
  74:        186285        4470840  it.unimi.dsi.fastutil.objects.ObjectArrayList (it.unimi.dsi.fastutil@8.5.9)
  75:         62089        4470408  java.lang.reflect.Constructor (java.base@17.0.15)
  76:        139317        4458144  net.minecraftforge.common.util.LazyOptional (forge@47.4.13)
  77:         78893        4418008  net.minecraft.client.renderer.block.model.BlockModel (minecraft@1.20.1)
  78:        275860        4413760  org.embeddedt.modernfix.resources.PackResourcesCacheEngine$Node (modernfix@5.27.12+mc1.20.1)
  79:         49728        4376064  java.lang.reflect.Method (java.base@17.0.15)
  80:         66896        4281344  java.lang.Class$ReflectionData (java.base@17.0.15)
  81:         76359        4276104  org.objectweb.asm.tree.MethodInsnNode (org.objectweb.asm.tree@9.8)
  82:        102903        4116120  org.objectweb.asm.tree.LabelNode (org.objectweb.asm.tree@9.8)
  83:        128352        4107264  [Lcom.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex; (citadel@2.6.3)
  84:        168490        4043760  net.minecraft.client.resources.model.Material (minecraft@1.20.1)
  85:         98801        3952040  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@17.0.15)
  86:        241469        3863504  com.google.gson.JsonObject (com.google.gson@2.10)
  87:        160288        3846912  net.minecraft.client.renderer.block.model.BlockFaceUV (minecraft@1.20.1)
  88:         95090        3803600  net.minecraft.world.item.crafting.Ingredient (minecraft@1.20.1)
  89:         92811        3712440  org.embeddedt.modernfix.forge.recipe.IngredientItemStacksSoftReference (modernfix@5.27.12+mc1.20.1)
  90:        114966        3678912  org.spongepowered.asm.mixin.transformer.ClassInfo$FrameData (org.spongepowered.mixin)
  91:         76555        3674640  org.objectweb.asm.tree.LineNumberNode (org.objectweb.asm.tree@9.8)
  92:         21345        3585960  com.github.alexthe666.citadel.client.model.AdvancedModelBox (citadel@2.6.3)
  93:        146552        3517248  net.minecraft.util.random.WeightedEntry$Wrapper (minecraft@1.20.1)
  94:        217409        3478544  java.lang.Object (java.base@17.0.15)
  95:        108681        3477792  org.objectweb.asm.Type (org.objectweb.asm@9.8)
  96:         71749        3443952  it.unimi.dsi.fastutil.objects.ObjectOpenHashSet (it.unimi.dsi.fastutil@8.5.9)
  97:         84760        3390400  net.minecraft.world.inventory.Slot (minecraft@1.20.1)
  98:        133132        3281672  [Ljava.lang.String; (java.base@17.0.15)
  99:          5744        3170688  com.github.benmanes.caffeine.cache.MpscGrowableArrayQueue (com.github.benmanes.caffeine@3.2.1)
 100:         78893        3155720  net.minecraftforge.client.model.geometry.BlockGeometryBakingContext (forge@47.4.13)
 101:           328        3141096  [Lnet.minecraft.world.level.block.state.BlockState; (minecraft@1.20.1)
 102:         65092        3124416  com.google.common.cache.LocalCache$StrongAccessEntry (com.google.common@31.1-jre)
 103:        128352        3080448  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$TexturedQuad (citadel@2.6.3)
 104:        190458        3047328  net.minecraft.nbt.StringTag (minecraft@1.20.1)
 105:         46632        2984448  top.theillusivec4.curios.common.inventory.CurioStacksHandler (curios@5.14.1+1.20.1)
 106:         71391        2855640  java.lang.ref.SoftReference (java.base@17.0.15)
 107:        118955        2854920  net.minecraftforge.registries.ForgeRegistry$OverrideOwner (forge@47.4.13)
 108:        118619        2846856  it.unimi.dsi.fastutil.doubles.DoubleArrayList (it.unimi.dsi.fastutil@8.5.9)
 109:         35265        2821200  me.jellysquid.mods.sodium.client.render.immediate.model.ModelCuboid (embeddium@0.3.31+mc1.20.1)
 110:         86929        2781728  com.mojang.serialization.MapCodec$1 (datafixerupper@6.0.8)
 111:         34401        2752080  net.minecraft.client.model.geom.ModelPart (minecraft@1.20.1)
 112:        112990        2711760  net.minecraft.client.gui.font.providers.UnihexProvider$Glyph (minecraft@1.20.1)
 113:         56406        2707488  java.lang.invoke.MethodHandleImpl$CountingWrapper (java.base@17.0.15)
 114:         66593        2663720  org.objectweb.asm.tree.InsnNode (org.objectweb.asm.tree@9.8)
 115:         97492        2472432  [Lnet.minecraft.world.item.crafting.Ingredient$Value; (minecraft@1.20.1)
 116:         50857        2441136  com.google.common.collect.HashMultimap (com.google.common@31.1-jre)
 117:         13006        2380848  [Lnet.minecraft.world.phys.shapes.VoxelShape; (minecraft@1.20.1)
 118:         48845        2344560  org.spongepowered.asm.mixin.transformer.ClassInfo$Field (org.spongepowered.mixin)
 119:         71056        2300752  [[I (java.base@17.0.15)
 120:         93264        2238336  top.theillusivec4.curios.common.inventory.DynamicStackHandler (curios@5.14.1+1.20.1)
 121:         30774        2215728  java.lang.reflect.Field (java.base@17.0.15)
 122:          2118        2168832  net.minecraft.client.player.RemotePlayer (minecraft@1.20.1)
 123:         90152        2163648  net.minecraftforge.forgespi.language.ModFileScanData$ClassData (net.minecraftforge.forgespi@7.0.1)
 124:        134419        2150704  net.minecraft.client.renderer.block.model.MultiVariant (minecraft@1.20.1)
 125:         44740        2147520  org.objectweb.asm.Frame (org.objectweb.asm@9.8)
 126:        131935        2110960  java.lang.Integer (java.base@17.0.15)
 127:         51246        2049840  java.lang.invoke.MethodType (java.base@17.0.15)
 128:         19589        2037256  net.minecraft.world.level.block.state.BlockBehaviour$Properties (minecraft@1.20.1)
 129:         62585        2002720  com.google.common.collect.MapMakerInternalMap$StrongKeyWeakValueEntry (com.google.common@31.1-jre)
 130:         62585        2002720  com.google.common.collect.MapMakerInternalMap$WeakValueReferenceImpl (com.google.common@31.1-jre)
 131:         31257        2000448  java.util.concurrent.ConcurrentHashMap (java.base@17.0.15)
 132:         60360        1931520  java.lang.invoke.BoundMethodHandle$Species_L (java.base@17.0.15)
 133:        120528        1928448  com.mojang.datafixers.util.Either$Left (datafixerupper@6.0.8)
 134:         59896        1916672  jdk.internal.reflect.NativeConstructorAccessorImpl (java.base@17.0.15)
 135:         33863        1896328  net.minecraft.world.phys.shapes.BitSetDiscreteVoxelShape (minecraft@1.20.1)
 136:         71609        1896320  [Ljava.lang.Class; (java.base@17.0.15)
 137:        118080        1889280  com.google.gson.internal.LazilyParsedNumber (com.google.gson@2.10)
