87746:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       6380921      781597616  [B (java.base@17.0.15)
   2:       3008170      485352512  [I (java.base@17.0.15)
   3:       6248641      481632416  [Ljava.lang.Object; (java.base@17.0.15)
   4:       4281006      205488288  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   5:       5072720      162327040  java.util.HashMap$Node (java.base@17.0.15)
   6:       3164002      151872096  java.util.HashMap (java.base@17.0.15)
   7:       5917034      142008816  java.lang.String (java.base@17.0.15)
   8:       2278662      109375776  dev.emi.emi.api.stack.ItemEmiStack (emi@1.1.22+1.20.1+forge)
   9:       3667354       88016496  java.util.ArrayList (java.base@17.0.15)
  10:        762717       73220832  net.minecraft.world.item.ItemStack (minecraft@1.20.1)
  11:        666949       69362696  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
  12:       1040477       66590528  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap (it.unimi.dsi.fastutil@8.5.9)
  13:        355822       59917336  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  14:       1145540       54985920  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  15:       1380833       44186656  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  16:        913322       36532880  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  17:       1466345       35192280  net.minecraft.core.NonNullList (minecraft@1.20.1)
  18:        132543       35067808  [D (java.base@17.0.15)
  19:        729483       35015184  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  20:       1383619       33206856  java.util.Arrays$ArrayList (java.base@17.0.15)
  21:         98686       29080712  [J (java.base@17.0.15)
  22:       1167384       28017216  org.joml.Vector3f (org.joml@1.10.5)
  23:        943666       22647984  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  24:       1392050       22272800  java.util.HashSet (java.base@17.0.15)
  25:        670708       21462656  malte0811.ferritecore.fastmap.immutable.FastMapEntryImmutableMap (ferritecore@6.0.1)
  26:        649833       20794656  net.minecraftforge.common.util.LazyOptional (forge@47.4.13)
  27:        846200       20308800  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  28:        460131       18405240  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
  29:        764632       18351168  net.minecraft.client.resources.model.ModelBakery$BakedCacheKey (minecraft@1.20.1)
  30:        454840       18193600  net.minecraft.world.inventory.Slot (minecraft@1.20.1)
  31:        365845       17560560  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  32:        718405       17241720  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
  33:       1058700       16939200  net.minecraft.nbt.CompoundTag (minecraft@1.20.1)
  34:        142196       16549136  java.lang.Class (java.base@17.0.15)
  35:        250176       16011264  top.theillusivec4.curios.common.inventory.CurioStacksHandler (curios@5.14.1+1.20.1)
  36:          1599       15355560  [C (java.base@17.0.15)
  37:        352188       14087520  it.unimi.dsi.fastutil.objects.Object2ObjectArrayMap (it.unimi.dsi.fastutil@8.5.9)
  38:        249383       13965448  dev.emi.emi.jemi.impl.JemiRecipeSlotBuilder (emi@1.1.22+1.20.1+forge)
  39:        226609       12690104  net.minecraft.client.renderer.texture.SpriteContents (minecraft@1.20.1)
  40:        513408       12321792  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex (citadel@2.6.3)
  41:        254401       12211248  com.google.common.collect.HashMultimap (com.google.common@31.1-jre)
  42:        762716       12203456  net.minecraft.world.item.ItemStack$$Lambda$2527/0x0000000800da25c8 (minecraft@1.20.1)
  43:        500352       12008448  top.theillusivec4.curios.common.inventory.DynamicStackHandler (curios@5.14.1+1.20.1)
  44:        212095       11877320  com.google.gson.internal.LinkedTreeMap (com.google.gson@2.10)
  45:        727934       11646944  java.lang.Object (java.base@17.0.15)
  46:         11370       11642880  net.minecraft.client.player.RemotePlayer (minecraft@1.20.1)
  47:        287560       11502400  net.minecraftforge.eventbus.ListenerList$ListenerListInst (net.minecraftforge.eventbus)
  48:        217559       10978160  [Lcom.google.common.collect.ImmutableMapEntry; (com.google.common@31.1-jre)
  49:        226608       10877184  net.minecraft.client.renderer.texture.TextureAtlasSprite (minecraft@1.20.1)
  50:        184634       10339504  net.minecraft.client.resources.model.SimpleBakedModel (minecraft@1.20.1)
  51:        644997       10319952  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap$MapEntrySet (it.unimi.dsi.fastutil@8.5.9)
  52:        409263        9822312  com.google.common.collect.ImmutableMapEntry$NonTerminalImmutableMapEntry (com.google.common@31.1-jre)
  53:        302427        9677664  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.15)
  54:        287561        9201952  java.util.concurrent.Semaphore$FairSync (java.base@17.0.15)
  55:        383198        9196752  java.util.ImmutableCollections$List12 (java.base@17.0.15)
  56:        230269        9181480  [Lcom.mojang.blaze3d.platform.NativeImage; (minecraft@1.20.1)
  57:        189057        9074736  net.minecraft.client.renderer.block.model.ItemTransforms (minecraft@1.20.1)
  58:        347926        8350224  it.unimi.dsi.fastutil.objects.ObjectArrayList (it.unimi.dsi.fastutil@8.5.9)
  59:        253688        8118016  net.minecraft.network.syncher.SynchedEntityData$DataItem (minecraft@1.20.1)
  60:        183599        7343960  java.util.EnumMap (java.base@17.0.15)
  61:        179649        7185960  com.google.common.collect.RegularImmutableMap (com.google.common@31.1-jre)
  62:        298792        7171008  java.util.ImmutableCollections$ListN (java.base@17.0.15)
  63:        127722        7152432  java.util.LinkedHashMap (java.base@17.0.15)
  64:        211550        6769600  [Lnet.minecraft.client.model.geom.ModelPart$Vertex; (minecraft@1.20.1)
  65:        113956        6381536  org.objectweb.asm.Label (org.objectweb.asm@9.8)
  66:        112230        6284880  org.spongepowered.asm.mixin.transformer.ClassInfo$Method (org.spongepowered.mixin)
  67:        156114        6244560  net.minecraft.client.renderer.block.model.BlockElementFace (minecraft@1.20.1)
  68:        252256        6054144  dev.emi.emi.jemi.impl.JemiIngredientAcceptor (emi@1.1.22+1.20.1+forge)
  69:        250176        6004224  top.theillusivec4.curios.common.inventory.CurioStacksHandler$$Lambda$61038/0x0000000806ba3eb8 (curios@5.14.1+1.20.1)
  70:        250176        6004224  top.theillusivec4.curios.common.inventory.CurioStacksHandler$$Lambda$61039/0x0000000806ba4100 (curios@5.14.1+1.20.1)
  71:        236033        5664792  net.minecraft.nbt.ListTag (minecraft@1.20.1)
  72:        157291        5436384  [F (java.base@17.0.15)
  73:        334032        5344512  com.google.gson.JsonPrimitive (com.google.gson@2.10)
  74:        106693        5121264  java.lang.invoke.MemberName (java.base@17.0.15)
  75:        127852        5114080  org.objectweb.asm.tree.VarInsnNode (org.objectweb.asm.tree@9.8)
  76:        212700        5104800  net.minecraft.world.phys.Vec2 (minecraft@1.20.1)
  77:        211550        5077200  net.minecraft.client.model.geom.ModelPart$Polygon (minecraft@1.20.1)
  78:        150148        4967776  [Ljava.lang.String; (java.base@17.0.15)
  79:        308375        4934000  java.util.concurrent.Semaphore (java.base@17.0.15)
  80:        141900        4877992  [Ljava.util.Map$Entry; (java.base@17.0.15)
  81:        101594        4876512  org.embeddedt.modernfix.render.font.CompactUnihexContents$Shorts (modernfix@5.27.12+mc1.20.1)
  82:        301904        4830464  net.minecraft.nbt.StringTag (minecraft@1.20.1)
  83:        287813        4605008  java.util.concurrent.atomic.AtomicReference (java.base@17.0.15)
  84:         19569        4540664  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@17.0.15)
  85:         62020        4465440  java.lang.reflect.Constructor (java.base@17.0.15)
  86:         49874        4388912  java.lang.reflect.Method (java.base@17.0.15)
  87:        135654        4340928  net.minecraft.core.Holder$Reference (minecraft@1.20.1)
  88:         76754        4298224  org.objectweb.asm.tree.MethodInsnNode (org.objectweb.asm.tree@9.8)
  89:          2104        4287424  [Lcom.google.common.collect.HashBiMap$BiEntry; (com.google.common@31.1-jre)
  90:         66894        4281216  java.lang.Class$ReflectionData (java.base@17.0.15)
  91:         88161        4231728  net.fabricmc.fabric.impl.renderer.SpriteFinderImpl$Node (fabric_renderer_api_v1@3.2.2+cf68abbe77)
  92:        103518        4140720  org.objectweb.asm.tree.LabelNode (org.objectweb.asm.tree@9.8)
  93:        128352        4107264  [Lcom.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex; (citadel@2.6.3)
  94:         92073        4097856  [Lnet.minecraft.world.item.ItemStack; (minecraft@1.20.1)
  95:         98844        3953760  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@17.0.15)
  96:        120534        3857088  net.minecraft.client.renderer.block.model.Variant (minecraft@1.20.1)
  97:        159210        3821040  org.apache.commons.lang3.tuple.ImmutableTriple (org.apache.commons.lang3@3.12.0)
  98:        237423        3798768  org.embeddedt.modernfix.resources.PackResourcesCacheEngine$Node (modernfix@5.27.12+mc1.20.1)
  99:        156114        3746736  net.minecraft.client.renderer.block.model.BlockFaceUV (minecraft@1.20.1)
 100:        115838        3706816  org.spongepowered.asm.mixin.transformer.ClassInfo$FrameData (org.spongepowered.mixin)
 101:         77019        3696912  org.objectweb.asm.tree.LineNumberNode (org.objectweb.asm.tree@9.8)
 102:         21345        3585960  com.github.alexthe666.citadel.client.model.AdvancedModelBox (citadel@2.6.3)
 103:         88070        3522800  net.minecraft.world.item.crafting.Ingredient (minecraft@1.20.1)
 104:        146552        3517248  net.minecraft.util.random.WeightedEntry$Wrapper (minecraft@1.20.1)
 105:        109115        3491680  org.objectweb.asm.Type (org.objectweb.asm@9.8)
 106:         61454        3441424  net.minecraft.client.renderer.block.model.BlockModel (minecraft@1.20.1)
 107:         85797        3431880  org.embeddedt.modernfix.forge.recipe.IngredientItemStacksSoftReference (modernfix@5.27.12+mc1.20.1)
 108:        202918        3246688  com.google.gson.JsonObject (com.google.gson@2.10)
 109:          5744        3170688  com.github.benmanes.caffeine.cache.MpscGrowableArrayQueue (com.github.benmanes.caffeine@3.2.1)
 110:           328        3141096  [Lnet.minecraft.world.level.block.state.BlockState; (minecraft@1.20.1)
 111:        128352        3080448  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$TexturedQuad (citadel@2.6.3)
 112:         73456        2938240  dev.emi.emi.api.stack.FluidEmiStack (emi@1.1.22+1.20.1+forge)
 113:         71398        2855920  java.lang.ref.SoftReference (java.base@17.0.15)
