104325:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       6929528      812304192  [B (java.base@17.0.15)
   2:       6749740      538165208  [Ljava.lang.Object; (java.base@17.0.15)
   3:       3132146      465760480  [I (java.base@17.0.15)
   4:       4454921      213836208  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   5:       4252104      204100992  dev.emi.emi.api.stack.ItemEmiStack (emi@1.1.22+1.20.1+forge)
   6:       5453282      174505024  java.util.HashMap$Node (java.base@17.0.15)
   7:       3517730      168851040  java.util.HashMap (java.base@17.0.15)
   8:       6440999      154583976  java.lang.String (java.base@17.0.15)
   9:       1147861      110194656  net.minecraft.world.item.ItemStack (minecraft@1.20.1)
  10:       4115342       98768208  java.util.ArrayList (java.base@17.0.15)
  11:        720690       74951760  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
  12:        366742       70268656  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  13:       1065756       68208384  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap (it.unimi.dsi.fastutil@8.5.9)
  14:       1214970       58318560  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  15:       1497076       47906432  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  16:        839298       40286304  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  17:        963201       38528040  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  18:        152857       34906240  [D (java.base@17.0.15)
  19:       1417174       34012176  net.minecraft.core.NonNullList (minecraft@1.20.1)
  20:       1336355       32072520  java.util.Arrays$ArrayList (java.base@17.0.15)
  21:        559651       31340456  dev.emi.emi.jemi.impl.JemiRecipeSlotBuilder (emi@1.1.22+1.20.1+forge)
  22:       1174725       28193400  org.joml.Vector3f (org.joml@1.10.5)
  23:       1107225       26573400  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  24:        719229       23015328  malte0811.ferritecore.fastmap.immutable.FastMapEntryImmutableMap (ferritecore@6.0.1)
  25:        478972       22990656  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  26:       1347898       21566368  java.util.HashSet (java.base@17.0.15)
  27:        893684       21448416  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
  28:        846200       20308800  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  29:        841565       20197560  net.minecraft.client.resources.model.ModelBakery$BakedCacheKey (minecraft@1.20.1)
  30:        627943       20094176  net.minecraftforge.common.util.LazyOptional (forge@47.4.13)
  31:        496823       19872920  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
  32:       1147860       18365760  net.minecraft.world.item.ItemStack$$Lambda$2524/0x0000000800d9b840 (minecraft@1.20.1)
  33:        438920       17556800  net.minecraft.world.inventory.Slot (minecraft@1.20.1)
  34:         58919       17374976  [J (java.base@17.0.15)
  35:       1083972       17343552  net.minecraft.nbt.CompoundTag (minecraft@1.20.1)
  36:        141086       16417056  java.lang.Class (java.base@17.0.15)
  37:        410205       16408200  it.unimi.dsi.fastutil.objects.Object2ObjectArrayMap (it.unimi.dsi.fastutil@8.5.9)
  38:        241420       15450880  top.theillusivec4.curios.common.inventory.CurioStacksHandler (curios@5.14.1+1.20.1)
  39:          1540       15309552  [C (java.base@17.0.15)
  40:        250649       14036344  com.google.gson.internal.LinkedTreeMap (com.google.gson@2.10)
  41:        562524       13500576  dev.emi.emi.jemi.impl.JemiIngredientAcceptor (emi@1.1.22+1.20.1+forge)
  42:        240486       13467216  net.minecraft.client.renderer.texture.SpriteContents (minecraft@1.20.1)
  43:        513408       12321792  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex (citadel@2.6.3)
  44:        507557       12181368  java.util.ImmutableCollections$List12 (java.base@17.0.15)
  45:        212376       11893056  net.minecraft.client.resources.model.SimpleBakedModel (minecraft@1.20.1)
  46:        245645       11790960  com.google.common.collect.HashMultimap (com.google.common@31.1-jre)
  47:        482840       11588160  top.theillusivec4.curios.common.inventory.DynamicStackHandler (curios@5.14.1+1.20.1)
  48:        240485       11543280  net.minecraft.client.renderer.texture.TextureAtlasSprite (minecraft@1.20.1)
  49:        234644       11517000  [Lcom.google.common.collect.ImmutableMapEntry; (com.google.common@31.1-jre)
  50:        287560       11502400  net.minecraftforge.eventbus.ListenerList$ListenerListInst (net.minecraftforge.eventbus)
  51:        704865       11277840  java.lang.Object (java.base@17.0.15)
  52:         10972       11235328  net.minecraft.client.player.RemotePlayer (minecraft@1.20.1)
  53:        666815       10669040  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap$MapEntrySet (it.unimi.dsi.fastutil@8.5.9)
  54:        216814       10407072  net.minecraft.client.renderer.block.model.ItemTransforms (minecraft@1.20.1)
  55:        244155        9736920  [Lcom.mojang.blaze3d.platform.NativeImage; (minecraft@1.20.1)
  56:        288678        9237696  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.15)
  57:        287560        9201920  java.util.concurrent.Semaphore$FairSync (java.base@17.0.15)
  58:        348041        8352984  it.unimi.dsi.fastutil.objects.ObjectArrayList (it.unimi.dsi.fastutil@8.5.9)
  59:        206385        8255400  java.util.EnumMap (java.base@17.0.15)
  60:        197181        7887240  com.google.common.collect.RegularImmutableMap (com.google.common@31.1-jre)
  61:        327047        7849128  java.util.ImmutableCollections$ListN (java.base@17.0.15)
  62:        244932        7837824  net.minecraft.network.syncher.SynchedEntityData$DataItem (minecraft@1.20.1)
  63:        311111        7466664  com.google.common.collect.ImmutableMapEntry$NonTerminalImmutableMapEntry (com.google.common@31.1-jre)
  64:        126911        7107016  java.util.LinkedHashMap (java.base@17.0.15)
  65:        211550        6769600  [Lnet.minecraft.client.model.geom.ModelPart$Vertex; (minecraft@1.20.1)
  66:        160297        6411880  net.minecraft.client.renderer.block.model.BlockElementFace (minecraft@1.20.1)
  67:        113689        6366584  org.objectweb.asm.Label (org.objectweb.asm@9.8)
  68:        111949        6269144  org.spongepowered.asm.mixin.transformer.ClassInfo$Method (org.spongepowered.mixin)
  69:        374747        5995952  com.google.gson.JsonPrimitive (com.google.gson@2.10)
  70:        241420        5794080  top.theillusivec4.curios.common.inventory.CurioStacksHandler$$Lambda$61333/0x0000000806b3ce30 (curios@5.14.1+1.20.1)
  71:        241420        5794080  top.theillusivec4.curios.common.inventory.CurioStacksHandler$$Lambda$61334/0x0000000806b3d078 (curios@5.14.1+1.20.1)
