108267:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       6385011      780203872  [B (java.base@17.0.15)
   2:       6587281      517290640  [Ljava.lang.Object; (java.base@17.0.15)
   3:       2832672      474205608  [I (java.base@17.0.15)
   4:       4117354      197632992  dev.emi.emi.api.stack.ItemEmiStack (emi@1.1.22+1.20.1+forge)
   5:       4079008      195792384  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   6:       5161770      165176640  java.util.HashMap$Node (java.base@17.0.15)
   7:       3378308      162158784  java.util.HashMap (java.base@17.0.15)
   8:       5919443      142066632  java.lang.String (java.base@17.0.15)
   9:       1085925      104248800  net.minecraft.world.item.ItemStack (minecraft@1.20.1)
  10:       3982039       95568936  java.util.ArrayList (java.base@17.0.15)
  11:        678223       70535192  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
  12:       1060564       67876096  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap (it.unimi.dsi.fastutil@8.5.9)
  13:        341275       63531232  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  14:       1173187       56312976  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  15:       1409182       45093824  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  16:        927333       37093320  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  17:        151633       34343856  [D (java.base@17.0.15)
  18:       1388005       33312120  net.minecraft.core.NonNullList (minecraft@1.20.1)
  19:        691270       33180960  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  20:        120097       33009368  [J (java.base@17.0.15)
  21:       1314704       31552896  java.util.Arrays$ArrayList (java.base@17.0.15)
  22:        547106       30637936  dev.emi.emi.jemi.impl.JemiRecipeSlotBuilder (emi@1.1.22+1.20.1+forge)
  23:       1127628       27063072  org.joml.Vector3f (org.joml@1.10.5)
  24:        997860       23948640  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  25:        978235       23477640  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
  26:        456877       21930096  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  27:        677047       21665504  malte0811.ferritecore.fastmap.immutable.FastMapEntryImmutableMap (ferritecore@6.0.1)
  28:       1322158       21154528  java.util.HashSet (java.base@17.0.15)
  29:        844352       20264448  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  30:        618262       19784384  net.minecraftforge.common.util.LazyOptional (forge@47.4.13)
  31:        787121       18890904  net.minecraft.client.resources.model.ModelBakery$BakedCacheKey (minecraft@1.20.1)
  32:        472049       18881960  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
  33:       1085924       17374784  net.minecraft.world.item.ItemStack$$Lambda$2526/0x0000000800d9d338 (minecraft@1.20.1)
  34:        431920       17276800  net.minecraft.world.inventory.Slot (minecraft@1.20.1)
  35:       1077744       17243904  net.minecraft.nbt.CompoundTag (minecraft@1.20.1)
  36:        140661       16373152  java.lang.Class (java.base@17.0.15)
  37:        386557       15462280  it.unimi.dsi.fastutil.objects.Object2ObjectArrayMap (it.unimi.dsi.fastutil@8.5.9)
  38:          1603       15372112  [C (java.base@17.0.15)
  39:        237570       15204480  top.theillusivec4.curios.common.inventory.CurioStacksHandler (curios@5.14.1+1.20.1)
  40:        549979       13199496  dev.emi.emi.jemi.impl.JemiIngredientAcceptor (emi@1.1.22+1.20.1+forge)
  41:        232114       12998384  net.minecraft.client.renderer.texture.SpriteContents (minecraft@1.20.1)
  42:        513408       12321792  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex (citadel@2.6.3)
  43:        485675       11656200  java.util.ImmutableCollections$List12 (java.base@17.0.15)
  44:        206430       11560080  com.google.gson.internal.LinkedTreeMap (com.google.gson@2.10)
