112190:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       6894630      809697056  [B (java.base@17.0.15)
   2:       6592022      531108096  [Ljava.lang.Object; (java.base@17.0.15)
   3:       3109689      461930664  [I (java.base@17.0.15)
   4:       4416521      211993008  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   5:       4243501      203688048  dev.emi.emi.api.stack.ItemEmiStack (emi@1.1.22+1.20.1+forge)
   6:       5411406      173164992  java.util.HashMap$Node (java.base@17.0.15)
   7:       3384853      162472944  java.util.HashMap (java.base@17.0.15)
   8:       6408516      153804384  java.lang.String (java.base@17.0.15)
   9:       1143477      109773792  net.minecraft.world.item.ItemStack (minecraft@1.20.1)
  10:       4042856       97028544  java.util.ArrayList (java.base@17.0.15)
  11:        718696       74744384  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
  12:        361412       69710472  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  13:       1059596       67814144  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap (it.unimi.dsi.fastutil@8.5.9)
  14:       1208160       57991680  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  15:       1492667       47765344  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  16:        836843       40168464  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  17:        938692       37547680  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  18:        151226       33622776  [D (java.base@17.0.15)
  19:       1305040       31320960  net.minecraft.core.NonNullList (minecraft@1.20.1)
  20:        556334       31154704  dev.emi.emi.jemi.impl.JemiRecipeSlotBuilder (emi@1.1.22+1.20.1+forge)
  21:       1226809       29443416  java.util.Arrays$ArrayList (java.base@17.0.15)
  22:       1172344       28136256  org.joml.Vector3f (org.joml@1.10.5)
  23:       1101601       26438424  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  24:         70740       23812368  [J (java.base@17.0.15)
  25:        717226       22951232  malte0811.ferritecore.fastmap.immutable.FastMapEntryImmutableMap (ferritecore@6.0.1)
  26:        476137       22854576  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  27:       1272130       20354080  java.util.HashSet (java.base@17.0.15)
  28:        846200       20308800  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  29:        844249       20261976  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
