116298:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       6500554      796168424  [B (java.base@17.0.15)
   2:       3095625      506913784  [I (java.base@17.0.15)
   3:       4836035      431584960  [Ljava.lang.Object; (java.base@17.0.15)
   4:       4431900      212731200  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   5:       4208328      201999744  dev.emi.emi.api.stack.ItemEmiStack (emi@1.1.22+1.20.1+forge)
   6:       5237635      167604320  java.util.HashMap$Node (java.base@17.0.15)
   7:       6011531      144276744  java.lang.String (java.base@17.0.15)
   8:       1092809      104909664  net.minecraft.world.item.ItemStack (minecraft@1.20.1)
   9:       3775104       90602496  java.util.ArrayList (java.base@17.0.15)
  10:        718764       74751456  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
  11:       1545233       74171184  java.util.HashMap (java.base@17.0.15)
  12:        294727       63381936  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  13:        920754       58928256  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap (it.unimi.dsi.fastutil@8.5.9)
  14:       1207178       57944544  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  15:       1491704       47734528  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  16:        828192       39753216  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  17:        116996       37160648  [J (java.base@17.0.15)
  18:        559091       31309096  dev.emi.emi.jemi.impl.JemiRecipeSlotBuilder (emi@1.1.22+1.20.1+forge)
  19:        717721       28708840  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  20:       1149836       27596064  org.joml.Vector3f (org.joml@1.10.5)
  21:       1084488       26027712  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  22:        717812       22969984  malte0811.ferritecore.fastmap.immutable.FastMapEntryImmutableMap (ferritecore@6.0.1)
  23:        467683       22448784  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  24:        846200       20308800  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  25:        837807       20107368  net.minecraft.client.resources.model.ModelBakery$BakedCacheKey (minecraft@1.20.1)
  26:        495900       19836000  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
  27:       1092808       17484928  net.minecraft.world.item.ItemStack$$Lambda$2527/0x0000000800da35f8 (minecraft@1.20.1)
  28:        698772       16770528  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
  29:        141674       16487672  java.lang.Class (java.base@17.0.15)
  30:          1595       15355288  [C (java.base@17.0.15)
  31:        939074       15025184  net.minecraft.nbt.CompoundTag (minecraft@1.20.1)
  32:        352344       14093760  it.unimi.dsi.fastutil.objects.Object2ObjectArrayMap (it.unimi.dsi.fastutil@8.5.9)
  33:        245466       13746096  com.google.gson.internal.LinkedTreeMap (com.google.gson@2.10)
  34:        561955       13486920  dev.emi.emi.jemi.impl.JemiIngredientAcceptor (emi@1.1.22+1.20.1+forge)
  35:        239113       13390328  net.minecraft.client.renderer.texture.SpriteContents (minecraft@1.20.1)
  36:        513408       12321792  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex (citadel@2.6.3)
  37:        496399       11913576  java.util.ImmutableCollections$List12 (java.base@17.0.15)
  38:        210020       11761120  net.minecraft.client.resources.model.SimpleBakedModel (minecraft@1.20.1)
  39:        239112       11477376  net.minecraft.client.renderer.texture.TextureAtlasSprite (minecraft@1.20.1)
  40:        273590       10943600  net.minecraftforge.eventbus.ListenerList$ListenerListInst (net.minecraftforge.eventbus)
  41:        442121       10610904  com.google.common.collect.ImmutableMapEntry$NonTerminalImmutableMapEntry (com.google.common@31.1-jre)
  42:        663033       10608528  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap$MapEntrySet (it.unimi.dsi.fastutil@8.5.9)
  43:        210637       10490648  [Lcom.google.common.collect.ImmutableMapEntry; (com.google.common@31.1-jre)
  44:        213866       10265568  net.minecraft.client.renderer.block.model.ItemTransforms (minecraft@1.20.1)
  45:        307196        9830272  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.15)
  46:        242782        9682000  [Lcom.mojang.blaze3d.platform.NativeImage; (minecraft@1.20.1)
  47:        273591        8754912  java.util.concurrent.Semaphore$FairSync (java.base@17.0.15)
  48:        325987        7823688  it.unimi.dsi.fastutil.objects.ObjectArrayList (it.unimi.dsi.fastutil@8.5.9)
  49:        321830        7723920  java.util.ImmutableCollections$ListN (java.base@17.0.15)
  50:        183950        7358000  com.google.common.collect.RegularImmutableMap (com.google.common@31.1-jre)
  51:        119737        7341064  [D (java.base@17.0.15)
  52:        211550        6769600  [Lnet.minecraft.client.model.geom.ModelPart$Vertex; (minecraft@1.20.1)
  53:        113862        6376272  org.objectweb.asm.Label (org.objectweb.asm@9.8)
  54:        158807        6352280  net.minecraft.client.renderer.block.model.BlockElementFace (minecraft@1.20.1)
  55:        112188        6282528  org.spongepowered.asm.mixin.transformer.ClassInfo$Method (org.spongepowered.mixin)
  56:        149248        5969920  java.util.EnumMap (java.base@17.0.15)
  57:        371269        5940304  com.google.gson.JsonPrimitive (com.google.gson@2.10)
  58:        173762        5560384  net.minecraft.core.Holder$Reference (minecraft@1.20.1)
  59:        159987        5527136  [F (java.base@17.0.15)
  60:         92380        5484040  [Lnet.minecraft.world.item.ItemStack; (minecraft@1.20.1)
  61:        157425        5403000  [Ljava.util.Map$Entry; (java.base@17.0.15)
  62:          2236        5347584  [Lcom.google.common.collect.HashBiMap$BiEntry; (com.google.common@31.1-jre)
  63:        214095        5138280  net.minecraft.nbt.ListTag (minecraft@1.20.1)
  64:        127886        5115440  org.objectweb.asm.tree.VarInsnNode (org.objectweb.asm.tree@9.8)
  65:        106380        5106240  java.lang.invoke.MemberName (java.base@17.0.15)
  66:        212700        5104800  net.minecraft.world.phys.Vec2 (minecraft@1.20.1)
  67:        211550        5077200  net.minecraft.client.model.geom.ModelPart$Polygon (minecraft@1.20.1)
  68:        101594        4876512  org.embeddedt.modernfix.render.font.CompactUnihexContents$Shorts (modernfix@5.27.12+mc1.20.1)
  69:        294405        4710480  java.util.concurrent.Semaphore (java.base@17.0.15)
  70:         20638        4661672  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@17.0.15)
  71:         82567        4623752  java.util.LinkedHashMap (java.base@17.0.15)
  72:         94658        4543584  net.fabricmc.fabric.impl.renderer.SpriteFinderImpl$Node (fabric_renderer_api_v1@3.2.2+cf68abbe77)
  73:         61990        4463280  java.lang.reflect.Constructor (java.base@17.0.15)
  74:        139017        4448544  net.minecraft.client.renderer.block.model.Variant (minecraft@1.20.1)
  75:        274670        4394720  org.embeddedt.modernfix.resources.PackResourcesCacheEngine$Node (modernfix@5.27.12+mc1.20.1)
  76:        273915        4382640  java.util.concurrent.atomic.AtomicReference (java.base@17.0.15)
  77:         49273        4336024  java.lang.reflect.Method (java.base@17.0.15)
  78:         77294        4328464  net.minecraft.client.renderer.block.model.BlockModel (minecraft@1.20.1)
  79:         76701        4295256  org.objectweb.asm.tree.MethodInsnNode (org.objectweb.asm.tree@9.8)
  80:         66819        4276416  java.lang.Class$ReflectionData (java.base@17.0.15)
  81:        103410        4136400  org.objectweb.asm.tree.LabelNode (org.objectweb.asm.tree@9.8)
  82:        128352        4107264  [Lcom.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex; (citadel@2.6.3)
  83:        167081        4009944  net.minecraft.client.resources.model.Material (minecraft@1.20.1)
  84:         98845        3953800  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@17.0.15)
  85:        158807        3811368  net.minecraft.client.renderer.block.model.BlockFaceUV (minecraft@1.20.1)
  86:        236287        3780592  com.google.gson.JsonObject (com.google.gson@2.10)
  87:        115601        3699232  org.spongepowered.asm.mixin.transformer.ClassInfo$FrameData (org.spongepowered.mixin)
  88:         76933        3692784  org.objectweb.asm.tree.LineNumberNode (org.objectweb.asm.tree@9.8)
  89:         21345        3585960  com.github.alexthe666.citadel.client.model.AdvancedModelBox (citadel@2.6.3)
  90:         88367        3534680  net.minecraft.world.item.crafting.Ingredient (minecraft@1.20.1)
  91:        146216        3509184  net.minecraft.util.random.WeightedEntry$Wrapper (minecraft@1.20.1)
  92:        218475        3495600  net.minecraft.nbt.StringTag (minecraft@1.20.1)
  93:        107945        3454240  org.objectweb.asm.Type (org.objectweb.asm@9.8)
  94:         86098        3443920  org.embeddedt.modernfix.forge.recipe.IngredientItemStacksSoftReference (modernfix@5.27.12+mc1.20.1)
  95:         57171        3201576  dev.emi.emi.jemi.JemiRecipe (emi@1.1.22+1.20.1+forge)
