120674:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       6948068      814910304  [B (java.base@17.0.15)
   2:       6657763      532929872  [Ljava.lang.Object; (java.base@17.0.15)
   3:       3140469      511754184  [I (java.base@17.0.15)
   4:       4454921      213836208  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   5:       4224495      202775760  dev.emi.emi.api.stack.ItemEmiStack (emi@1.1.22+1.20.1+forge)
   6:       5446611      174291552  java.util.HashMap$Node (java.base@17.0.15)
   7:       3429489      164615472  java.util.HashMap (java.base@17.0.15)
   8:       6456550      154957200  java.lang.String (java.base@17.0.15)
   9:       1143517      109777632  net.minecraft.world.item.ItemStack (minecraft@1.20.1)
  10:       4108785       98610840  java.util.ArrayList (java.base@17.0.15)
  11:        720690       74951760  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
  12:        363515       69985784  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  13:       1057752       67696128  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap (it.unimi.dsi.fastutil@8.5.9)
  14:       1214970       58318560  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  15:       1497076       47906432  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  16:        839308       40286784  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  17:        953835       38153400  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  18:        151174       33696384  [D (java.base@17.0.15)
  19:       1357528       32580672  net.minecraft.core.NonNullList (minecraft@1.20.1)
  20:        559651       31340456  dev.emi.emi.jemi.impl.JemiRecipeSlotBuilder (emi@1.1.22+1.20.1+forge)
  21:        109420       30833736  [J (java.base@17.0.15)
  22:       1279116       30698784  java.util.Arrays$ArrayList (java.base@17.0.15)
  23:       1174466       28187184  org.joml.Vector3f (org.joml@1.10.5)
  24:       1109514       26628336  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  25:        719229       23015328  malte0811.ferritecore.fastmap.immutable.FastMapEntryImmutableMap (ferritecore@6.0.1)
  26:        472765       22692720  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  27:        896847       21524328  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
  28:       1293222       20691552  java.util.HashSet (java.base@17.0.15)
  29:        846200       20308800  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  30:        841565       20197560  net.minecraft.client.resources.model.ModelBakery$BakedCacheKey (minecraft@1.20.1)
  31:        498762       19950480  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
  32:        601484       19247488  net.minecraftforge.common.util.LazyOptional (forge@47.4.13)
  33:       1143516       18296256  net.minecraft.world.item.ItemStack$$Lambda$2527/0x0000000800da3ce8 (minecraft@1.20.1)
  34:       1075967       17215472  net.minecraft.nbt.CompoundTag (minecraft@1.20.1)
  35:        419680       16787200  net.minecraft.world.inventory.Slot (minecraft@1.20.1)
  36:        142685       16606096  java.lang.Class (java.base@17.0.15)
  37:        407802       16312080  it.unimi.dsi.fastutil.objects.Object2ObjectArrayMap (it.unimi.dsi.fastutil@8.5.9)
  38:          1599       15375912  [C (java.base@17.0.15)
  39:        230838       14773632  top.theillusivec4.curios.common.inventory.CurioStacksHandler (curios@5.14.1+1.20.1)
  40:        250654       14036624  com.google.gson.internal.LinkedTreeMap (com.google.gson@2.10)
  41:        562524       13500576  dev.emi.emi.jemi.impl.JemiIngredientAcceptor (emi@1.1.22+1.20.1+forge)
  42:        240486       13467216  net.minecraft.client.renderer.texture.SpriteContents (minecraft@1.20.1)
  43:        513408       12321792  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex (citadel@2.6.3)
  44:        507377       12177048  java.util.ImmutableCollections$List12 (java.base@17.0.15)
  45:        212376       11893056  net.minecraft.client.resources.model.SimpleBakedModel (minecraft@1.20.1)
  46:        288666       11546640  net.minecraftforge.eventbus.ListenerList$ListenerListInst (net.minecraftforge.eventbus)
  47:        240485       11543280  net.minecraft.client.renderer.texture.TextureAtlasSprite (minecraft@1.20.1)
  48:        233684       11475320  [Lcom.google.common.collect.ImmutableMapEntry; (com.google.common@31.1-jre)
