143997:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       6461889      789616672  [B (java.base@17.0.15)
   2:       3108323      491505664  [I (java.base@17.0.15)
   3:       4712306      417121472  [Ljava.lang.Object; (java.base@17.0.15)
   4:       4468253      214476144  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   5:       4184599      200860752  dev.emi.emi.api.stack.ItemEmiStack (emi@1.1.22+1.20.1+forge)
   6:       5275988      168831616  java.util.HashMap$Node (java.base@17.0.15)
   7:       5980205      143524920  java.lang.String (java.base@17.0.15)
   8:       1103719      105957024  net.minecraft.world.item.ItemStack (minecraft@1.20.1)
   9:       3808526       91404624  java.util.ArrayList (java.base@17.0.15)
  10:       1562675       75008400  java.util.HashMap (java.base@17.0.15)
  11:        720128       74893312  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
  12:        309980       63734976  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  13:        869412       55642368  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap (it.unimi.dsi.fastutil@8.5.9)
  14:       1013580       48651840  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  15:       1495864       47867648  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  16:        836627       40158096  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  17:        555038       31082128  dev.emi.emi.jemi.impl.JemiRecipeSlotBuilder (emi@1.1.22+1.20.1+forge)
  18:        710474       28418960  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  19:       1174016       28176384  org.joml.Vector3f (org.joml@1.10.5)
  20:        106349       26308808  [J (java.base@17.0.15)
  21:       1066553       25597272  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  22:        718633       22996256  malte0811.ferritecore.fastmap.immutable.FastMapEntryImmutableMap (ferritecore@6.0.1)
  23:        471772       22645056  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  24:        846200       20308800  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  25:        840940       20182560  net.minecraft.client.resources.model.ModelBakery$BakedCacheKey (minecraft@1.20.1)
  26:        489051       19562040  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
  27:        811541       19476984  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
  28:       1103718       17659488  net.minecraft.world.item.ItemStack$$Lambda$2527/0x0000000800d98b90 (minecraft@1.20.1)
  29:        141733       16496952  java.lang.Class (java.base@17.0.15)
  30:          1597       15322712  [C (java.base@17.0.15)
  31:        355043       14201720  it.unimi.dsi.fastutil.objects.Object2ObjectArrayMap (it.unimi.dsi.fastutil@8.5.9)
  32:        887139       14194224  net.minecraft.nbt.CompoundTag (minecraft@1.20.1)
  33:        249875       13993000  com.google.gson.internal.LinkedTreeMap (com.google.gson@2.10)
  34:        557406       13377744  dev.emi.emi.jemi.impl.JemiIngredientAcceptor (emi@1.1.22+1.20.1+forge)
  35:        513408       12321792  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex (citadel@2.6.3)
  36:        506160       12147840  java.util.ImmutableCollections$List12 (java.base@17.0.15)
  37:        212119       11878664  net.minecraft.client.resources.model.SimpleBakedModel (minecraft@1.20.1)
  38:        201698       11295088  net.minecraft.client.renderer.texture.SpriteContents (minecraft@1.20.1)
  39:        281088       11243520  net.minecraftforge.eventbus.ListenerList$ListenerListInst (net.minecraftforge.eventbus)
  40:        216547       10394256  net.minecraft.client.renderer.block.model.ItemTransforms (minecraft@1.20.1)
  41:        208904       10394160  [Lcom.google.common.collect.ImmutableMapEntry; (com.google.common@31.1-jre)
  42:        630516       10088256  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap$MapEntrySet (it.unimi.dsi.fastutil@8.5.9)
  43:        308612        9875584  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.15)
  44:        201697        9681456  net.minecraft.client.renderer.texture.TextureAtlasSprite (minecraft@1.20.1)
  45:        281089        8994848  java.util.concurrent.Semaphore$FairSync (java.base@17.0.15)
  46:        203873        8125720  [Lcom.mojang.blaze3d.platform.NativeImage; (minecraft@1.20.1)
  47:        326689        7840536  com.google.common.collect.ImmutableMapEntry$NonTerminalImmutableMapEntry (com.google.common@31.1-jre)
  48:        322464        7739136  java.util.ImmutableCollections$ListN (java.base@17.0.15)
  49:        311199        7468776  it.unimi.dsi.fastutil.objects.ObjectArrayList (it.unimi.dsi.fastutil@8.5.9)
  50:        183967        7358680  com.google.common.collect.RegularImmutableMap (com.google.common@31.1-jre)
  51:        119701        7309136  [D (java.base@17.0.15)
  52:        211550        6769600  [Lnet.minecraft.client.model.geom.ModelPart$Vertex; (minecraft@1.20.1)
  53:        160261        6410440  net.minecraft.client.renderer.block.model.BlockElementFace (minecraft@1.20.1)
  54:        111934        6268304  org.objectweb.asm.Label (org.objectweb.asm@9.8)
  55:        110372        6180832  org.spongepowered.asm.mixin.transformer.ClassInfo$Method (org.spongepowered.mixin)
  56:        151480        6059200  java.util.EnumMap (java.base@17.0.15)
  57:        373815        5981040  com.google.gson.JsonPrimitive (com.google.gson@2.10)
  58:        177582        5682624  net.minecraft.core.Holder$Reference (minecraft@1.20.1)
  59:        161417        5568512  [F (java.base@17.0.15)
  60:         91942        5497656  [Lnet.minecraft.world.item.ItemStack; (minecraft@1.20.1)
  61:        159191        5457496  [Ljava.util.Map$Entry; (java.base@17.0.15)
  62:          2220        5346304  [Lcom.google.common.collect.HashBiMap$BiEntry; (com.google.common@31.1-jre)
  63:        106405        5107440  java.lang.invoke.MemberName (java.base@17.0.15)
