172197:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       6925096      814610240  [B (java.base@17.0.15)
   2:       3138398      461928968  [I (java.base@17.0.15)
   3:       4582879      439817608  [Ljava.lang.Object; (java.base@17.0.15)
   4:       4449115      213557520  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   5:       5253845      168123040  java.util.HashMap$Node (java.base@17.0.15)
   6:       3267124      156821952  java.util.HashMap (java.base@17.0.15)
   7:       6408012      153792288  java.lang.String (java.base@17.0.15)
   8:       1116215      107156640  net.minecraft.world.item.ItemStack (minecraft@1.20.1)
   9:       3232351       77576424  java.util.ArrayList (java.base@17.0.15)
  10:        720690       74951760  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
  11:        289397       63204416  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  12:       1214970       58318560  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  13:       1497076       47906432  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  14:        839111       40277328  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  15:        943435       37737400  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  16:        130854       34970000  [J (java.base@17.0.15)
  17:        151762       34188736  [D (java.base@17.0.15)
  18:       1317222       31613328  net.minecraft.core.NonNullList (minecraft@1.20.1)
  19:       1235893       29661432  java.util.Arrays$ArrayList (java.base@17.0.15)
  20:        457815       29300160  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap (it.unimi.dsi.fastutil@8.5.9)
  21:       1174849       28196376  org.joml.Vector3f (org.joml@1.10.5)
  22:       1044458       25066992  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  23:        598939       23957560  mezz.jei.core.search.suffixtree.Node (jei@15.20.0.130)
  24:        719229       23015328  malte0811.ferritecore.fastmap.immutable.FastMapEntryImmutableMap (ferritecore@6.0.1)
  25:        478349       22960752  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  26:        889170       21340080  java.util.ImmutableCollections$List12 (java.base@17.0.15)
  27:        864657       20751768  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
  28:        191392       20415336  [C (java.base@17.0.15)
  29:        846200       20308800  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
