175964:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       6833660      807331784  [B (java.base@17.0.15)
   2:       3139376      518512472  [I (java.base@17.0.15)
   3:       4113275      336410192  [Ljava.lang.Object; (java.base@17.0.15)
   4:       4454921      213836208  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   5:       5336322      170762304  java.util.HashMap$Node (java.base@17.0.15)
   6:       3234319      155247312  java.util.HashMap (java.base@17.0.15)
   7:       6343589      152246136  java.lang.String (java.base@17.0.15)
   8:        867994       83327424  net.minecraft.world.item.ItemStack (minecraft@1.20.1)
   9:        720690       74951760  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
  10:       3061710       73481040  java.util.ArrayList (java.base@17.0.15)
  11:        305318       64935072  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  12:       1214924       58316352  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  13:       1075621       51629808  dev.emi.emi.api.stack.ItemEmiStack (emi@1.1.22+1.20.1+forge)
  14:       1497076       47906432  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  15:        839308       40286784  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  16:        156004       37740704  [D (java.base@17.0.15)
  17:        939640       37585600  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  18:        146086       36052216  [J (java.base@17.0.15)
  19:       1453549       34885176  net.minecraft.core.NonNullList (minecraft@1.20.1)
  20:       1381882       33165168  java.util.Arrays$ArrayList (java.base@17.0.15)
  21:       1174911       28197864  org.joml.Vector3f (org.joml@1.10.5)
  22:       1054412       25305888  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  23:        719229       23015328  malte0811.ferritecore.fastmap.immutable.FastMapEntryImmutableMap (ferritecore@6.0.1)
  24:        478349       22960752  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  25:       1385810       22172960  java.util.HashSet (java.base@17.0.15)
  26:        334857       21430848  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap (it.unimi.dsi.fastutil@8.5.9)
  27:        637933       20413856  net.minecraftforge.common.util.LazyOptional (forge@47.4.13)
  28:        846681       20320344  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
  29:        846200       20308800  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  30:        841565       20197560  net.minecraft.client.resources.model.ModelBakery$BakedCacheKey (minecraft@1.20.1)
  31:        497593       19903720  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
  32:        457920       18316800  net.minecraft.world.inventory.Slot (minecraft@1.20.1)
  33:        412453       16498120  it.unimi.dsi.fastutil.objects.Object2ObjectArrayMap (it.unimi.dsi.fastutil@8.5.9)
  34:        140401       16344488  java.lang.Class (java.base@17.0.15)
  35:        251870       16119680  top.theillusivec4.curios.common.inventory.CurioStacksHandler (curios@5.14.1+1.20.1)
  36:          1599       15371872  [C (java.base@17.0.15)
  37:        250654       14036624  com.google.gson.internal.LinkedTreeMap (com.google.gson@2.10)
  38:        867993       13887888  net.minecraft.world.item.ItemStack$$Lambda$2527/0x0000000800d83210 (minecraft@1.20.1)
  39:        240440       13464640  net.minecraft.client.renderer.texture.SpriteContents (minecraft@1.20.1)
  40:        513408       12321792  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex (citadel@2.6.3)
  41:        256089       12292272  com.google.common.collect.HashMultimap (com.google.common@31.1-jre)
  42:        503740       12089760  top.theillusivec4.curios.common.inventory.DynamicStackHandler (curios@5.14.1+1.20.1)
  43:        499331       11983944  java.util.ImmutableCollections$List12 (java.base@17.0.15)
  44:        212376       11893056  net.minecraft.client.resources.model.SimpleBakedModel (minecraft@1.20.1)
  45:         11447       11721728  net.minecraft.client.player.RemotePlayer (minecraft@1.20.1)
  46:        240439       11541072  net.minecraft.client.renderer.texture.TextureAtlasSprite (minecraft@1.20.1)
  47:        286488       11459520  net.minecraftforge.eventbus.ListenerList$ListenerListInst (net.minecraftforge.eventbus)
  48:        714952       11439232  java.lang.Object (java.base@17.0.15)
  49:        231512       11405584  [Lcom.google.common.collect.ImmutableMapEntry; (com.google.common@31.1-jre)
  50:        216814       10407072  net.minecraft.client.renderer.block.model.ItemTransforms (minecraft@1.20.1)
  51:        307756        9848192  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.15)
  52:        244109        9735816  [Lcom.mojang.blaze3d.platform.NativeImage; (minecraft@1.20.1)
  53:        286489        9167648  java.util.concurrent.Semaphore$FairSync (java.base@17.0.15)
