179694:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       6766461      802344504  [B (java.base@17.0.15)
   2:       6690654      530671440  [Ljava.lang.Object; (java.base@17.0.15)
   3:       1800666      319358064  [I (java.base@17.0.15)
   4:       4251587      204076176  dev.emi.emi.api.stack.ItemEmiStack (emi@1.1.22+1.20.1+forge)
   5:       3525056      169202688  java.util.HashMap (java.base@17.0.15)
   6:       5272094      168707008  java.util.HashMap$Node (java.base@17.0.15)
   7:       6275455      150610920  java.lang.String (java.base@17.0.15)
   8:       2310007      110880336  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   9:       1147846      110193216  net.minecraft.world.item.ItemStack (minecraft@1.20.1)
  10:       4113617       98726808  java.util.ArrayList (java.base@17.0.15)
  11:        720690       74951760  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
  12:        364938       68619312  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  13:       1067333       68309312  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap (it.unimi.dsi.fastutil@8.5.9)
  14:       1497071       47906272  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  15:        839260       40284480  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  16:        964331       38573240  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  17:        153103       35309184  [D (java.base@17.0.15)
  18:       1423965       34175160  net.minecraft.core.NonNullList (minecraft@1.20.1)
  19:        118752       32925424  [J (java.base@17.0.15)
  20:       1342871       32228904  java.util.Arrays$ArrayList (java.base@17.0.15)
  21:        559623       31338888  dev.emi.emi.jemi.impl.JemiRecipeSlotBuilder (emi@1.1.22+1.20.1+forge)
  22:       1174812       28195488  org.joml.Vector3f (org.joml@1.10.5)
  23:        719229       23015328  malte0811.ferritecore.fastmap.immutable.FastMapEntryImmutableMap (ferritecore@6.0.1)
  24:        478301       22958448  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  25:        926957       22246968  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  26:       1352657       21642512  java.util.HashSet (java.base@17.0.15)
  27:        846200       20308800  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  28:        841565       20197560  net.minecraft.client.resources.model.ModelBakery$BakedCacheKey (minecraft@1.20.1)
  29:        630551       20177632  net.minecraftforge.common.util.LazyOptional (forge@47.4.13)
  30:        498601       19944040  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
  31:       1147845       18365520  net.minecraft.world.item.ItemStack$$Lambda$2527/0x0000000800da3210 (minecraft@1.20.1)
  32:        441120       17644800  net.minecraft.world.inventory.Slot (minecraft@1.20.1)
  33:       1085538       17368608  net.minecraft.nbt.CompoundTag (minecraft@1.20.1)
  34:        142536       16589096  java.lang.Class (java.base@17.0.15)
  35:        342750       16452000  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  36:        410350       16414000  it.unimi.dsi.fastutil.objects.Object2ObjectArrayMap (it.unimi.dsi.fastutil@8.5.9)
  37:        661266       15870384  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
  38:        242630       15528320  top.theillusivec4.curios.common.inventory.CurioStacksHandler (curios@5.14.1+1.20.1)
  39:          1599       15343240  [C (java.base@17.0.15)
  40:        250637       14035672  com.google.gson.internal.LinkedTreeMap (com.google.gson@2.10)
  41:        562496       13499904  dev.emi.emi.jemi.impl.JemiIngredientAcceptor (emi@1.1.22+1.20.1+forge)
  42:        513408       12321792  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex (citadel@2.6.3)
  43:        506215       12149160  java.util.ImmutableCollections$List12 (java.base@17.0.15)
  44:        246855       11849040  com.google.common.collect.HashMultimap (com.google.common@31.1-jre)
  45:        485260       11646240  top.theillusivec4.curios.common.inventory.DynamicStackHandler (curios@5.14.1+1.20.1)
  46:        287040       11481600  net.minecraftforge.eventbus.ListenerList$ListenerListInst (net.minecraftforge.eventbus)
  47:        708725       11339600  java.lang.Object (java.base@17.0.15)
  48:         11027       11291648  net.minecraft.client.player.RemotePlayer (minecraft@1.20.1)
  49:        666079       10657264  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap$MapEntrySet (it.unimi.dsi.fastutil@8.5.9)
  50:        312923       10013536  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.15)
  51:        163400        9245472  [Lcom.google.common.collect.ImmutableMapEntry; (com.google.common@31.1-jre)
  52:        287041        9185312  java.util.concurrent.Semaphore$FairSync (java.base@17.0.15)
  53:        348164        8355936  it.unimi.dsi.fastutil.objects.ObjectArrayList (it.unimi.dsi.fastutil@8.5.9)
  54:        206539        8261560  java.util.EnumMap (java.base@17.0.15)
  55:        247111        7907552  net.minecraft.network.syncher.SynchedEntityData$DataItem (minecraft@1.20.1)
  56:        141146        7904176  net.minecraft.client.resources.model.SimpleBakedModel (minecraft@1.20.1)
  57:        126253        7070168  java.util.LinkedHashMap (java.base@17.0.15)
  58:        145609        6989232  net.minecraft.client.renderer.block.model.ItemTransforms (minecraft@1.20.1)
  59:        211550        6769600  [Lnet.minecraft.client.model.geom.ModelPart$Vertex; (minecraft@1.20.1)
  60:        160337        6413480  net.minecraft.client.renderer.block.model.BlockElementFace (minecraft@1.20.1)
  61:        113229        6340824  org.objectweb.asm.Label (org.objectweb.asm@9.8)
  62:        111986        6271216  org.spongepowered.asm.mixin.transformer.ClassInfo$Method (org.spongepowered.mixin)
  63:        260385        6249240  com.google.common.collect.ImmutableMapEntry$NonTerminalImmutableMapEntry (com.google.common@31.1-jre)
  64:        255719        6137256  java.util.ImmutableCollections$ListN (java.base@17.0.15)
  65:        374747        5995952  com.google.gson.JsonPrimitive (com.google.gson@2.10)
  66:        242630        5823120  top.theillusivec4.curios.common.inventory.CurioStacksHandler$$Lambda$61361/0x0000000806b95328 (curios@5.14.1+1.20.1)
  67:        242630        5823120  top.theillusivec4.curios.common.inventory.CurioStacksHandler$$Lambda$61362/0x0000000806b95570 (curios@5.14.1+1.20.1)
  68:        177963        5694816  net.minecraft.core.Holder$Reference (minecraft@1.20.1)
