183245:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       6594987      697916784  [B (java.base@17.0.15)
   2:       6643406      526835896  [Ljava.lang.Object; (java.base@17.0.15)
   3:       1798369      319165576  [I (java.base@17.0.15)
   4:       4203476      201766848  dev.emi.emi.api.stack.ItemEmiStack (emi@1.1.22+1.20.1+forge)
   5:       3518043      168866064  java.util.HashMap (java.base@17.0.15)
   6:       5260925      168349600  java.util.HashMap$Node (java.base@17.0.15)
   7:       5697005      136728120  java.lang.String (java.base@17.0.15)
   8:       2308219      110794512  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   9:       1136792      100037696  net.minecraft.world.item.ItemStack (minecraft@1.20.1)
  10:       3980651       95535624  java.util.ArrayList (java.base@17.0.15)
  11:        720208       74901632  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
  12:        363809       71676424  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  13:       1060349       67862336  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap (it.unimi.dsi.fastutil@8.5.9)
  14:       1373949       54957960  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  15:       1496047       47873504  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  16:        838576       40251648  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  17:        905343       36213720  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
  18:        153823       35840872  [D (java.base@17.0.15)
  19:       1461062       35065488  net.minecraft.core.NonNullList (minecraft@1.20.1)
  20:       1378503       33084072  java.util.Arrays$ArrayList (java.base@17.0.15)
  21:        119092       32845576  [J (java.base@17.0.15)
  22:        556349       31155544  dev.emi.emi.jemi.impl.JemiRecipeSlotBuilder (emi@1.1.22+1.20.1+forge)
  23:       1173394       28161456  org.joml.Vector3f (org.joml@1.10.5)
  24:        718731       22999392  malte0811.ferritecore.fastmap.immutable.FastMapEntryImmutableMap (ferritecore@6.0.1)
  25:        477198       22905504  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  26:        925230       22205520  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  27:       1362152       21794432  java.util.HashSet (java.base@17.0.15)
  28:        634480       20303360  net.minecraftforge.common.util.LazyOptional (forge@47.4.13)
  29:        845408       20289792  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  30:        841014       20184336  net.minecraft.client.resources.model.ModelBakery$BakedCacheKey (minecraft@1.20.1)
  31:       1136791       18188656  net.minecraft.world.item.ItemStack$$Lambda$2521/0x0000000800d9b238 (minecraft@1.20.1)
  32:        453120       18124800  net.minecraft.world.inventory.Slot (minecraft@1.20.1)
  33:       1078527       17256432  net.minecraft.nbt.CompoundTag (minecraft@1.20.1)
  34:        342153       16423344  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  35:        409448       16377920  it.unimi.dsi.fastutil.objects.Object2ObjectArrayMap (it.unimi.dsi.fastutil@8.5.9)
  36:        140340       16337432  java.lang.Class (java.base@17.0.15)
  37:        249230       15950720  top.theillusivec4.curios.common.inventory.CurioStacksHandler (curios@5.14.1+1.20.1)
  38:        663523       15924552  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
  39:          1603       15461912  [C (java.base@17.0.15)
  40:        250445       14024920  com.google.gson.internal.LinkedTreeMap (com.google.gson@2.10)
  41:        559220       13421280  dev.emi.emi.jemi.impl.JemiIngredientAcceptor (emi@1.1.22+1.20.1+forge)
  42:        513408       12321792  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex (citadel@2.6.3)
  43:        253431       12164688  com.google.common.collect.HashMultimap (com.google.common@31.1-jre)
  44:        505483       12131592  java.util.ImmutableCollections$List12 (java.base@17.0.15)
  45:        498460       11963040  top.theillusivec4.curios.common.inventory.DynamicStackHandler (curios@5.14.1+1.20.1)
  46:         11327       11598848  net.minecraft.client.player.RemotePlayer (minecraft@1.20.1)
  47:        712637       11402192  java.lang.Object (java.base@17.0.15)
  48:        268323       10732920  net.minecraftforge.eventbus.ListenerList$ListenerListInst (net.minecraftforge.eventbus)
  49:        658275       10532400  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap$MapEntrySet (it.unimi.dsi.fastutil@8.5.9)
  50:        309866        9915712  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.15)
  51:        163883        9267712  [Lcom.google.common.collect.ImmutableMapEntry; (com.google.common@31.1-jre)
  52:        268324        8586368  java.util.concurrent.Semaphore$FairSync (java.base@17.0.15)
  53:        345526        8292624  it.unimi.dsi.fastutil.objects.ObjectArrayList (it.unimi.dsi.fastutil@8.5.9)
  54:        253201        8102432  net.minecraft.network.syncher.SynchedEntityData$DataItem (minecraft@1.20.1)
  55:        141026        7897456  net.minecraft.client.resources.model.SimpleBakedModel (minecraft@1.20.1)
  56:        125431        7024136  java.util.LinkedHashMap (java.base@17.0.15)
  57:        145484        6983232  net.minecraft.client.renderer.block.model.ItemTransforms (minecraft@1.20.1)
  58:        173961        6958440  java.util.EnumMap (java.base@17.0.15)
  59:        211352        6763264  [Lnet.minecraft.client.model.geom.ModelPart$Vertex; (minecraft@1.20.1)
  60:        160177        6407080  net.minecraft.client.renderer.block.model.BlockElementFace (minecraft@1.20.1)
  61:        111645        6252120  org.objectweb.asm.Label (org.objectweb.asm@9.8)
  62:        258766        6210384  com.google.common.collect.ImmutableMapEntry$NonTerminalImmutableMapEntry (com.google.common@31.1-jre)
  63:        110359        6180104  org.spongepowered.asm.mixin.transformer.ClassInfo$Method (org.spongepowered.mixin)
  64:        255121        6122904  java.util.ImmutableCollections$ListN (java.base@17.0.15)
  65:        374552        5992832  com.google.gson.JsonPrimitive (com.google.gson@2.10)
  66:        249230        5981520  top.theillusivec4.curios.common.inventory.CurioStacksHandler$$Lambda$60052/0x0000000806a6a6b0 (curios@5.14.1+1.20.1)
  67:        249230        5981520  top.theillusivec4.curios.common.inventory.CurioStacksHandler$$Lambda$60053/0x0000000806a6a8f8 (curios@5.14.1+1.20.1)
  68:        177640        5684480  net.minecraft.core.Holder$Reference (minecraft@1.20.1)
  69:        233650        5607600  net.minecraft.nbt.ListTag (minecraft@1.20.1)
  70:        161358        5597552  [F (java.base@17.0.15)
  71:         92585        5485752  [Lnet.minecraft.world.item.ItemStack; (minecraft@1.20.1)
  72:          2212        5344320  [Lcom.google.common.collect.HashBiMap$BiEntry; (com.google.common@31.1-jre)
  73:        212700        5104800  net.minecraft.world.phys.Vec2 (minecraft@1.20.1)
