190290:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       6016894      764260504  [B (java.base@17.0.15)
   2:       2969408      392554768  [I (java.base@17.0.15)
   3:       4270516      204984768  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   4:       4859639      155508448  java.util.HashMap$Node (java.base@17.0.15)
   5:       1484045      143702400  [Ljava.lang.Object; (java.base@17.0.15)
   6:       5511660      132279840  java.lang.String (java.base@17.0.15)
   7:        694075       72183800  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
   8:       2540843       60980232  java.util.ArrayList (java.base@17.0.15)
   9:       1203053       57746544  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  10:        211685       55126776  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  11:       1440476       46095232  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  12:        800103       38404944  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  13:       1127168       27052032  org.joml.Vector3f (org.joml@1.10.5)
  14:        660048       26401920  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  15:        943631       22647144  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  16:        463511       22248528  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  17:        692038       22145216  malte0811.ferritecore.fastmap.immutable.FastMapEntryImmutableMap (ferritecore@6.0.1)
  18:        488640       19545600  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
  19:        807127       19371048  net.minecraft.client.resources.model.ModelBakery$BakedCacheKey (minecraft@1.20.1)
  20:        769736       18473664  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  21:        134191       15628824  java.lang.Class (java.base@17.0.15)
  22:        320979       15406992  java.util.HashMap (java.base@17.0.15)
  23:        639191       15340584  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
  24:          1572       15278480  [C (java.base@17.0.15)
  25:        239904       13434624  com.google.gson.internal.LinkedTreeMap (com.google.gson@2.10)
  26:        238069       13331864  net.minecraft.client.renderer.texture.SpriteContents (minecraft@1.20.1)
  27:        331476       13259040  it.unimi.dsi.fastutil.objects.Object2ObjectArrayMap (it.unimi.dsi.fastutil@8.5.9)
  28:        513408       12321792  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex (citadel@2.6.3)
  29:        238068       11427264  net.minecraft.client.renderer.texture.TextureAtlasSprite (minecraft@1.20.1)
  30:        200040       11202240  net.minecraft.client.resources.model.SimpleBakedModel (minecraft@1.20.1)
  31:        276640       11065600  net.minecraftforge.eventbus.ListenerList$ListenerListInst (net.minecraftforge.eventbus)
  32:        454833       10915992  java.util.ImmutableCollections$List12 (java.base@17.0.15)
  33:        432534       10380816  com.google.common.collect.ImmutableMapEntry$NonTerminalImmutableMapEntry (com.google.common@31.1-jre)
  34:        201100        9830576  [Lcom.google.common.collect.ImmutableMapEntry; (com.google.common@31.1-jre)
  35:        204474        9814752  net.minecraft.client.renderer.block.model.ItemTransforms (minecraft@1.20.1)
  36:        241738        9640912  [Lcom.mojang.blaze3d.platform.NativeImage; (minecraft@1.20.1)
  37:        282499        9039968  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.15)
  38:        276640        8852480  java.util.concurrent.Semaphore$FairSync (java.base@17.0.15)
  39:        176160        7046400  com.google.common.collect.RegularImmutableMap (com.google.common@31.1-jre)
  40:        117806        6756728  [D (java.base@17.0.15)
  41:        157776        6311040  net.minecraft.client.renderer.block.model.BlockElementFace (minecraft@1.20.1)
  42:        112473        6298488  org.objectweb.asm.Label (org.objectweb.asm@9.8)
  43:        111152        6224512  org.spongepowered.asm.mixin.transformer.ClassInfo$Method (org.spongepowered.mixin)
  44:        192434        6157888  [Lnet.minecraft.client.model.geom.ModelPart$Vertex; (minecraft@1.20.1)
  45:        354400        5670400  com.google.gson.JsonPrimitive (com.google.gson@2.10)
  46:        140774        5630960  java.util.EnumMap (java.base@17.0.15)
  47:        172314        5514048  net.minecraft.core.Holder$Reference (minecraft@1.20.1)
  48:        158251        5362712  [F (java.base@17.0.15)
  49:          2140        5317760  [Lcom.google.common.collect.HashBiMap$BiEntry; (com.google.common@31.1-jre)
  50:        151347        5212800  [Ljava.util.Map$Entry; (java.base@17.0.15)
  51:        212690        5104560  net.minecraft.world.phys.Vec2 (minecraft@1.20.1)
  52:        127138        5085520  org.objectweb.asm.tree.VarInsnNode (org.objectweb.asm.tree@9.8)
  53:        104150        4999200  net.fabricmc.fabric.impl.renderer.SpriteFinderImpl$Node (fabric_renderer_api_v1@3.2.2+cf68abbe77)
  54:        101594        4876512  org.embeddedt.modernfix.render.font.CompactUnihexContents$Shorts (modernfix@5.27.12+mc1.20.1)
  55:         97946        4701408  java.lang.invoke.MemberName (java.base@17.0.15)
  56:        192434        4618416  net.minecraft.client.model.geom.ModelPart$Polygon (minecraft@1.20.1)
  57:        276852        4429632  java.util.concurrent.atomic.AtomicReference (java.base@17.0.15)
  58:        276716        4427456  java.util.concurrent.Semaphore (java.base@17.0.15)
  59:        268057        4288912  org.embeddedt.modernfix.resources.PackResourcesCacheEngine$Node (modernfix@5.27.12+mc1.20.1)
  60:         48677        4283576  java.lang.reflect.Method (java.base@17.0.15)
  61:         76333        4274648  org.objectweb.asm.tree.MethodInsnNode (org.objectweb.asm.tree@9.8)
  62:         59346        4272912  java.lang.reflect.Constructor (java.base@17.0.15)
  63:         76109        4262104  net.minecraft.client.renderer.block.model.BlockModel (minecraft@1.20.1)
  64:        177569        4261656  java.util.ImmutableCollections$ListN (java.base@17.0.15)
  65:         18906        4195560  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@17.0.15)
  66:        130130        4164160  net.minecraft.client.renderer.block.model.Variant (minecraft@1.20.1)
  67:        103068        4122720  org.objectweb.asm.tree.LabelNode (org.objectweb.asm.tree@9.8)
  68:        128352        4107264  [Lcom.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex; (citadel@2.6.3)
  69:         64132        4104448  java.lang.Class$ReflectionData (java.base@17.0.15)
  70:         70853        3967768  java.util.LinkedHashMap (java.base@17.0.15)
  71:        164068        3937632  net.minecraft.client.resources.model.Material (minecraft@1.20.1)
  72:         97378        3895120  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@17.0.15)
  73:        157776        3786624  net.minecraft.client.renderer.block.model.BlockFaceUV (minecraft@1.20.1)
  74:        230831        3693296  com.google.gson.JsonObject (com.google.gson@2.10)
  75:        115255        3688160  org.spongepowered.asm.mixin.transformer.ClassInfo$FrameData (org.spongepowered.mixin)
  76:         76662        3679776  org.objectweb.asm.tree.LineNumberNode (org.objectweb.asm.tree@9.8)
