194307:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       6922085      812712232  [B (java.base@17.0.15)
   2:       6758350      543639840  [Ljava.lang.Object; (java.base@17.0.15)
   3:       3063460      455771696  [I (java.base@17.0.15)
   4:       4375877      210042096  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   5:       4244054      203714592  dev.emi.emi.api.stack.ItemEmiStack (emi@1.1.22+1.20.1+forge)
   6:       5407789      173049248  java.util.HashMap$Node (java.base@17.0.15)
   7:       3547995      170303760  java.util.HashMap (java.base@17.0.15)
   8:       6434388      154425312  java.lang.String (java.base@17.0.15)
   9:       1144534      109875264  net.minecraft.world.item.ItemStack (minecraft@1.20.1)
  10:       4058468       97403232  java.util.ArrayList (java.base@17.0.15)
  11:        716603       74526712  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
  12:        366057       70184288  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  13:       1068956       68413184  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap (it.unimi.dsi.fastutil@8.5.9)
  14:       1212465       58198320  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  15:       1481439       47406048  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  16:        833143       39990864  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  17:        963273       38530920  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  18:        153048       35569736  [D (java.base@17.0.15)
  19:       1443175       34636200  net.minecraft.core.NonNullList (minecraft@1.20.1)
  20:       1361310       32671440  java.util.Arrays$ArrayList (java.base@17.0.15)
  21:        559632       31339392  dev.emi.emi.jemi.impl.JemiRecipeSlotBuilder (emi@1.1.22+1.20.1+forge)
  22:         91956       29150472  [J (java.base@17.0.15)
  23:       1172769       28146456  org.joml.Vector3f (org.joml@1.10.5)
  24:       1100467       26411208  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  25:        475978       22846944  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  26:        711571       22770272  malte0811.ferritecore.fastmap.immutable.FastMapEntryImmutableMap (ferritecore@6.0.1)
  27:       1371764       21948224  java.util.HashSet (java.base@17.0.15)
  28:        874927       20998248  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
  29:        639789       20473248  net.minecraftforge.common.util.LazyOptional (forge@47.4.13)
  30:        846200       20308800  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  31:        832938       19990512  net.minecraft.client.resources.model.ModelBakery$BakedCacheKey (minecraft@1.20.1)
  32:        495324       19812960  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
  33:       1144533       18312528  net.minecraft.world.item.ItemStack$$Lambda$2527/0x0000000800da1dd0 (minecraft@1.20.1)
  34:        447320       17892800  net.minecraft.world.inventory.Slot (minecraft@1.20.1)
  35:       1087171       17394736  net.minecraft.nbt.CompoundTag (minecraft@1.20.1)
  36:        141237       16439736  java.lang.Class (java.base@17.0.15)
  37:        406365       16254600  it.unimi.dsi.fastutil.objects.Object2ObjectArrayMap (it.unimi.dsi.fastutil@8.5.9)
  38:        246040       15746560  top.theillusivec4.curios.common.inventory.CurioStacksHandler (curios@5.14.1+1.20.1)
  39:          1600       15326816  [C (java.base@17.0.15)
  40:        248632       13923392  com.google.gson.internal.LinkedTreeMap (com.google.gson@2.10)
  41:        562505       13500120  dev.emi.emi.jemi.impl.JemiIngredientAcceptor (emi@1.1.22+1.20.1+forge)
  42:        239985       13439160  net.minecraft.client.renderer.texture.SpriteContents (minecraft@1.20.1)
  43:        513408       12321792  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex (citadel@2.6.3)
  44:        250265       12012720  com.google.common.collect.HashMultimap (com.google.common@31.1-jre)
  45:        492080       11809920  top.theillusivec4.curios.common.inventory.DynamicStackHandler (curios@5.14.1+1.20.1)
  46:        239984       11519232  net.minecraft.client.renderer.texture.TextureAtlasSprite (minecraft@1.20.1)
  47:        233705       11498248  [Lcom.google.common.collect.ImmutableMapEntry; (com.google.common@31.1-jre)
  48:        717269       11476304  java.lang.Object (java.base@17.0.15)
  49:         11182       11450368  net.minecraft.client.player.RemotePlayer (minecraft@1.20.1)
  50:        475679       11416296  java.util.ImmutableCollections$List12 (java.base@17.0.15)
  51:        203371       11388776  net.minecraft.client.resources.model.SimpleBakedModel (minecraft@1.20.1)
  52:        278124       11124960  net.minecraftforge.eventbus.ListenerList$ListenerListInst (net.minecraftforge.eventbus)
  53:        665998       10655968  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap$MapEntrySet (it.unimi.dsi.fastutil@8.5.9)
  54:        207799        9974352  net.minecraft.client.renderer.block.model.ItemTransforms (minecraft@1.20.1)
  55:        309557        9905824  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.15)
  56:        243654        9716880  [Lcom.mojang.blaze3d.platform.NativeImage; (minecraft@1.20.1)
  57:        278126        8900032  java.util.concurrent.Semaphore$FairSync (java.base@17.0.15)
  58:        348505        8364120  it.unimi.dsi.fastutil.objects.ObjectArrayList (it.unimi.dsi.fastutil@8.5.9)
  59:        250053        8001696  net.minecraft.network.syncher.SynchedEntityData$DataItem (minecraft@1.20.1)
  60:        198740        7949600  java.util.EnumMap (java.base@17.0.15)
  61:        327196        7852704  com.google.common.collect.ImmutableMapEntry$NonTerminalImmutableMapEntry (com.google.common@31.1-jre)
  62:        196035        7841400  com.google.common.collect.RegularImmutableMap (com.google.common@31.1-jre)
  63:        322517        7740408  java.util.ImmutableCollections$ListN (java.base@17.0.15)
  64:        126521        7085176  java.util.LinkedHashMap (java.base@17.0.15)
  65:        211550        6769600  [Lnet.minecraft.client.model.geom.ModelPart$Vertex; (minecraft@1.20.1)
  66:        113992        6383552  org.objectweb.asm.Label (org.objectweb.asm@9.8)
  67:        157257        6290280  net.minecraft.client.renderer.block.model.BlockElementFace (minecraft@1.20.1)
  68:        112252        6286112  org.spongepowered.asm.mixin.transformer.ClassInfo$Method (org.spongepowered.mixin)
  69:        372097        5953552  com.google.gson.JsonPrimitive (com.google.gson@2.10)
  70:        246040        5904960  top.theillusivec4.curios.common.inventory.CurioStacksHandler$$Lambda$60716/0x0000000806acd290 (curios@5.14.1+1.20.1)
  71:        246040        5904960  top.theillusivec4.curios.common.inventory.CurioStacksHandler$$Lambda$60717/0x0000000806acd4d8 (curios@5.14.1+1.20.1)
  72:        236612        5678688  net.minecraft.nbt.ListTag (minecraft@1.20.1)
  73:        176857        5659424  net.minecraft.core.Holder$Reference (minecraft@1.20.1)
  74:         92656        5510408  [Lnet.minecraft.world.item.ItemStack; (minecraft@1.20.1)
  75:        158379        5502232  [F (java.base@17.0.15)
  76:        158528        5445880  [Ljava.util.Map$Entry; (java.base@17.0.15)
  77:          2236        5347456  [Lcom.google.common.collect.HashBiMap$BiEntry; (com.google.common@31.1-jre)
  78:        127908        5116320  org.objectweb.asm.tree.VarInsnNode (org.objectweb.asm.tree@9.8)
  79:        212700        5104800  net.minecraft.world.phys.Vec2 (minecraft@1.20.1)
  80:        105943        5085264  java.lang.invoke.MemberName (java.base@17.0.15)
  81:        211550        5077200  net.minecraft.client.model.geom.ModelPart$Polygon (minecraft@1.20.1)
  82:        308669        4938704  net.minecraft.nbt.StringTag (minecraft@1.20.1)
  83:        148203        4896928  [Ljava.lang.String; (java.base@17.0.15)
  84:        101594        4876512  org.embeddedt.modernfix.render.font.CompactUnihexContents$Shorts (modernfix@5.27.12+mc1.20.1)
  85:        298940        4783040  java.util.concurrent.Semaphore (java.base@17.0.15)
  86:         20611        4683192  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@17.0.15)
  87:        278380        4454080  java.util.concurrent.atomic.AtomicReference (java.base@17.0.15)
  88:        139161        4453152  net.minecraft.client.renderer.block.model.Variant (minecraft@1.20.1)
  89:         61735        4444920  java.lang.reflect.Constructor (java.base@17.0.15)
  90:         92449        4437552  net.fabricmc.fabric.impl.renderer.SpriteFinderImpl$Node (fabric_renderer_api_v1@3.2.2+cf68abbe77)
  91:        274288        4388608  org.embeddedt.modernfix.resources.PackResourcesCacheEngine$Node (modernfix@5.27.12+mc1.20.1)
  92:         78322        4386032  net.minecraft.client.renderer.block.model.BlockModel (minecraft@1.20.1)
  93:         49657        4369816  java.lang.reflect.Method (java.base@17.0.15)
  94:         76798        4300688  org.objectweb.asm.tree.MethodInsnNode (org.objectweb.asm.tree@9.8)
  95:         66447        4252608  java.lang.Class$ReflectionData (java.base@17.0.15)
  96:        103552        4142080  org.objectweb.asm.tree.LabelNode (org.objectweb.asm.tree@9.8)
  97:        128352        4107264  [Lcom.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex; (citadel@2.6.3)
  98:        167605        4022520  net.minecraft.client.resources.model.Material (minecraft@1.20.1)
  99:         98858        3954320  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@17.0.15)
 100:        239453        3831248  com.google.gson.JsonObject (com.google.gson@2.10)
 101:        157257        3774168  net.minecraft.client.renderer.block.model.BlockFaceUV (minecraft@1.20.1)
 102:        156578        3757872  org.apache.commons.lang3.tuple.ImmutableTriple (org.apache.commons.lang3@3.12.0)
 103:        115846        3707072  org.spongepowered.asm.mixin.transformer.ClassInfo$FrameData (org.spongepowered.mixin)
 104:         77047        3698256  org.objectweb.asm.tree.LineNumberNode (org.objectweb.asm.tree@9.8)
 105:         21345        3585960  com.github.alexthe666.citadel.client.model.AdvancedModelBox (citadel@2.6.3)
 106:         88763        3550520  net.minecraft.world.item.crafting.Ingredient (minecraft@1.20.1)
 107:        146168        3508032  net.minecraft.util.random.WeightedEntry$Wrapper (minecraft@1.20.1)
 108:        108340        3466880  org.objectweb.asm.Type (org.objectweb.asm@9.8)
 109:         86492        3459680  org.embeddedt.modernfix.forge.recipe.IngredientItemStacksSoftReference (modernfix@5.27.12+mc1.20.1)
 110:         57255        3206280  dev.emi.emi.jemi.JemiRecipe (emi@1.1.22+1.20.1+forge)
 111:          5744        3170688  com.github.benmanes.caffeine.cache.MpscGrowableArrayQueue (com.github.benmanes.caffeine@3.2.1)
 112:         78322        3132880  net.minecraftforge.client.model.geometry.BlockGeometryBakingContext (forge@47.4.13)
 113:           193        3132456  [Lnet.minecraft.world.level.block.state.BlockState; (minecraft@1.20.1)
 114:        128352        3080448  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$TexturedQuad (citadel@2.6.3)
 115:         94888        3036416  com.mojang.serialization.MapCodec$1 (datafixerupper@6.0.8)
 116:         63075        3027600  it.unimi.dsi.fastutil.objects.ObjectOpenHashSet (it.unimi.dsi.fastutil@8.5.9)
 117:         73458        2938320  dev.emi.emi.api.stack.FluidEmiStack (emi@1.1.22+1.20.1+forge)
 118:         70954        2838160  java.lang.ref.SoftReference (java.base@17.0.15)
 119:        118240        2837760  it.unimi.dsi.fastutil.doubles.DoubleArrayList (it.unimi.dsi.fastutil@8.5.9)
 120:        118205        2836920  net.minecraftforge.registries.ForgeRegistry$OverrideOwner (forge@47.4.13)
 121:         35265        2821200  me.jellysquid.mods.sodium.client.render.immediate.model.ModelCuboid (embeddium@0.3.31+mc1.20.1)
 122:         32345        2755992  [Lnet.minecraftforge.common.capabilities.ICapabilityProvider; (forge@47.4.13)
 123:         34401        2752080  net.minecraft.client.model.geom.ModelPart (minecraft@1.20.1)
 124:        112990        2711760  net.minecraft.client.gui.font.providers.UnihexProvider$Glyph (minecraft@1.20.1)
 125:         56382        2706336  java.lang.invoke.MethodHandleImpl$CountingWrapper (java.base@17.0.15)
 126:         67041        2681640  org.objectweb.asm.tree.InsnNode (org.objectweb.asm.tree@9.8)
 127:        159082        2545312  java.lang.Integer (java.base@17.0.15)
 128:        148411        2374576  java.lang.Float (java.base@17.0.15)
 129:         49056        2354688  org.spongepowered.asm.mixin.transformer.ClassInfo$Field (org.spongepowered.mixin)
 130:         91040        2283368  [Lnet.minecraft.world.item.crafting.Ingredient$Value; (minecraft@1.20.1)
 131:         71233        2279456  java.util.LinkedList (java.base@17.0.15)
 132:         70493        2256096  [[I (java.base@17.0.15)
 133:         32345        2248720  [Lnet.minecraftforge.common.util.INBTSerializable; (forge@47.4.13)
 134:         46659        2239632  com.google.common.cache.LocalCache$StrongAccessEntry (com.google.common@31.1-jre)
 135:         11183        2236600  org.embeddedt.modernfix.forge.capability.CapabilityDispatcher$Generated$5/0x0000000806a40000 (modernfix@5.27.12+mc1.20.1)
 136:         30971        2229912  java.lang.reflect.Field (java.base@17.0.15)
 137:         89786        2154864  net.minecraftforge.forgespi.language.ModFileScanData$ClassData (net.minecraftforge.forgespi@7.0.1)
 138:         44738        2147424  org.objectweb.asm.Frame (org.objectweb.asm@9.8)
 139:         44732        2147136  net.minecraft.world.inventory.InventoryMenu$1 (minecraft@1.20.1)
 140:        133419        2134704  net.minecraft.client.renderer.block.model.MultiVariant (minecraft@1.20.1)
 141:         50496        2019840  java.lang.invoke.MethodType (java.base@17.0.15)
 142:         19380        2015520  net.minecraft.world.level.block.state.BlockBehaviour$Properties (minecraft@1.20.1)
 143:         62194        1990208  com.google.common.collect.MapMakerInternalMap$StrongKeyWeakValueEntry (com.google.common@31.1-jre)
 144:         62194        1990208  com.google.common.collect.MapMakerInternalMap$WeakValueReferenceImpl (com.google.common@31.1-jre)
 145:         62103        1987296  net.minecraft.network.chat.MutableComponent (minecraft@1.20.1)
 146:         82658        1983792  java.util.Collections$UnmodifiableRandomAccessList (java.base@17.0.15)
 147:         30955        1981120  java.util.concurrent.ConcurrentHashMap (java.base@17.0.15)
 148:         60058        1921856  java.lang.invoke.BoundMethodHandle$Species_L (java.base@17.0.15)
 149:        119667        1914672  com.mojang.datafixers.util.Either$Left (datafixerupper@6.0.8)
 150:         59535        1905120  jdk.internal.reflect.NativeConstructorAccessorImpl (java.base@17.0.15)
 151:         33831        1894536  net.minecraft.world.phys.shapes.BitSetDiscreteVoxelShape (minecraft@1.20.1)
 152:         70935        1879632  [Ljava.lang.Class; (java.base@17.0.15)
 153:        117251        1876016  com.google.gson.internal.LazilyParsedNumber (com.google.gson@2.10)
 154:         76856        1844544  cpw.mods.modlauncher.TransformerAuditTrail$TransformerActivity (cpw.mods.modlauncher@10.0.9)
 155:         76849        1844376  java.lang.invoke.ResolvedMethodName (java.base@17.0.15)
 156:         55938        1790016  java.lang.invoke.DirectMethodHandle (java.base@17.0.15)
 157:         55656        1780992  it.unimi.dsi.fastutil.objects.Object2IntRBTreeMap$Entry (it.unimi.dsi.fastutil@8.5.9)
 158:         15653        1753136  net.minecraft.world.item.BlockItem (minecraft@1.20.1)
 159:         11183        1699816  com.aetherteam.aether.capability.player.AetherPlayerCapability (aether@1.20.1-1.5.2-neoforge)
 160:         35265        1692720  net.minecraft.client.model.geom.ModelPart$Cube (minecraft@1.20.1)
 161:         30182        1690192  net.minecraft.network.chat.Style (minecraft@1.20.1)
 162:         34246        1643808  org.objectweb.asm.tree.FieldInsnNode (org.objectweb.asm.tree@9.8)
 163:         33786        1621728  java.lang.invoke.BoundMethodHandle$Species_LLLL (java.base@17.0.15)
 164:         50501        1616032  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry (java.base@17.0.15)
 165:         39434        1577360  org.objectweb.asm.tree.LocalVariableNode (org.objectweb.asm.tree@9.8)
 166:         97642        1562272  org.apache.commons.lang3.mutable.MutableObject (org.apache.commons.lang3@3.12.0)
 167:         95611        1529776  net.minecraft.world.item.crafting.Ingredient$ItemValue (minecraft@1.20.1)
 168:         11183        1520888  net.mcreator.protectionpixel.network.ProtectionPixelModVariables$PlayerVariables (protection_pixel@2.2.1)
 169:         61105        1466520  dev.emi.emi.jemi.impl.JemiRecipeSlot$IngredientRenderer (emi@1.1.22+1.20.1+forge)
 170:         30497        1463856  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@17.0.15)
 171:         60431        1450344  net.minecraft.resources.ResourceKey (minecraft@1.20.1)
 172:         60431        1450344  net.minecraft.resources.ResourceKey$InternKey (minecraft@1.20.1)
 173:         60162        1444112  [Ljava.lang.reflect.Constructor; (java.base@17.0.15)
 174:         45071        1442272  java.util.Hashtable$Entry (java.base@17.0.15)
 175:         44732        1431424  net.bettercombat.client.animation.PoseSubStack (bettercombat@1.9.0+1.20.1)
 176:         29756        1428288  xfacthd.framedblocks.common.compat.emi.FramingSawEmiRecipe (framedblocks@9.4.3)
 177:         44379        1420128  net.minecraftforge.registries.RegistryObject (forge@47.4.13)
 178:         88519        1416304  net.minecraft.nbt.FloatTag (minecraft@1.20.1)
 179:         35265        1410472  [Lnet.minecraft.client.model.geom.ModelPart$Polygon; (minecraft@1.20.1)
 180:         44036        1409152  net.minecraftforge.registries.RegistryObject$1 (forge@47.4.13)
 181:         57648        1383552  software.bernie.geckolib.cache.object.GeoVertex (geckolib@4.8.3)
 182:         57255        1374120  dev.emi.emi.jemi.impl.JemiRecipeLayoutBuilder (emi@1.1.22+1.20.1+forge)
 183:         34106        1364240  net.minecraft.client.renderer.block.model.BlockElement (minecraft@1.20.1)
 184:         55915        1341960  dev.kosmx.playerAnim.api.layered.ModifierLayer (playeranimator@1.0.2-rc1+1.20)
 185:         55915        1341960  dev.kosmx.playerAnim.api.layered.modifier.MirrorModifier (playeranimator@1.0.2-rc1+1.20)
 186:         55915        1341960  dev.kosmx.playerAnim.core.util.Pair (playeranimator@1.0.2-rc1+1.20)
 187:         11183        1341960  net.dyrohc.cravings.network.CravingsModVariables$PlayerVariables (cravings@1.2.1)
 188:         41910        1341120  net.minecraft.client.resources.model.WeightedBakedModel (minecraft@1.20.1)
 189:         41863        1339616  org.openjdk.nashorn.internal.runtime.PropertyHashMap$Element (org.openjdk.nashorn)
 190:         27830        1335840  java.util.TreeMap (java.base@17.0.15)
