210528:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       6767731      803181040  [B (java.base@17.0.15)
   2:       6543600      517643528  [Ljava.lang.Object; (java.base@17.0.15)
   3:       2892191      475293920  [I (java.base@17.0.15)
   4:       4131790      198325920  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   5:       3967817      190455216  dev.emi.emi.api.stack.ItemEmiStack (emi@1.1.22+1.20.1+forge)
   6:       5319616      170227712  java.util.HashMap$Node (java.base@17.0.15)
   7:       3473930      166748640  java.util.HashMap (java.base@17.0.15)
   8:       6293107      151034568  java.lang.String (java.base@17.0.15)
   9:       1057354      101505984  net.minecraft.world.item.ItemStack (minecraft@1.20.1)
  10:       3976752       95442048  java.util.ArrayList (java.base@17.0.15)
  11:        709141       73750664  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
  12:        361705       69554392  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  13:        979686       62699904  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap (it.unimi.dsi.fastutil@8.5.9)
  14:       1169630       56142240  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  15:       1471371       47083872  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  16:        817322       39231456  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  17:        949366       37974640  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  18:       1469789       35274936  net.minecraft.core.NonNullList (minecraft@1.20.1)
  19:        136087       35209184  [J (java.base@17.0.15)
  20:       1389779       33354696  java.util.Arrays$ArrayList (java.base@17.0.15)
  21:        548142       30695952  dev.emi.emi.jemi.impl.JemiRecipeSlotBuilder (emi@1.1.22+1.20.1+forge)
  22:       1145925       27502200  org.joml.Vector3f (org.joml@1.10.5)
  23:        150824       26622144  [D (java.base@17.0.15)
  24:       1060982       25463568  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
