214243:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       6924843      811299296  [B (java.base@17.0.15)
   2:       6745604      542249624  [Ljava.lang.Object; (java.base@17.0.15)
   3:       3133415      511097112  [I (java.base@17.0.15)
   4:       4449904      213595392  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   5:       4244332      203727936  dev.emi.emi.api.stack.ItemEmiStack (emi@1.1.22+1.20.1+forge)
   6:       5388187      172421984  java.util.HashMap$Node (java.base@17.0.15)
   7:       3450349      165616752  java.util.HashMap (java.base@17.0.15)
   8:       6436037      154464888  java.lang.String (java.base@17.0.15)
   9:       1146605      110074080  net.minecraft.world.item.ItemStack (minecraft@1.20.1)
  10:       4063637       97527288  java.util.ArrayList (java.base@17.0.15)
  11:        720569       74939176  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
  12:        354170       69266944  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  13:       1060468       67869952  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap (it.unimi.dsi.fastutil@8.5.9)
  14:       1214175       58280400  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  15:       1496792       47897344  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  16:        839190       40281120  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  17:        963340       38533600  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  18:        153357       38159432  [J (java.base@17.0.15)
  19:        153223       35409664  [D (java.base@17.0.15)
  20:       1434946       34438704  net.minecraft.core.NonNullList (minecraft@1.20.1)
  21:       1353341       32480184  java.util.Arrays$ArrayList (java.base@17.0.15)
  22:        559362       31324272  dev.emi.emi.jemi.impl.JemiRecipeSlotBuilder (emi@1.1.22+1.20.1+forge)
  23:       1174385       28185240  org.joml.Vector3f (org.joml@1.10.5)
  24:       1105894       26541456  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  25:        719109       23011488  malte0811.ferritecore.fastmap.immutable.FastMapEntryImmutableMap (ferritecore@6.0.1)
  26:        478693       22977264  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  27:       1296483       20743728  java.util.HashSet (java.base@17.0.15)
  28:        846200       20308800  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  29:        841442       20194608  net.minecraft.client.resources.model.ModelBakery$BakedCacheKey (minecraft@1.20.1)
  30:        496666       19866640  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
  31:        591678       18933696  net.minecraftforge.common.util.LazyOptional (forge@47.4.13)
  32:       1146604       18345664  net.minecraft.world.item.ItemStack$$Lambda$2527/0x0000000800d9e470 (minecraft@1.20.1)
  33:        744321       17863704  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
  34:        444680       17787200  net.minecraft.world.inventory.Slot (minecraft@1.20.1)
  35:       1078639       17258224  net.minecraft.nbt.CompoundTag (minecraft@1.20.1)
  36:        142048       16533176  java.lang.Class (java.base@17.0.15)
  37:        410718       16428720  it.unimi.dsi.fastutil.objects.Object2ObjectArrayMap (it.unimi.dsi.fastutil@8.5.9)
  38:        244588       15653632  top.theillusivec4.curios.common.inventory.CurioStacksHandler (curios@5.14.1+1.20.1)
  39:          1595       15318440  [C (java.base@17.0.15)
  40:        250617       14034552  com.google.gson.internal.LinkedTreeMap (com.google.gson@2.10)
  41:        562235       13493640  dev.emi.emi.jemi.impl.JemiIngredientAcceptor (emi@1.1.22+1.20.1+forge)
  42:        240311       13457416  net.minecraft.client.renderer.texture.SpriteContents (minecraft@1.20.1)
  43:        513408       12321792  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex (citadel@2.6.3)
  44:        507589       12182136  java.util.ImmutableCollections$List12 (java.base@17.0.15)
  45:        248808       11942784  com.google.common.collect.HashMultimap (com.google.common@31.1-jre)
  46:        212234       11885104  net.minecraft.client.resources.model.SimpleBakedModel (minecraft@1.20.1)
  47:        489176       11740224  top.theillusivec4.curios.common.inventory.DynamicStackHandler (curios@5.14.1+1.20.1)
  48:        240310       11534880  net.minecraft.client.renderer.texture.TextureAtlasSprite (minecraft@1.20.1)
  49:        234075       11508280  [Lcom.google.common.collect.ImmutableMapEntry; (com.google.common@31.1-jre)
  50:         11116       11382784  net.minecraft.client.player.RemotePlayer (minecraft@1.20.1)
  51:        279040       11161600  net.minecraftforge.eventbus.ListenerList$ListenerListInst (net.minecraftforge.eventbus)
  52:        459293       11023032  com.google.common.collect.ImmutableMapEntry$NonTerminalImmutableMapEntry (com.google.common@31.1-jre)
  53:        669546       10712736  java.lang.Object (java.base@17.0.15)
  54:        661305       10580880  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap$MapEntrySet (it.unimi.dsi.fastutil@8.5.9)
  55:        216671       10400208  net.minecraft.client.renderer.block.model.ItemTransforms (minecraft@1.20.1)
  56:        312124        9987968  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.15)
