665558:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       4943607      698864896  [B (java.base@17.0.15)
   2:       7731706      511382680  [Ljava.lang.Object; (java.base@17.0.15)
   3:       3222339      484691136  [I (java.base@17.0.15)
   4:       6859627      164631048  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
   5:       5992732      143825568  net.minecraft.client.renderer.block.model.multipart.KeyValueCondition$$Lambda$39993/0x000000080453f8c8 (minecraft@1.20.1)
   6:       3978888      127324416  java.util.HashMap$Node (java.base@17.0.15)
   7:       4482042      107569008  org.apache.commons.lang3.tuple.ImmutablePair (org.apache.commons.lang3@3.12.0)
   8:       1895179      106130024  net.minecraft.world.phys.shapes.SubShape (minecraft@1.20.1)
   9:       4365147      104763528  java.lang.String (java.base@17.0.15)
  10:       5997950       95967200  java.util.Optional (java.base@17.0.15)
  11:       3854282       92502768  java.util.ArrayList (java.base@17.0.15)
  12:       1941584       91047576  [Lcom.google.common.collect.ImmutableMapEntry; (com.google.common@31.1-jre)
  13:       2814901       90076832  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
  14:       3557984       85391616  com.google.common.collect.ImmutableMapEntry$NonTerminalImmutableMapEntry (com.google.common@31.1-jre)
  15:       1568857       62754280  com.google.common.collect.RegularImmutableMap (com.google.common@31.1-jre)
  16:       1895179       60645728  net.minecraft.world.phys.shapes.SliceShape (minecraft@1.20.1)
  17:        396476       57448456  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  18:       1196249       52291000  [Ljava.util.Map$Entry; (java.base@17.0.15)
  19:        487297       46780512  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
  20:        927902       44539296  java.util.HashMap (java.base@17.0.15)
  21:        416157       36621816  net.minecraft.world.item.ItemStack (minecraft@1.20.1)
  22:        811963       32478520  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  23:        674764       32388672  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  24:        184969       28386368  [J (java.base@17.0.15)
  25:        342465       24657480  it.unimi.dsi.fastutil.objects.Object2ObjectOpenCustomHashMap (it.unimi.dsi.fastutil@8.5.9)
  26:       1009220       24221280  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  27:       1479723       23675568  com.google.common.collect.RegularImmutableList (com.google.common@31.1-jre)
  28:        490685       23552880  com.google.common.collect.ArrayTable (com.google.common@31.1-jre)
  29:        929895       22317480  org.joml.Vector3f (org.joml@1.10.5)
  30:        549869       21994760  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
  31:        386896       21237760  [D (java.base@17.0.15)
  32:        490686       20814808  [[Ljava.lang.Object; (java.base@17.0.15)
  33:        424176       20360448  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  34:        485923       19476088  [Z (java.base@17.0.15)
  35:        411601       18306448  [Lnet.minecraft.world.phys.shapes.VoxelShape; (minecraft@1.20.1)
  36:        717496       17219904  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  37:        296260       16590560  java.util.LinkedHashMap (java.base@17.0.15)
  38:        485340       15530880  net.minecraft.world.level.block.state.BlockBehaviour$BlockStateBase$Cache (minecraft@1.20.1)
  39:        921953       14751248  net.minecraft.client.renderer.block.model.multipart.AndCondition$$Lambda$39995/0x000000080453fd68 (minecraft@1.20.1)
  40:        342465       13698600  net.minecraft.client.resources.model.MultiPartBakedModel (minecraft@1.20.1)
  41:        553309       13279416  net.minecraft.client.resources.model.ModelBakery$BakedCacheKey (minecraft@1.20.1)
  42:        550342       13208208  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  43:        263256       12636288  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  44:        513408       12321792  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex (citadel@2.6.3)
  45:        103538       12060360  java.lang.Class (java.base@17.0.15)
  46:        482415       11577960  com.google.common.collect.ImmutableMapEntrySet$RegularEntrySet (com.google.common@31.1-jre)
  47:        226634       10878432  com.google.common.collect.LinkedHashMultimap$ValueEntry (com.google.common@31.1-jre)
  48:        216410       10387680  com.google.common.collect.LinkedHashMultimap (com.google.common@31.1-jre)
  49:        256969       10278760  mezz.jei.core.search.suffixtree.Node (jei@15.20.0.130)
  50:        174857        9791992  org.objectweb.asm.Label (org.objectweb.asm@9.8)
  51:        386190        9268560  it.unimi.dsi.fastutil.doubles.DoubleArrayList (it.unimi.dsi.fastutil@8.5.9)
  52:        216561        8662440  it.unimi.dsi.fastutil.objects.Object2ObjectArrayMap (it.unimi.dsi.fastutil@8.5.9)
  53:        125976        7054656  net.minecraft.client.resources.model.SimpleBakedModel (minecraft@1.20.1)
  54:        123139        6895784  com.google.gson.internal.LinkedTreeMap (com.google.gson@2.10)
  55:        212582        6802624  org.objectweb.asm.Type (org.objectweb.asm@9.8)
  56:        169739        6789560  java.util.EnumMap (java.base@17.0.15)
  57:        416156        6658496  net.minecraft.world.item.ItemStack$$Lambda$2793/0x0000000800b8b7b0 (minecraft@1.20.1)
  58:        118388        6629728  net.minecraft.world.phys.shapes.BitSetDiscreteVoxelShape (minecraft@1.20.1)
  59:        123451        6623592  [S (java.base@17.0.15)
  60:        161809        6472360  org.objectweb.asm.tree.VarInsnNode (org.objectweb.asm.tree@9.8)
  61:        134144        6438912  net.minecraft.client.renderer.texture.TextureAtlasSprite (minecraft@1.20.1)
  62:        129500        6216000  net.minecraft.client.renderer.block.model.ItemTransforms (minecraft@1.20.1)
  63:        183988        5887616  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.15)
  64:        179374        5739968  [Lnet.minecraft.client.model.geom.ModelPart$Vertex; (minecraft@1.20.1)
  65:        101912        5707072  org.objectweb.asm.tree.MethodInsnNode (org.objectweb.asm.tree@9.8)
  66:        135611        5405512  [Lcom.mojang.blaze3d.platform.NativeImage; (minecraft@1.20.1)
  67:        134145        5365800  net.minecraft.client.renderer.texture.SpriteContents (minecraft@1.20.1)
  68:        130711        5228440  net.minecraftforge.eventbus.ListenerList$ListenerListInst (net.minecraftforge.eventbus)
  69:        106503        5112144  org.objectweb.asm.Frame (org.objectweb.asm@9.8)
  70:        200160        4803840  java.util.ImmutableCollections$List12 (java.base@17.0.15)
  71:        119524        4780960  org.objectweb.asm.tree.LabelNode (org.objectweb.asm.tree@9.8)
  72:         81815        4589744  [C (java.base@17.0.15)
  73:         90497        4343856  org.objectweb.asm.tree.LineNumberNode (org.objectweb.asm.tree@9.8)
  74:        179374        4304976  net.minecraft.client.model.geom.ModelPart$Polygon (minecraft@1.20.1)
  75:        269002        4304032  net.minecraft.world.item.crafting.Ingredient$ItemValue (minecraft@1.20.1)
  76:        130712        4182784  java.util.concurrent.Semaphore$FairSync (java.base@17.0.15)
  77:        104091        4163640  net.minecraft.client.renderer.block.model.BlockElementFace (minecraft@1.20.1)
  78:        129703        4150496  net.minecraft.world.phys.shapes.ArrayVoxelShape (minecraft@1.20.1)
  79:        128352        4107264  [Lcom.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex; (citadel@2.6.3)
  80:        104537        3693704  [F (java.base@17.0.15)
  81:         76843        3688464  java.lang.invoke.MemberName (java.base@17.0.15)
  82:         21345        3585960  com.github.alexthe666.citadel.client.model.AdvancedModelBox (citadel@2.6.3)
  83:         60410        3382960  org.spongepowered.asm.mixin.transformer.ClassInfo$Method (org.spongepowered.mixin)
  84:         84163        3366520  org.objectweb.asm.tree.InsnNode (org.objectweb.asm.tree@9.8)
  85:        205325        3285200  com.google.gson.JsonPrimitive (com.google.gson@2.10)
  86:         44465        3201480  java.lang.reflect.Constructor (java.base@17.0.15)
  87:          3528        3200960  [Lcom.google.common.collect.HashBiMap$BiEntry; (com.google.common@31.1-jre)
  88:        133240        3197760  java.util.BitSet (java.base@17.0.15)
  89:         99005        3168160  net.minecraft.core.Holder$Reference (minecraft@1.20.1)
  90:         35851        3154888  java.lang.reflect.Method (java.base@17.0.15)
  91:         77337        3093480  it.unimi.dsi.fastutil.chars.Char2ObjectArrayMap (it.unimi.dsi.fastutil@8.5.9)
  92:        128352        3080448  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$TexturedQuad (citadel@2.6.3)
  93:         46669        2986816  java.lang.Class$ReflectionData (java.base@17.0.15)
  94:        112990        2711760  net.minecraft.client.gui.font.providers.UnihexProvider$Glyph (minecraft@1.20.1)
  95:        163539        2616624  java.util.HashSet (java.base@17.0.15)
  96:        105158        2523792  it.unimi.dsi.fastutil.objects.ObjectArrayList (it.unimi.dsi.fastutil@8.5.9)
  97:         63088        2523520  org.objectweb.asm.tree.LocalVariableNode (org.objectweb.asm.tree@9.8)
