684486:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       7731589      511379512  [Ljava.lang.Object; (java.base@17.0.15)
   2:       3222344      469340896  [I (java.base@17.0.15)
   3:       1679352      354128240  [B (java.base@17.0.15)
   4:       6891134      165387216  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
   5:       5992732      143825568  net.minecraft.client.renderer.block.model.multipart.KeyValueCondition$$Lambda$39810/0x00000008044f8910 (minecraft@1.20.1)
   6:       3980070      127362240  java.util.HashMap$Node (java.base@17.0.15)
   7:       4482042      107569008  org.apache.commons.lang3.tuple.ImmutablePair (org.apache.commons.lang3@3.12.0)
   8:       1895179      106130024  net.minecraft.world.phys.shapes.SubShape (minecraft@1.20.1)
   9:       4366652      104799648  java.lang.String (java.base@17.0.15)
  10:       5997951       95967216  java.util.Optional (java.base@17.0.15)
  11:       3854308       92503392  java.util.ArrayList (java.base@17.0.15)
  12:       1941584       91047576  [Lcom.google.common.collect.ImmutableMapEntry; (com.google.common@31.1-jre)
  13:       2814901       90076832  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
  14:       3526472       84635328  com.google.common.collect.ImmutableMapEntry$NonTerminalImmutableMapEntry (com.google.common@31.1-jre)
  15:       1568857       62754280  com.google.common.collect.RegularImmutableMap (com.google.common@31.1-jre)
  16:       1895179       60645728  net.minecraft.world.phys.shapes.SliceShape (minecraft@1.20.1)
  17:        396648       57462448  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  18:       1196246       52290904  [Ljava.util.Map$Entry; (java.base@17.0.15)
  19:        487297       46780512  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
  20:        927964       44542272  java.util.HashMap (java.base@17.0.15)
  21:        416375       36641000  net.minecraft.world.item.ItemStack (minecraft@1.20.1)
  22:        811956       32478240  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  23:        674764       32388672  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  24:        184971       28185120  [J (java.base@17.0.15)
  25:        342465       24657480  it.unimi.dsi.fastutil.objects.Object2ObjectOpenCustomHashMap (it.unimi.dsi.fastutil@8.5.9)
  26:       1009220       24221280  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  27:       1479722       23675552  com.google.common.collect.RegularImmutableList (com.google.common@31.1-jre)
  28:        490685       23552880  com.google.common.collect.ArrayTable (com.google.common@31.1-jre)
  29:        929830       22315920  org.joml.Vector3f (org.joml@1.10.5)
  30:        549868       21994720  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
  31:        386890       21234608  [D (java.base@17.0.15)
  32:        490686       20814808  [[Ljava.lang.Object; (java.base@17.0.15)
  33:        424176       20360448  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  34:        485923       19476088  [Z (java.base@17.0.15)
  35:        411601       18306448  [Lnet.minecraft.world.phys.shapes.VoxelShape; (minecraft@1.20.1)
  36:        717496       17219904  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  37:        297463       16657928  java.util.LinkedHashMap (java.base@17.0.15)
  38:        485340       15530880  net.minecraft.world.level.block.state.BlockBehaviour$BlockStateBase$Cache (minecraft@1.20.1)
