606915:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       5428510      768711960  [B (java.base@17.0.15)
   2:       2496559      400418584  [I (java.base@17.0.15)
   3:       3781120      323872928  [Ljava.lang.Object; (java.base@17.0.15)
   4:       3664104      175876992  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   5:       4463758      142840256  java.util.HashMap$Node (java.base@17.0.15)
   6:       4683176      112396224  java.lang.String (java.base@17.0.15)
   7:       1937653       93007344  dev.emi.emi.api.stack.ItemEmiStack (emi@1.1.22+1.20.1+forge)
   8:       3039550       72949200  java.util.ArrayList (java.base@17.0.15)
   9:        601076       62511904  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
  10:        591435       56777760  net.minecraft.world.item.ItemStack (minecraft@1.20.1)
  11:        261874       52095496  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  12:        794170       50826880  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap (it.unimi.dsi.fastutil@8.5.9)
  13:        998539       47929872  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  14:        957131       45942288  java.util.HashMap (java.base@17.0.15)
  15:       1242757       39768224  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  16:        921540       36861600  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  17:        736794       29471760  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
  18:       1078927       25894248  org.joml.Vector3f (org.joml@1.10.5)
  19:        532084       25540032  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  20:         67922       21749232  [J (java.base@17.0.15)
  21:        815048       19561152  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  22:        605099       19363168  malte0811.ferritecore.fastmap.immutable.FastMapEntryImmutableMap (ferritecore@6.0.1)
  23:        789652       18951648  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
  24:        773516       18564384  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  25:        680621       16334904  net.minecraft.client.resources.model.ModelBakery$BakedCacheKey (minecraft@1.20.1)
  26:        135287       15746632  java.lang.Class (java.base@17.0.15)
  27:          1610       15454136  [C (java.base@17.0.15)
  28:        315508       15144384  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  29:        811747       12987952  net.minecraft.nbt.CompoundTag (minecraft@1.20.1)
  30:        220609       12354104  dev.emi.emi.jemi.impl.JemiRecipeSlotBuilder (emi@1.1.22+1.20.1+forge)
  31:        513408       12321792  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex (citadel@2.6.3)
  32:        198300       11104800  net.minecraft.client.renderer.texture.SpriteContents (minecraft@1.20.1)
  33:        266220       10648800  net.minecraftforge.eventbus.ListenerList$ListenerListInst (net.minecraftforge.eventbus)
  34:        258936       10357440  it.unimi.dsi.fastutil.objects.Object2ObjectArrayMap (it.unimi.dsi.fastutil@8.5.9)
  35:        198299        9518352  net.minecraft.client.renderer.texture.TextureAtlasSprite (minecraft@1.20.1)
  36:        591434        9462944  net.minecraft.world.item.ItemStack$$Lambda$2526/0x0000000800d7a5c8 (minecraft@1.20.1)
  37:        575974        9215584  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap$MapEntrySet (it.unimi.dsi.fastutil@8.5.9)
  38:        172620        9009576  [Lcom.google.common.collect.ImmutableMapEntry; (com.google.common@31.1-jre)
  39:        281088        8994816  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.15)
  40:        155227        8692712  net.minecraft.client.resources.model.SimpleBakedModel (minecraft@1.20.1)
  41:        154531        8653736  com.google.gson.internal.LinkedTreeMap (com.google.gson@2.10)
  42:        266221        8519072  java.util.concurrent.Semaphore$FairSync (java.base@17.0.15)
  43:        200760        8003296  [Lcom.mojang.blaze3d.platform.NativeImage; (minecraft@1.20.1)
  44:        331799        7963176  java.util.ImmutableCollections$List12 (java.base@17.0.15)
  45:        159392        7650816  net.minecraft.client.renderer.block.model.ItemTransforms (minecraft@1.20.1)
  46:        292649        7023576  it.unimi.dsi.fastutil.objects.ObjectArrayList (it.unimi.dsi.fastutil@8.5.9)
  47:        203762        6520384  [Lnet.minecraft.client.model.geom.ModelPart$Vertex; (minecraft@1.20.1)
