251068:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       5540972      783112216  [B (java.base@17.0.15)
   2:       2553239      425631128  [I (java.base@17.0.15)
   3:       4005933      343494280  [Ljava.lang.Object; (java.base@17.0.15)
   4:       3747048      179858304  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   5:       4528071      144898272  java.util.HashMap$Node (java.base@17.0.15)
   6:       4781504      114756096  java.lang.String (java.base@17.0.15)
   7:       2036192       97737216  dev.emi.emi.api.stack.ItemEmiStack (emi@1.1.22+1.20.1+forge)
   8:       3166671       76000104  java.util.ArrayList (java.base@17.0.15)
   9:        607542       63184368  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
  10:        624364       59938944  net.minecraft.world.item.ItemStack (minecraft@1.20.1)
  11:        862645       55209280  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap (it.unimi.dsi.fastutil@8.5.9)
  12:        266504       52623744  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  13:       1012466       48598368  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  14:        995968       47806464  java.util.HashMap (java.base@17.0.15)
  15:       1257309       40233888  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  16:        941218       37648720  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  17:        105811       34438304  [J (java.base@17.0.15)
  18:        751782       30071280  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
  19:       1104887       26517288  org.joml.Vector3f (org.joml@1.10.5)
  20:        547137       26262576  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  21:        821504       19716096  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  22:        611902       19580864  malte0811.ferritecore.fastmap.immutable.FastMapEntryImmutableMap (ferritecore@6.0.1)
  23:        788901       18933624  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  24:        689412       16545888  net.minecraft.client.resources.model.ModelBakery$BakedCacheKey (minecraft@1.20.1)
  25:        138003       16060240  java.lang.Class (java.base@17.0.15)
  26:        328442       15765216  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  27:          1602       15412856  [C (java.base@17.0.15)
  28:        611028       14664672  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
  29:        879853       14077648  net.minecraft.nbt.CompoundTag (minecraft@1.20.1)
  30:        225728       12640768  dev.emi.emi.jemi.impl.JemiRecipeSlotBuilder (emi@1.1.22+1.20.1+forge)
  31:        513408       12321792  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex (citadel@2.6.3)
  32:        201093       11261208  net.minecraft.client.renderer.texture.SpriteContents (minecraft@1.20.1)
  33:        280675       11227000  net.minecraftforge.eventbus.ListenerList$ListenerListInst (net.minecraftforge.eventbus)
  34:        262924       10516960  it.unimi.dsi.fastutil.objects.Object2ObjectArrayMap (it.unimi.dsi.fastutil@8.5.9)
  35:        624363        9989808  net.minecraft.world.item.ItemStack$$Lambda$2526/0x0000000800d93350 (minecraft@1.20.1)
  36:        621079        9937264  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap$MapEntrySet (it.unimi.dsi.fastutil@8.5.9)
  37:        201092        9652416  net.minecraft.client.renderer.texture.TextureAtlasSprite (minecraft@1.20.1)
  38:        296781        9496992  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.15)
  39:        175247        9099480  [Lcom.google.common.collect.ImmutableMapEntry; (com.google.common@31.1-jre)
  40:        280676        8981632  java.util.concurrent.Semaphore$FairSync (java.base@17.0.15)
  41:        160261        8974616  net.minecraft.client.resources.model.SimpleBakedModel (minecraft@1.20.1)
  42:        158520        8877120  com.google.gson.internal.LinkedTreeMap (com.google.gson@2.10)
  43:        351188        8428512  com.google.common.collect.ImmutableMapEntry$NonTerminalImmutableMapEntry (com.google.common@31.1-jre)
  44:        343279        8238696  java.util.ImmutableCollections$List12 (java.base@17.0.15)
  45:        203583        8115464  [Lcom.mojang.blaze3d.platform.NativeImage; (minecraft@1.20.1)
  46:        164553        7898544  net.minecraft.client.renderer.block.model.ItemTransforms (minecraft@1.20.1)
  47:        318153        7635672  it.unimi.dsi.fastutil.objects.ObjectArrayList (it.unimi.dsi.fastutil@8.5.9)
  48:        205376        6572032  [Lnet.minecraft.client.model.geom.ModelPart$Vertex; (minecraft@1.20.1)
  49:         97490        6540504  [D (java.base@17.0.15)
  50:        261691        6280584  java.util.ImmutableCollections$ListN (java.base@17.0.15)
  51:        148993        5959720  com.google.common.collect.RegularImmutableMap (com.google.common@31.1-jre)
  52:        105112        5886272  org.spongepowered.asm.mixin.transformer.ClassInfo$Method (org.spongepowered.mixin)
  53:        102998        5767888  org.objectweb.asm.Label (org.objectweb.asm@9.8)
  54:        143586        5743440  net.minecraft.client.renderer.block.model.BlockElementFace (minecraft@1.20.1)
  55:        228507        5484168  dev.emi.emi.jemi.impl.JemiIngredientAcceptor (emi@1.1.22+1.20.1+forge)
  56:        144752        5066216  [F (java.base@17.0.15)
  57:        103407        4963536  java.lang.invoke.MemberName (java.base@17.0.15)
  58:        206264        4950336  net.minecraft.nbt.ListTag (minecraft@1.20.1)
  59:        205376        4929024  net.minecraft.client.model.geom.ModelPart$Polygon (minecraft@1.20.1)
  60:        101594        4876512  org.embeddedt.modernfix.render.font.CompactUnihexContents$Shorts (modernfix@5.27.12+mc1.20.1)
  61:        301490        4823840  java.util.concurrent.Semaphore (java.base@17.0.15)
  62:        114729        4589160  java.util.EnumMap (java.base@17.0.15)
  63:        114441        4577640  org.objectweb.asm.tree.VarInsnNode (org.objectweb.asm.tree@9.8)
  64:         19329        4530392  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@17.0.15)
  65:        281022        4496352  java.util.concurrent.atomic.AtomicReference (java.base@17.0.15)
  66:         60086        4326192  java.lang.reflect.Constructor (java.base@17.0.15)
  67:         49082        4319216  java.lang.reflect.Method (java.base@17.0.15)
  68:          2084        4284800  [Lcom.google.common.collect.HashBiMap$BiEntry; (com.google.common@31.1-jre)
