255137:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       5446748      772946376  [B (java.base@17.0.15)
   2:       2488519      417044032  [I (java.base@17.0.15)
   3:       3949542      338512144  [Ljava.lang.Object; (java.base@17.0.15)
   4:       3637018      174576864  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   5:       4465727      142903264  java.util.HashMap$Node (java.base@17.0.15)
   6:       4699142      112779408  java.lang.String (java.base@17.0.15)
   7:       1917691       92049168  dev.emi.emi.api.stack.ItemEmiStack (emi@1.1.22+1.20.1+forge)
   8:       3104411       74505864  java.util.ArrayList (java.base@17.0.15)
   9:        598596       62253984  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
  10:        587080       56359680  net.minecraft.world.item.ItemStack (minecraft@1.20.1)
  11:        856376       54808064  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap (it.unimi.dsi.fastutil@8.5.9)
  12:        263272       52246672  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  13:        992589       47644272  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  14:        954296       45806208  java.util.HashMap (java.base@17.0.15)
  15:       1238528       39632896  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  16:        926727       37069080  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  17:        739446       29577840  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
  18:         87050       27686000  [J (java.base@17.0.15)
  19:       1099803       26395272  org.joml.Vector3f (org.joml@1.10.5)
  20:        530153       25447344  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  21:        821240       19709760  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  22:        603027       19296864  malte0811.ferritecore.fastmap.immutable.FastMapEntryImmutableMap (ferritecore@6.0.1)
  23:        772058       18529392  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  24:        678932       16294368  net.minecraft.client.resources.model.ModelBakery$BakedCacheKey (minecraft@1.20.1)
  25:        136055       15834336  java.lang.Class (java.base@17.0.15)
  26:          1604       15490656  [C (java.base@17.0.15)
  27:        321939       15453072  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  28:        585630       14055120  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
  29:        873465       13975440  net.minecraft.nbt.CompoundTag (minecraft@1.20.1)
  30:        513408       12321792  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex (citadel@2.6.3)
  31:        218697       12247032  dev.emi.emi.jemi.impl.JemiRecipeSlotBuilder (emi@1.1.22+1.20.1+forge)
  32:        197100       11037600  net.minecraft.client.renderer.texture.SpriteContents (minecraft@1.20.1)
  33:        275910       11036400  net.minecraftforge.eventbus.ListenerList$ListenerListInst (net.minecraftforge.eventbus)
  34:        259473       10378920  it.unimi.dsi.fastutil.objects.Object2ObjectArrayMap (it.unimi.dsi.fastutil@8.5.9)
  35:        616405        9862480  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap$MapEntrySet (it.unimi.dsi.fastutil@8.5.9)
  36:        197099        9460752  net.minecraft.client.renderer.texture.TextureAtlasSprite (minecraft@1.20.1)
  37:        587079        9393264  net.minecraft.world.item.ItemStack$$Lambda$2526/0x0000000800d877b8 (minecraft@1.20.1)
  38:        291752        9336064  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.15)
  39:        172649        8877152  [Lcom.google.common.collect.ImmutableMapEntry; (com.google.common@31.1-jre)
  40:        275911        8829152  java.util.concurrent.Semaphore$FairSync (java.base@17.0.15)
  41:        157153        8800568  net.minecraft.client.resources.model.SimpleBakedModel (minecraft@1.20.1)
  42:        153792        8612352  com.google.gson.internal.LinkedTreeMap (com.google.gson@2.10)
  43:        351041        8424984  com.google.common.collect.ImmutableMapEntry$NonTerminalImmutableMapEntry (com.google.common@31.1-jre)
  44:        337442        8098608  java.util.ImmutableCollections$List12 (java.base@17.0.15)
  45:        199590        7956096  [Lcom.mojang.blaze3d.platform.NativeImage; (minecraft@1.20.1)
  46:        161413        7747824  net.minecraft.client.renderer.block.model.ItemTransforms (minecraft@1.20.1)
  47:        315773        7578552  it.unimi.dsi.fastutil.objects.ObjectArrayList (it.unimi.dsi.fastutil@8.5.9)
  48:        205310        6569920  [Lnet.minecraft.client.model.geom.ModelPart$Vertex; (minecraft@1.20.1)
  49:         97242        6526248  [D (java.base@17.0.15)
  50:        132603        6364944  net.fabricmc.fabric.impl.renderer.SpriteFinderImpl$Node (fabric_renderer_api_v1@3.2.2+cf68abbe77)
  51:        255724        6137376  java.util.ImmutableCollections$ListN (java.base@17.0.15)
  52:        105068        5883808  org.spongepowered.asm.mixin.transformer.ClassInfo$Method (org.spongepowered.mixin)
  53:        146435        5857400  com.google.common.collect.RegularImmutableMap (com.google.common@31.1-jre)
  54:        102967        5766152  org.objectweb.asm.Label (org.objectweb.asm@9.8)
  55:        142796        5711840  net.minecraft.client.renderer.block.model.BlockElementFace (minecraft@1.20.1)
  56:        221469        5315256  dev.emi.emi.jemi.impl.JemiIngredientAcceptor (emi@1.1.22+1.20.1+forge)
  57:        143962        5041224  [F (java.base@17.0.15)
  58:        205310        4927440  net.minecraft.client.model.geom.ModelPart$Polygon (minecraft@1.20.1)
  59:        102009        4896432  java.lang.invoke.MemberName (java.base@17.0.15)
  60:        203872        4892928  net.minecraft.nbt.ListTag (minecraft@1.20.1)
  61:        101594        4876512  org.embeddedt.modernfix.render.font.CompactUnihexContents$Shorts (modernfix@5.27.12+mc1.20.1)
  62:        296725        4747600  java.util.concurrent.Semaphore (java.base@17.0.15)
  63:        114417        4576680  org.objectweb.asm.tree.VarInsnNode (org.objectweb.asm.tree@9.8)
  64:        113373        4534920  java.util.EnumMap (java.base@17.0.15)
  65:         18926        4479976  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@17.0.15)
  66:        276246        4419936  java.util.concurrent.atomic.AtomicReference (java.base@17.0.15)
  67:         48796        4294048  java.lang.reflect.Method (java.base@17.0.15)
  68:          2036        4279936  [Lcom.google.common.collect.HashBiMap$BiEntry; (com.google.common@31.1-jre)
  69:         58798        4233456  java.lang.reflect.Constructor (java.base@17.0.15)
  70:         75542        4230352  java.util.LinkedHashMap (java.base@17.0.15)
  71:        120384        4172000  [Ljava.util.Map$Entry; (java.base@17.0.15)
  72:        128352        4107264  [Lcom.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex; (citadel@2.6.3)
  73:         63633        4072512  java.lang.Class$ReflectionData (java.base@17.0.15)
  74:         98517        3940680  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@17.0.15)
  75:        243543        3896688  com.google.gson.JsonPrimitive (com.google.gson@2.10)
  76:         68869        3856664  org.objectweb.asm.tree.MethodInsnNode (org.objectweb.asm.tree@9.8)
  77:        119257        3816224  net.minecraft.core.Holder$Reference (minecraft@1.20.1)
  78:         92741        3709640  org.objectweb.asm.tree.LabelNode (org.objectweb.asm.tree@9.8)
  79:        153042        3673008  net.minecraft.world.phys.Vec2 (minecraft@1.20.1)
  80:         21345        3585960  com.github.alexthe666.citadel.client.model.AdvancedModelBox (citadel@2.6.3)
  81:        142796        3427104  net.minecraft.client.renderer.block.model.BlockFaceUV (minecraft@1.20.1)
  82:        107081        3426592  org.spongepowered.asm.mixin.transformer.ClassInfo$FrameData (org.spongepowered.mixin)
  83:        104902        3356864  org.objectweb.asm.Type (org.objectweb.asm@9.8)
  84:         69000        3312000  org.objectweb.asm.tree.LineNumberNode (org.objectweb.asm.tree@9.8)
  85:        204484        3271744  net.minecraft.nbt.StringTag (minecraft@1.20.1)
  86:         75578        3241800  [Lnet.minecraft.world.item.ItemStack; (minecraft@1.20.1)
  87:        198318        3173088  org.embeddedt.modernfix.resources.PackResourcesCacheEngine$Node (modernfix@5.27.12+mc1.20.1)
  88:          5744        3170688  com.github.benmanes.caffeine.cache.MpscGrowableArrayQueue (com.github.benmanes.caffeine@3.2.1)
  89:           328        3141096  [Lnet.minecraft.world.level.block.state.BlockState; (minecraft@1.20.1)
  90:        128352        3080448  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$TexturedQuad (citadel@2.6.3)
  91:         74520        2980800  net.minecraft.world.item.crafting.Ingredient (minecraft@1.20.1)
  92:         72793        2911720  org.embeddedt.modernfix.forge.recipe.IngredientItemStacksSoftReference (modernfix@5.27.12+mc1.20.1)
  93:         87149        2788768  net.minecraft.client.renderer.block.model.Variant (minecraft@1.20.1)
  94:         34225        2738000  me.jellysquid.mods.sodium.client.render.immediate.model.ModelCuboid (embeddium@0.3.31+mc1.20.1)
  95:        121481        2732200  [Ljava.lang.String; (java.base@17.0.15)
  96:         68115        2724600  java.lang.ref.SoftReference (java.base@17.0.15)
