259145:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       5118599      713200016  [B (java.base@17.0.15)
   2:       2480733      414847672  [I (java.base@17.0.15)
   3:       3963259      339654328  [Ljava.lang.Object; (java.base@17.0.15)
   4:       3645377      174978096  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   5:       4448428      142349696  java.util.HashMap$Node (java.base@17.0.15)
   6:       4698628      112767072  java.lang.String (java.base@17.0.15)
   7:       1924962       92398176  dev.emi.emi.api.stack.ItemEmiStack (emi@1.1.22+1.20.1+forge)
   8:       3129491       75107784  java.util.ArrayList (java.base@17.0.15)
   9:        595805       61963720  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
  10:        598402       57446592  net.minecraft.world.item.ItemStack (minecraft@1.20.1)
  11:        859597       55014208  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap (it.unimi.dsi.fastutil@8.5.9)
  12:        261935       49548024  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  13:        997966       47902368  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  14:        962478       46198944  java.util.HashMap (java.base@17.0.15)
  15:        134235       42695256  [J (java.base@17.0.15)
  16:       1232537       39441184  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  17:       1088001       26112024  org.joml.Vector3f (org.joml@1.10.5)
  18:        532520       25560960  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  19:        599704       23988160  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  20:        801032       19224768  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  21:        600272       19208704  malte0811.ferritecore.fastmap.immutable.FastMapEntryImmutableMap (ferritecore@6.0.1)
  22:        768780       18450720  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  23:        704418       16906032  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
  24:        412024       16480960  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
  25:        675302       16207248  net.minecraft.client.resources.model.ModelBakery$BakedCacheKey (minecraft@1.20.1)
  26:        135830       15809368  java.lang.Class (java.base@17.0.15)
  27:          1602       15347376  [C (java.base@17.0.15)
  28:        318295       15278160  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  29:        876767       14028272  net.minecraft.nbt.CompoundTag (minecraft@1.20.1)
  30:        513408       12321792  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex (citadel@2.6.3)
  31:        219717       12304152  dev.emi.emi.jemi.impl.JemiRecipeSlotBuilder (emi@1.1.22+1.20.1+forge)
  32:        279040       11161600  net.minecraftforge.eventbus.ListenerList$ListenerListInst (net.minecraftforge.eventbus)
  33:        198080       11092480  net.minecraft.client.renderer.texture.SpriteContents (minecraft@1.20.1)
  34:        256491       10259640  it.unimi.dsi.fastutil.objects.Object2ObjectArrayMap (it.unimi.dsi.fastutil@8.5.9)
  35:        618535        9896560  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap$MapEntrySet (it.unimi.dsi.fastutil@8.5.9)
  36:        598401        9574416  net.minecraft.world.item.ItemStack$$Lambda$2526/0x0000000800d8f068 (minecraft@1.20.1)
  37:        198079        9507792  net.minecraft.client.renderer.texture.TextureAtlasSprite (minecraft@1.20.1)
  38:        291715        9334880  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.15)
  39:        279041        8929312  java.util.concurrent.Semaphore$FairSync (java.base@17.0.15)
  40:        170527        8820008  [Lcom.google.common.collect.ImmutableMapEntry; (com.google.common@31.1-jre)
  41:        154386        8645616  net.minecraft.client.resources.model.SimpleBakedModel (minecraft@1.20.1)
  42:        154330        8642480  com.google.gson.internal.LinkedTreeMap (com.google.gson@2.10)
  43:        200569        7997448  [Lcom.mojang.blaze3d.platform.NativeImage; (minecraft@1.20.1)
  44:        330525        7932600  java.util.ImmutableCollections$List12 (java.base@17.0.15)
  45:        317998        7631952  it.unimi.dsi.fastutil.objects.ObjectArrayList (it.unimi.dsi.fastutil@8.5.9)
  46:        158596        7612608  net.minecraft.client.renderer.block.model.ItemTransforms (minecraft@1.20.1)
  47:         97204        6520104  [D (java.base@17.0.15)
  48:        200258        6408256  [Lnet.minecraft.client.model.geom.ModelPart$Vertex; (minecraft@1.20.1)
  49:        254523        6108552  java.util.ImmutableCollections$ListN (java.base@17.0.15)
  50:        104821        5869976  org.spongepowered.asm.mixin.transformer.ClassInfo$Method (org.spongepowered.mixin)
  51:        144293        5771720  com.google.common.collect.RegularImmutableMap (com.google.common@31.1-jre)
  52:        102551        5742856  org.objectweb.asm.Label (org.objectweb.asm@9.8)
  53:        141855        5674200  net.minecraft.client.renderer.block.model.BlockElementFace (minecraft@1.20.1)
  54:        223436        5362464  com.google.common.collect.ImmutableMapEntry$NonTerminalImmutableMapEntry (com.google.common@31.1-jre)
  55:        222483        5339592  dev.emi.emi.jemi.impl.JemiIngredientAcceptor (emi@1.1.22+1.20.1+forge)
  56:        143007        5010744  [F (java.base@17.0.15)
  57:        206109        4946616  net.minecraft.nbt.ListTag (minecraft@1.20.1)
  58:        101793        4886064  java.lang.invoke.MemberName (java.base@17.0.15)
  59:        101594        4876512  org.embeddedt.modernfix.render.font.CompactUnihexContents$Shorts (modernfix@5.27.12+mc1.20.1)
  60:        200258        4806192  net.minecraft.client.model.geom.ModelPart$Polygon (minecraft@1.20.1)
  61:        299855        4797680  java.util.concurrent.Semaphore (java.base@17.0.15)
  62:        113985        4559400  org.objectweb.asm.tree.VarInsnNode (org.objectweb.asm.tree@9.8)
  63:         19130        4500136  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@17.0.15)
  64:        111770        4470800  java.util.EnumMap (java.base@17.0.15)
  65:        279376        4470016  java.util.concurrent.atomic.AtomicReference (java.base@17.0.15)
  66:         48925        4305400  java.lang.reflect.Method (java.base@17.0.15)
  67:          2072        4283584  [Lcom.google.common.collect.HashBiMap$BiEntry; (com.google.common@31.1-jre)
  68:         75773        4243288  java.util.LinkedHashMap (java.base@17.0.15)
  69:         58676        4224672  java.lang.reflect.Constructor (java.base@17.0.15)
  70:        128352        4107264  [Lcom.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex; (citadel@2.6.3)
