264413:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       5507582      780763944  [B (java.base@17.0.15)
   2:       2521067      420618232  [I (java.base@17.0.15)
   3:       3991460      342474208  [Ljava.lang.Object; (java.base@17.0.15)
   4:       3665406      175939488  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   5:       4515998      144511936  java.util.HashMap$Node (java.base@17.0.15)
   6:       4753423      114082152  java.lang.String (java.base@17.0.15)
   7:       2018772       96901056  dev.emi.emi.api.stack.ItemEmiStack (emi@1.1.22+1.20.1+forge)
   8:       3147483       75539592  java.util.ArrayList (java.base@17.0.15)
   9:        607016       63129664  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
  10:        615717       59108832  net.minecraft.world.item.ItemStack (minecraft@1.20.1)
  11:        170830       55281864  [J (java.base@17.0.15)
  12:        862076       55172864  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap (it.unimi.dsi.fastutil@8.5.9)
  13:        265104       52465984  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  14:       1008251       48396048  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  15:        982655       47167440  java.util.HashMap (java.base@17.0.15)
  16:       1255803       40185696  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  17:        934386       37375440  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  18:        746067       29842680  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
  19:        545726       26194848  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  20:       1085750       26058000  org.joml.Vector3f (org.joml@1.10.5)
  21:        611396       19564672  malte0811.ferritecore.fastmap.immutable.FastMapEntryImmutableMap (ferritecore@6.0.1)
  22:        798584       19166016  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  23:        783538       18804912  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  24:        688687       16528488  net.minecraft.client.resources.model.ModelBakery$BakedCacheKey (minecraft@1.20.1)
  25:        136659       15906296  java.lang.Class (java.base@17.0.15)
  26:        324665       15583920  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  27:          1608       15425376  [C (java.base@17.0.15)
  28:        879266       14068256  net.minecraft.nbt.CompoundTag (minecraft@1.20.1)
  29:        579512       13908288  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
  30:        224817       12589752  dev.emi.emi.jemi.impl.JemiRecipeSlotBuilder (emi@1.1.22+1.20.1+forge)
  31:        513408       12321792  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex (citadel@2.6.3)
  32:        200300       11216800  net.minecraft.client.renderer.texture.SpriteContents (minecraft@1.20.1)
  33:        279072       11162880  net.minecraftforge.eventbus.ListenerList$ListenerListInst (net.minecraftforge.eventbus)
  34:        261420       10456800  it.unimi.dsi.fastutil.objects.Object2ObjectArrayMap (it.unimi.dsi.fastutil@8.5.9)
  35:        619670        9914720  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap$MapEntrySet (it.unimi.dsi.fastutil@8.5.9)
  36:        615716        9851456  net.minecraft.world.item.ItemStack$$Lambda$2526/0x0000000800d8edf0 (minecraft@1.20.1)
  37:        200299        9614352  net.minecraft.client.renderer.texture.TextureAtlasSprite (minecraft@1.20.1)
  38:        295691        9462112  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.15)
  39:        173476        9041408  [Lcom.google.common.collect.ImmutableMapEntry; (com.google.common@31.1-jre)
  40:        373562        8965488  com.google.common.collect.ImmutableMapEntry$NonTerminalImmutableMapEntry (com.google.common@31.1-jre)
  41:        279074        8930368  java.util.concurrent.Semaphore$FairSync (java.base@17.0.15)
  42:        158466        8874096  net.minecraft.client.resources.model.SimpleBakedModel (minecraft@1.20.1)
  43:        158076        8852256  com.google.gson.internal.LinkedTreeMap (com.google.gson@2.10)
  44:        342451        8218824  java.util.ImmutableCollections$List12 (java.base@17.0.15)
  45:        202732        8081584  [Lcom.mojang.blaze3d.platform.NativeImage; (minecraft@1.20.1)
  46:        162748        7811904  net.minecraft.client.renderer.block.model.ItemTransforms (minecraft@1.20.1)
  47:        312631        7503144  it.unimi.dsi.fastutil.objects.ObjectArrayList (it.unimi.dsi.fastutil@8.5.9)
  48:         97405        6535968  [D (java.base@17.0.15)
  49:        199646        6388672  [Lnet.minecraft.client.model.geom.ModelPart$Vertex; (minecraft@1.20.1)
  50:        258839        6212136  java.util.ImmutableCollections$ListN (java.base@17.0.15)
  51:        147222        5888880  com.google.common.collect.RegularImmutableMap (com.google.common@31.1-jre)
  52:        105096        5885376  org.spongepowered.asm.mixin.transformer.ClassInfo$Method (org.spongepowered.mixin)
  53:        102980        5766880  org.objectweb.asm.Label (org.objectweb.asm@9.8)
  54:        142592        5703680  net.minecraft.client.renderer.block.model.BlockElementFace (minecraft@1.20.1)
  55:        227590        5462160  dev.emi.emi.jemi.impl.JemiIngredientAcceptor (emi@1.1.22+1.20.1+forge)
  56:        143758        5034120  [F (java.base@17.0.15)
  57:        206253        4950072  net.minecraft.nbt.ListTag (minecraft@1.20.1)
