281733:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       5396573      773086080  [B (java.base@17.0.15)
   2:       2471990      413492304  [I (java.base@17.0.15)
   3:       3967727      340029528  [Ljava.lang.Object; (java.base@17.0.15)
   4:       3611068      173331264  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   5:       4423464      141550848  java.util.HashMap$Node (java.base@17.0.15)
   6:       4649693      111592632  java.lang.String (java.base@17.0.15)
   7:       1964860       94313280  dev.emi.emi.api.stack.ItemEmiStack (emi@1.1.22+1.20.1+forge)
   8:       3125596       75014304  java.util.ArrayList (java.base@17.0.15)
   9:        589123       61268792  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
  10:        609846       58545216  net.minecraft.world.item.ItemStack (minecraft@1.20.1)
  11:        861172       55115008  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap (it.unimi.dsi.fastutil@8.5.9)
  12:        261048       52044176  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  13:       1000360       48017280  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  14:        973630       46734240  java.util.HashMap (java.base@17.0.15)
  15:       1219911       39037152  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  16:        925443       37017720  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  17:        100121       33218104  [J (java.base@17.0.15)
  18:        739402       29576080  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
  19:       1094481       26267544  org.joml.Vector3f (org.joml@1.10.5)
  20:        530384       25458432  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  21:        812768       19506432  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  22:        593489       18991648  malte0811.ferritecore.fastmap.immutable.FastMapEntryImmutableMap (ferritecore@6.0.1)
  23:        769105       18458520  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  24:        667676       16024224  net.minecraft.client.resources.model.ModelBakery$BakedCacheKey (minecraft@1.20.1)
  25:        135658       15786824  java.lang.Class (java.base@17.0.15)
  26:        323040       15505920  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  27:          1603       15421160  [C (java.base@17.0.15)
  28:        878351       14053616  net.minecraft.nbt.CompoundTag (minecraft@1.20.1)
  29:        559627       13431048  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
  30:        222193       12442808  dev.emi.emi.jemi.impl.JemiRecipeSlotBuilder (emi@1.1.22+1.20.1+forge)
  31:        513408       12321792  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex (citadel@2.6.3)
  32:        278559       11142360  net.minecraftforge.eventbus.ListenerList$ListenerListInst (net.minecraftforge.eventbus)
  33:        198573       11120088  net.minecraft.client.renderer.texture.SpriteContents (minecraft@1.20.1)
  34:        256385       10255400  it.unimi.dsi.fastutil.objects.Object2ObjectArrayMap (it.unimi.dsi.fastutil@8.5.9)
  35:        619586        9913376  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap$MapEntrySet (it.unimi.dsi.fastutil@8.5.9)
  36:        609845        9757520  net.minecraft.world.item.ItemStack$$Lambda$2526/0x0000000800d86470 (minecraft@1.20.1)
  37:        198572        9531456  net.minecraft.client.renderer.texture.TextureAtlasSprite (minecraft@1.20.1)
  38:        382875        9189000  com.google.common.collect.ImmutableMapEntry$NonTerminalImmutableMapEntry (com.google.common@31.1-jre)
  39:        282153        9028896  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.15)
