295125:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       5178565      716924952  [B (java.base@17.0.15)
   2:       2523768      374650160  [I (java.base@17.0.15)
   3:       3909848      334276064  [Ljava.lang.Object; (java.base@17.0.15)
   4:       3706273      177901104  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   5:       4512126      144388032  java.util.HashMap$Node (java.base@17.0.15)
   6:       4755271      114126504  java.lang.String (java.base@17.0.15)
   7:       1971828       94647744  dev.emi.emi.api.stack.ItemEmiStack (emi@1.1.22+1.20.1+forge)
   8:       3146398       75513552  java.util.ArrayList (java.base@17.0.15)
   9:        606418       63067472  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
  10:        601814       57774144  net.minecraft.world.item.ItemStack (minecraft@1.20.1)
  11:        820460       52509440  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap (it.unimi.dsi.fastutil@8.5.9)
  12:        265236       49891280  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  13:       1005666       48271968  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  14:        971127       46614096  java.util.HashMap (java.base@17.0.15)
  15:       1254703       40150496  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  16:       1103421       26482104  org.joml.Vector3f (org.joml@1.10.5)
  17:        545450       26181600  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  18:        604675       24187000  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  19:         63987       21146616  [J (java.base@17.0.15)
  20:        821504       19716096  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  21:        610634       19540288  malte0811.ferritecore.fastmap.immutable.FastMapEntryImmutableMap (ferritecore@6.0.1)
  22:        782092       18770208  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  23:        699885       16797240  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
  24:        415871       16634840  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
  25:        687799       16507176  net.minecraft.client.resources.model.ModelBakery$BakedCacheKey (minecraft@1.20.1)
  26:        137411       15990592  java.lang.Class (java.base@17.0.15)
  27:        326386       15666528  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  28:          1600       15363728  [C (java.base@17.0.15)
  29:        837687       13402992  net.minecraft.nbt.CompoundTag (minecraft@1.20.1)
  30:        224827       12590312  dev.emi.emi.jemi.impl.JemiRecipeSlotBuilder (emi@1.1.22+1.20.1+forge)
  31:        513408       12321792  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex (citadel@2.6.3)
  32:        199747       11185832  net.minecraft.client.renderer.texture.SpriteContents (minecraft@1.20.1)
  33:        278559       11142360  net.minecraftforge.eventbus.ListenerList$ListenerListInst (net.minecraftforge.eventbus)
  34:        261945       10477800  it.unimi.dsi.fastutil.objects.Object2ObjectArrayMap (it.unimi.dsi.fastutil@8.5.9)
  35:        601813        9629008  net.minecraft.world.item.ItemStack$$Lambda$2526/0x0000000800d935f8 (minecraft@1.20.1)
  36:        199746        9587808  net.minecraft.client.renderer.texture.TextureAtlasSprite (minecraft@1.20.1)
  37:        598091        9569456  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap$MapEntrySet (it.unimi.dsi.fastutil@8.5.9)
  38:        293841        9402912  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.15)
  39:        173980        9045560  [Lcom.google.common.collect.ImmutableMapEntry; (com.google.common@31.1-jre)
  40:        278560        8913920  java.util.concurrent.Semaphore$FairSync (java.base@17.0.15)
  41:        158694        8886864  net.minecraft.client.resources.model.SimpleBakedModel (minecraft@1.20.1)
  42:        158018        8849008  com.google.gson.internal.LinkedTreeMap (com.google.gson@2.10)
  43:        341284        8190816  java.util.ImmutableCollections$List12 (java.base@17.0.15)
  44:        202223        8061064  [Lcom.mojang.blaze3d.platform.NativeImage; (minecraft@1.20.1)
  45:        162977        7822896  net.minecraft.client.renderer.block.model.ItemTransforms (minecraft@1.20.1)
  46:        318108        7634592  it.unimi.dsi.fastutil.objects.ObjectArrayList (it.unimi.dsi.fastutil@8.5.9)
  47:        205376        6572032  [Lnet.minecraft.client.model.geom.ModelPart$Vertex; (minecraft@1.20.1)
  48:         97517        6524456  [D (java.base@17.0.15)
  49:        258991        6215784  java.util.ImmutableCollections$ListN (java.base@17.0.15)
  50:        255594        6134256  com.google.common.collect.ImmutableMapEntry$NonTerminalImmutableMapEntry (com.google.common@31.1-jre)
  51:        147731        5909240  com.google.common.collect.RegularImmutableMap (com.google.common@31.1-jre)
  52:        105112        5886272  org.spongepowered.asm.mixin.transformer.ClassInfo$Method (org.spongepowered.mixin)
  53:        102998        5767888  org.objectweb.asm.Label (org.objectweb.asm@9.8)
  54:        141418        5656720  net.minecraft.client.renderer.block.model.BlockElementFace (minecraft@1.20.1)
  55:        227605        5462520  dev.emi.emi.jemi.impl.JemiIngredientAcceptor (emi@1.1.22+1.20.1+forge)
  56:        142584        4996840  [F (java.base@17.0.15)
  57:        206217        4949208  net.minecraft.nbt.ListTag (minecraft@1.20.1)
  58:        103022        4945056  java.lang.invoke.MemberName (java.base@17.0.15)
  59:        205376        4929024  net.minecraft.client.model.geom.ModelPart$Polygon (minecraft@1.20.1)
  60:        101594        4876512  org.embeddedt.modernfix.render.font.CompactUnihexContents$Shorts (modernfix@5.27.12+mc1.20.1)
  61:        299374        4789984  java.util.concurrent.Semaphore (java.base@17.0.15)
  62:        114441        4577640  org.objectweb.asm.tree.VarInsnNode (org.objectweb.asm.tree@9.8)
  63:        114066        4562640  java.util.EnumMap (java.base@17.0.15)
  64:         19276        4506824  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@17.0.15)
  65:        278895        4462320  java.util.concurrent.atomic.AtomicReference (java.base@17.0.15)
  66:         49015        4313320  java.lang.reflect.Method (java.base@17.0.15)
  67:         59703        4298616  java.lang.reflect.Constructor (java.base@17.0.15)
  68:          2084        4284800  [Lcom.google.common.collect.HashBiMap$BiEntry; (com.google.common@31.1-jre)
  69:         76021        4257176  java.util.LinkedHashMap (java.base@17.0.15)
  70:        121645        4218176  [Ljava.util.Map$Entry; (java.base@17.0.15)
  71:         64490        4127360  java.lang.Class$ReflectionData (java.base@17.0.15)
  72:        128352        4107264  [Lcom.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex; (citadel@2.6.3)
  73:        253386        4054176  com.google.gson.JsonPrimitive (com.google.gson@2.10)
  74:         98579        3943160  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@17.0.15)
  75:        120786        3865152  net.minecraft.core.Holder$Reference (minecraft@1.20.1)
  76:         80402        3859296  net.fabricmc.fabric.impl.renderer.SpriteFinderImpl$Node (fabric_renderer_api_v1@3.2.2+cf68abbe77)
  77:         68889        3857784  org.objectweb.asm.tree.MethodInsnNode (org.objectweb.asm.tree@9.8)
  78:        155592        3734208  net.minecraft.world.phys.Vec2 (minecraft@1.20.1)
  79:         92761        3710440  org.objectweb.asm.tree.LabelNode (org.objectweb.asm.tree@9.8)
  80:         21345        3585960  com.github.alexthe666.citadel.client.model.AdvancedModelBox (citadel@2.6.3)
  81:        107098        3427136  org.spongepowered.asm.mixin.transformer.ClassInfo$FrameData (org.spongepowered.mixin)
  82:        141418        3394032  net.minecraft.client.renderer.block.model.BlockFaceUV (minecraft@1.20.1)
  83:        105607        3379424  org.objectweb.asm.Type (org.objectweb.asm@9.8)
  84:         80018        3358624  [Lnet.minecraft.world.item.ItemStack; (minecraft@1.20.1)
  85:         69016        3312768  org.objectweb.asm.tree.LineNumberNode (org.objectweb.asm.tree@9.8)
  86:        206147        3298352  net.minecraft.nbt.StringTag (minecraft@1.20.1)
  87:        199583        3193328  org.embeddedt.modernfix.resources.PackResourcesCacheEngine$Node (modernfix@5.27.12+mc1.20.1)
  88:          5744        3170688  com.github.benmanes.caffeine.cache.MpscGrowableArrayQueue (com.github.benmanes.caffeine@3.2.1)
  89:           328        3141096  [Lnet.minecraft.world.level.block.state.BlockState; (minecraft@1.20.1)
  90:        128352        3080448  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$TexturedQuad (citadel@2.6.3)
  91:         76407        3056280  net.minecraft.world.item.crafting.Ingredient (minecraft@1.20.1)
  92:         74654        2986160  org.embeddedt.modernfix.forge.recipe.IngredientItemStacksSoftReference (modernfix@5.27.12+mc1.20.1)
  93:         88356        2827392  net.minecraft.client.renderer.block.model.Variant (minecraft@1.20.1)
  94:         68984        2759360  java.lang.ref.SoftReference (java.base@17.0.15)
  95:        122190        2753024  [Ljava.lang.String; (java.base@17.0.15)
  96:         34236        2738880  me.jellysquid.mods.sodium.client.render.immediate.model.ModelCuboid (embeddium@0.3.31+mc1.20.1)
  97:        112990        2711760  net.minecraft.client.gui.font.providers.UnihexProvider$Glyph (minecraft@1.20.1)
  98:         56364        2705472  java.lang.invoke.MethodHandleImpl$CountingWrapper (java.base@17.0.15)
  99:         47599        2665544  net.minecraft.client.renderer.block.model.BlockModel (minecraft@1.20.1)
 100:         33254        2660320  net.minecraft.client.model.geom.ModelPart (minecraft@1.20.1)
 101:         44036        2466016  dev.emi.emi.jemi.JemiRecipe (emi@1.1.22+1.20.1+forge)
 102:         60528        2421120  org.objectweb.asm.tree.InsnNode (org.objectweb.asm.tree@9.8)
 103:        149652        2394432  com.google.gson.JsonObject (com.google.gson@2.10)
 104:         96261        2310264  it.unimi.dsi.fastutil.doubles.DoubleArrayList (it.unimi.dsi.fastutil@8.5.9)
 105:         30931        2227032  java.lang.reflect.Field (java.base@17.0.15)
