305405:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       5513671      780808056  [B (java.base@17.0.15)
   2:       2539283      376888312  [I (java.base@17.0.15)
   3:       3990529      341690064  [Ljava.lang.Object; (java.base@17.0.15)
   4:       3717365      178433520  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   5:       4514822      144474304  java.util.HashMap$Node (java.base@17.0.15)
   6:       4756547      114157128  java.lang.String (java.base@17.0.15)
   7:       2021370       97025760  dev.emi.emi.api.stack.ItemEmiStack (emi@1.1.22+1.20.1+forge)
   8:       3158466       75803184  java.util.ArrayList (java.base@17.0.15)
   9:        606234       63048336  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
  10:        620559       59573664  net.minecraft.world.item.ItemStack (minecraft@1.20.1)
  11:        859057       54979648  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap (it.unimi.dsi.fastutil@8.5.9)
  12:        265447       52513008  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  13:       1008909       48427632  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  14:        990563       47547024  java.util.HashMap (java.base@17.0.15)
  15:       1254479       40143328  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  16:        938509       37540360  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  17:        749408       29976320  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
  18:       1092138       26211312  org.joml.Vector3f (org.joml@1.10.5)
  19:        543579       26091792  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  20:        610602       19539264  malte0811.ferritecore.fastmap.immutable.FastMapEntryImmutableMap (ferritecore@6.0.1)
  21:         55975       19522224  [J (java.base@17.0.15)
  22:        802688       19264512  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  23:        785145       18843480  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  24:        687533       16500792  net.minecraft.client.resources.model.ModelBakery$BakedCacheKey (minecraft@1.20.1)
  25:        137614       16015112  java.lang.Class (java.base@17.0.15)
  26:        327100       15700800  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  27:          1604       15445656  [C (java.base@17.0.15)
  28:        603220       14477280  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
  29:        876302       14020832  net.minecraft.nbt.CompoundTag (minecraft@1.20.1)
  30:        224981       12598936  dev.emi.emi.jemi.impl.JemiRecipeSlotBuilder (emi@1.1.22+1.20.1+forge)
  31:        513408       12321792  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex (citadel@2.6.3)
  32:        200382       11221392  net.minecraft.client.renderer.texture.SpriteContents (minecraft@1.20.1)
  33:        280130       11205200  net.minecraftforge.eventbus.ListenerList$ListenerListInst (net.minecraftforge.eventbus)
  34:        260842       10433680  it.unimi.dsi.fastutil.objects.Object2ObjectArrayMap (it.unimi.dsi.fastutil@8.5.9)
  35:        620558        9928928  net.minecraft.world.item.ItemStack$$Lambda$2526/0x0000000800d8b380 (minecraft@1.20.1)
  36:        619338        9909408  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap$MapEntrySet (it.unimi.dsi.fastutil@8.5.9)
