309414:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       5525740      781362664  [B (java.base@17.0.15)
   2:       2546734      377924952  [I (java.base@17.0.15)
   3:       3996964      342238360  [Ljava.lang.Object; (java.base@17.0.15)
   4:       3730376      179058048  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   5:       4521292      144681344  java.util.HashMap$Node (java.base@17.0.15)
   6:       4768330      114439920  java.lang.String (java.base@17.0.15)
   7:       2025929       97244592  dev.emi.emi.api.stack.ItemEmiStack (emi@1.1.22+1.20.1+forge)
   8:       3159982       75839568  java.util.ArrayList (java.base@17.0.15)
   9:        607316       63160864  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
  10:        620917       59608032  net.minecraft.world.item.ItemStack (minecraft@1.20.1)
  11:        860522       55073408  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap (it.unimi.dsi.fastutil@8.5.9)
  12:        265719       52535784  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  13:       1009281       48445488  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  14:        991468       47590464  java.util.HashMap (java.base@17.0.15)
  15:       1256669       40213408  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  16:        938742       37549680  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  17:        749669       29986760  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
  18:       1104723       26513352  org.joml.Vector3f (org.joml@1.10.5)
  19:        546320       26223360  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  20:         60246       20267480  [J (java.base@17.0.15)
  21:        821504       19716096  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  22:        611691       19574112  malte0811.ferritecore.fastmap.immutable.FastMapEntryImmutableMap (ferritecore@6.0.1)
  23:        786452       18874848  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  24:        689010       16536240  net.minecraft.client.resources.model.ModelBakery$BakedCacheKey (minecraft@1.20.1)
  25:        137747       16030448  java.lang.Class (java.base@17.0.15)
  26:        327447       15717456  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  27:          1605       15429384  [C (java.base@17.0.15)
  28:        603091       14474184  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
  29:        877746       14043936  net.minecraft.nbt.CompoundTag (minecraft@1.20.1)
  30:        224939       12596584  dev.emi.emi.jemi.impl.JemiRecipeSlotBuilder (emi@1.1.22+1.20.1+forge)
  31:        513408       12321792  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex (citadel@2.6.3)
  32:        200456       11225536  net.minecraft.client.renderer.texture.SpriteContents (minecraft@1.20.1)
  33:        280130       11205200  net.minecraftforge.eventbus.ListenerList$ListenerListInst (net.minecraftforge.eventbus)
  34:        262644       10505760  it.unimi.dsi.fastutil.objects.Object2ObjectArrayMap (it.unimi.dsi.fastutil@8.5.9)
  35:        620916        9934656  net.minecraft.world.item.ItemStack$$Lambda$2526/0x0000000800d92138 (minecraft@1.20.1)
  36:        619473        9911568  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap$MapEntrySet (it.unimi.dsi.fastutil@8.5.9)
  37:        200455        9621840  net.minecraft.client.renderer.texture.TextureAtlasSprite (minecraft@1.20.1)
  38:        294534        9425088  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.15)
  39:        174624        9078904  [Lcom.google.common.collect.ImmutableMapEntry; (com.google.common@31.1-jre)
  40:        280131        8964192  java.util.concurrent.Semaphore$FairSync (java.base@17.0.15)
  41:        159476        8930656  net.minecraft.client.resources.model.SimpleBakedModel (minecraft@1.20.1)
  42:        158262        8862672  com.google.gson.internal.LinkedTreeMap (com.google.gson@2.10)
  43:        356336        8552064  com.google.common.collect.ImmutableMapEntry$NonTerminalImmutableMapEntry (com.google.common@31.1-jre)
  44:        342972        8231328  java.util.ImmutableCollections$List12 (java.base@17.0.15)
  45:        202946        8089984  [Lcom.mojang.blaze3d.platform.NativeImage; (minecraft@1.20.1)
  46:        163756        7860288  net.minecraft.client.renderer.block.model.ItemTransforms (minecraft@1.20.1)
  47:        318077        7633848  it.unimi.dsi.fastutil.objects.ObjectArrayList (it.unimi.dsi.fastutil@8.5.9)
  48:        205376        6572032  [Lnet.minecraft.client.model.geom.ModelPart$Vertex; (minecraft@1.20.1)
  49:         97514        6543928  [D (java.base@17.0.15)
  50:        260357        6248568  java.util.ImmutableCollections$ListN (java.base@17.0.15)
  51:        148370        5934800  com.google.common.collect.RegularImmutableMap (com.google.common@31.1-jre)
  52:        105112        5886272  org.spongepowered.asm.mixin.transformer.ClassInfo$Method (org.spongepowered.mixin)
  53:        102998        5767888  org.objectweb.asm.Label (org.objectweb.asm@9.8)
  54:        143107        5724280  net.minecraft.client.renderer.block.model.BlockElementFace (minecraft@1.20.1)
  55:        227713        5465112  dev.emi.emi.jemi.impl.JemiIngredientAcceptor (emi@1.1.22+1.20.1+forge)
  56:        144273        5051176  [F (java.base@17.0.15)
  57:        103229        4954992  java.lang.invoke.MemberName (java.base@17.0.15)
  58:        206188        4948512  net.minecraft.nbt.ListTag (minecraft@1.20.1)
  59:        205376        4929024  net.minecraft.client.model.geom.ModelPart$Polygon (minecraft@1.20.1)
  60:        101594        4876512  org.embeddedt.modernfix.render.font.CompactUnihexContents$Shorts (modernfix@5.27.12+mc1.20.1)
  61:        300945        4815120  java.util.concurrent.Semaphore (java.base@17.0.15)
  62:        114574        4582960  java.util.EnumMap (java.base@17.0.15)
  63:        114441        4577640  org.objectweb.asm.tree.VarInsnNode (org.objectweb.asm.tree@9.8)
  64:         19273        4512152  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@17.0.15)
  65:        280477        4487632  java.util.concurrent.atomic.AtomicReference (java.base@17.0.15)
  66:         49071        4318248  java.lang.reflect.Method (java.base@17.0.15)
  67:         59887        4311864  java.lang.reflect.Constructor (java.base@17.0.15)
  68:          2082        4284640  [Lcom.google.common.collect.HashBiMap$BiEntry; (com.google.common@31.1-jre)
  69:         76391        4277896  java.util.LinkedHashMap (java.base@17.0.15)
  70:        122279        4238712  [Ljava.util.Map$Entry; (java.base@17.0.15)
  71:         64687        4139968  java.lang.Class$ReflectionData (java.base@17.0.15)
  72:        128352        4107264  [Lcom.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex; (citadel@2.6.3)
  73:        253802        4060832  com.google.gson.JsonPrimitive (com.google.gson@2.10)
  74:         98586        3943440  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@17.0.15)
  75:         80828        3879744  net.fabricmc.fabric.impl.renderer.SpriteFinderImpl$Node (fabric_renderer_api_v1@3.2.2+cf68abbe77)
  76:        121196        3878272  net.minecraft.core.Holder$Reference (minecraft@1.20.1)
  77:         68889        3857784  org.objectweb.asm.tree.MethodInsnNode (org.objectweb.asm.tree@9.8)
  78:        155592        3734208  net.minecraft.world.phys.Vec2 (minecraft@1.20.1)
  79:         92761        3710440  org.objectweb.asm.tree.LabelNode (org.objectweb.asm.tree@9.8)
  80:         21345        3585960  com.github.alexthe666.citadel.client.model.AdvancedModelBox (citadel@2.6.3)
  81:         80167        3462848  [Lnet.minecraft.world.item.ItemStack; (minecraft@1.20.1)
  82:        143107        3434568  net.minecraft.client.renderer.block.model.BlockFaceUV (minecraft@1.20.1)
  83:        107098        3427136  org.spongepowered.asm.mixin.transformer.ClassInfo$FrameData (org.spongepowered.mixin)
  84:        105773        3384736  org.objectweb.asm.Type (org.objectweb.asm@9.8)
  85:         69016        3312768  org.objectweb.asm.tree.LineNumberNode (org.objectweb.asm.tree@9.8)
  86:        206229        3299664  net.minecraft.nbt.StringTag (minecraft@1.20.1)
  87:        201608        3225728  org.embeddedt.modernfix.resources.PackResourcesCacheEngine$Node (modernfix@5.27.12+mc1.20.1)
  88:          5744        3170688  com.github.benmanes.caffeine.cache.MpscGrowableArrayQueue (com.github.benmanes.caffeine@3.2.1)
  89:           328        3141096  [Lnet.minecraft.world.level.block.state.BlockState; (minecraft@1.20.1)
  90:        128352        3080448  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$TexturedQuad (citadel@2.6.3)
  91:         76575        3063000  net.minecraft.world.item.crafting.Ingredient (minecraft@1.20.1)
  92:         74806        2992240  org.embeddedt.modernfix.forge.recipe.IngredientItemStacksSoftReference (modernfix@5.27.12+mc1.20.1)
  93:         88530        2832960  net.minecraft.client.renderer.block.model.Variant (minecraft@1.20.1)
  94:         69168        2766720  java.lang.ref.SoftReference (java.base@17.0.15)
  95:        122427        2758584  [Ljava.lang.String; (java.base@17.0.15)
  96:         34236        2738880  me.jellysquid.mods.sodium.client.render.immediate.model.ModelCuboid (embeddium@0.3.31+mc1.20.1)
  97:        112990        2711760  net.minecraft.client.gui.font.providers.UnihexProvider$Glyph (minecraft@1.20.1)
  98:         56358        2705184  java.lang.invoke.MethodHandleImpl$CountingWrapper (java.base@17.0.15)
  99:         47847        2679432  net.minecraft.client.renderer.block.model.BlockModel (minecraft@1.20.1)
 100:         33254        2660320  net.minecraft.client.model.geom.ModelPart (minecraft@1.20.1)
 101:         44117        2470552  dev.emi.emi.jemi.JemiRecipe (emi@1.1.22+1.20.1+forge)
 102:         60528        2421120  org.objectweb.asm.tree.InsnNode (org.objectweb.asm.tree@9.8)
 103:        149896        2398336  com.google.gson.JsonObject (com.google.gson@2.10)
 104:         96255        2310120  it.unimi.dsi.fastutil.doubles.DoubleArrayList (it.unimi.dsi.fastutil@8.5.9)
 105:         30931        2227032  java.lang.reflect.Field (java.base@17.0.15)
 106:         45075        2163600  org.spongepowered.asm.mixin.transformer.ClassInfo$Field (org.spongepowered.mixin)
 107:         87754        2106096  net.minecraftforge.forgespi.language.ModFileScanData$ClassData (net.minecraftforge.forgespi@7.0.1)
 108:         43702        2097696  it.unimi.dsi.fastutil.objects.ObjectOpenHashSet (it.unimi.dsi.fastutil@8.5.9)
 109:          6205        2090896  [Lnet.minecraft.world.phys.shapes.VoxelShape; (minecraft@1.20.1)
 110:         49752        1990080  java.lang.invoke.MethodType (java.base@17.0.15)
 111:         81620        1958880  net.minecraft.client.resources.model.Material (minecraft@1.20.1)
 112:         78769        1955784  [Lnet.minecraft.world.item.crafting.Ingredient$Value; (minecraft@1.20.1)
 113:         40625        1950000  org.objectweb.asm.Frame (org.objectweb.asm@9.8)
 114:         81145        1947480  net.minecraftforge.registries.ForgeRegistry$OverrideOwner (forge@47.4.13)
 115:         59827        1914464  com.mojang.serialization.MapCodec$1 (datafixerupper@6.0.8)
 116:         47847        1913880  net.minecraftforge.client.model.geometry.BlockGeometryBakingContext (forge@47.4.13)
 117:         29511        1888704  java.util.concurrent.ConcurrentHashMap (java.base@17.0.15)
 118:         70502        1867608  [Ljava.lang.Class; (java.base@17.0.15)
 119:         58258        1864256  java.lang.invoke.BoundMethodHandle$Species_L (java.base@17.0.15)
 120:         57722        1847104  jdk.internal.reflect.NativeConstructorAccessorImpl (java.base@17.0.15)
 121:         74931        1798344  java.lang.invoke.ResolvedMethodName (java.base@17.0.15)
 122:        111806        1788896  java.lang.Object (java.base@17.0.15)
 123:         54798        1781264  [[I (java.base@17.0.15)
 124:         74024        1776576  cpw.mods.modlauncher.TransformerAuditTrail$TransformerActivity (cpw.mods.modlauncher@10.0.9)
 125:        109913        1758608  java.util.HashSet (java.base@17.0.15)
 126:         54530        1744960  java.lang.invoke.DirectMethodHandle (java.base@17.0.15)
 127:         34236        1643328  net.minecraft.client.model.geom.ModelPart$Cube (minecraft@1.20.1)
 128:         29342        1643152  net.minecraft.world.phys.shapes.BitSetDiscreteVoxelShape (minecraft@1.20.1)
 129:         33761        1620528  java.lang.invoke.BoundMethodHandle$Species_LLLL (java.base@17.0.15)
 130:         49926        1597632  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry (java.base@17.0.15)
 131:         98194        1571104  java.lang.Integer (java.base@17.0.15)
 132:         30915        1483920  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@17.0.15)
 133:         30854        1480992  org.objectweb.asm.tree.FieldInsnNode (org.objectweb.asm.tree@9.8)
 134:         30741        1475568  com.google.common.cache.LocalCache$StrongAccessEntry (com.google.common@31.1-jre)
 135:         45071        1442272  java.util.Hashtable$Entry (java.base@17.0.15)
 136:         29756        1428288  xfacthd.framedblocks.common.compat.emi.FramingSawEmiRecipe (framedblocks@9.4.3)
 137:         35148        1405920  org.objectweb.asm.tree.LocalVariableNode (org.objectweb.asm.tree@9.8)
 138:         58332        1400192  [Ljava.lang.reflect.Constructor; (java.base@17.0.15)
 139:         57648        1383552  software.bernie.geckolib.cache.object.GeoVertex (geckolib@4.8.3)
 140:         42828        1370496  com.google.common.collect.MapMakerInternalMap$StrongKeyWeakValueEntry (com.google.common@31.1-jre)
 141:         42828        1370496  com.google.common.collect.MapMakerInternalMap$WeakValueReferenceImpl (com.google.common@31.1-jre)
 142:         34236        1369312  [Lnet.minecraft.client.model.geom.ModelPart$Polygon; (minecraft@1.20.1)
 143:         56240        1349760  net.minecraft.util.random.WeightedEntry$Wrapper (minecraft@1.20.1)
 144:         84036        1344576  net.minecraft.client.renderer.block.model.MultiVariant (minecraft@1.20.1)
 145:         41863        1339616  org.openjdk.nashorn.internal.runtime.PropertyHashMap$Element (org.openjdk.nashorn)
 146:         55733        1337592  java.util.Collections$UnmodifiableRandomAccessList (java.base@17.0.15)
 147:         83565        1337040  com.google.gson.internal.LazilyParsedNumber (com.google.gson@2.10)
 148:          5744        1332608  com.github.benmanes.caffeine.cache.SSA (com.github.benmanes.caffeine@3.2.1)
 149:         23706        1327536  org.openjdk.nashorn.internal.runtime.ScriptFunction (org.openjdk.nashorn)
 150:         31989        1279560  org.openjdk.nashorn.internal.runtime.CompiledFunction (org.openjdk.nashorn)
 151:         52587        1262088  java.util.Collections$SynchronizedRandomAccessList (java.base@17.0.15)
 152:         39267        1256544  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@17.0.15)
 153:         78400        1254400  net.minecraft.world.item.crafting.Ingredient$ItemValue (minecraft@1.20.1)
 154:         52224        1253376  dev.emi.emi.jemi.impl.JemiRecipeSlot$IngredientRenderer (emi@1.1.22+1.20.1+forge)
 155:         31095        1243800  net.minecraft.client.renderer.block.model.BlockElement (minecraft@1.20.1)
 156:         29755        1190200  dev.emi.emi.api.stack.FluidEmiStack (emi@1.1.22+1.20.1+forge)
 157:         37159        1189088  it.unimi.dsi.fastutil.objects.Object2IntRBTreeMap$Entry (it.unimi.dsi.fastutil@8.5.9)
 158:          9214        1179392  org.spongepowered.asm.mixin.transformer.MixinInfo$MixinMethodNode (org.spongepowered.mixin)
 159:         36824        1178368  java.util.LinkedList (java.base@17.0.15)
 160:         71641        1146256  com.mojang.datafixers.util.Either$Left (datafixerupper@6.0.8)
 161:          7920        1140480  me.jellysquid.mods.sodium.client.render.chunk.RenderSection (embeddium@0.3.31+mc1.20.1)
 162:           545        1129240  [Lnet.minecraftforge.eventbus.ListenerList$ListenerListInst; (net.minecraftforge.eventbus)
 163:         10762        1119248  net.minecraft.world.level.block.state.BlockBehaviour$Properties (minecraft@1.20.1)
 164:         34877        1116064  net.minecraftforge.common.util.LazyOptional (forge@47.4.13)
 165:         46321        1111704  net.p3pp3rf1y.sophisticatedstorage.client.render.BarrelDynamicModelBase$BarrelModelPartDefinition (sophisticatedstorage@1.4.39.1666)
 166:         46252        1110048  net.minecraft.core.NonNullList (minecraft@1.20.1)
 167:         34070        1090240  java.util.Collections$UnmodifiableMap (java.base@17.0.15)
 168:         45242        1085808  dev.emi.emi.jemi.impl.JemiRecipeSlot$OffsetDrawable (emi@1.1.22+1.20.1+forge)
 169:         44117        1058808  dev.emi.emi.jemi.impl.JemiRecipeLayoutBuilder (emi@1.1.22+1.20.1+forge)
 170:         32809        1049888  net.minecraft.network.chat.MutableComponent (minecraft@1.20.1)
 171:         32572        1042304  net.minecraft.world.phys.shapes.ArrayVoxelShape (minecraft@1.20.1)
 172:         18105        1013880  net.minecraft.network.chat.Style (minecraft@1.20.1)
 173:         41843        1004232  net.minecraft.resources.ResourceKey (minecraft@1.20.1)
 174:         41843        1004232  net.minecraft.resources.ResourceKey$InternKey (minecraft@1.20.1)
 175:         24919         996760  java.util.TreeMap$Entry (java.base@17.0.15)
 176:         39921         958104  org.objectweb.asm.Edge (org.objectweb.asm@9.8)
