313373:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       5506713      779599520  [B (java.base@17.0.15)
   2:       2536532      376491632  [I (java.base@17.0.15)
   3:       3995209      342246888  [Ljava.lang.Object; (java.base@17.0.15)
   4:       3693360      177281280  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   5:       4507776      144248832  java.util.HashMap$Node (java.base@17.0.15)
   6:       4750776      114018624  java.lang.String (java.base@17.0.15)
   7:       2001921       96092208  dev.emi.emi.api.stack.ItemEmiStack (emi@1.1.22+1.20.1+forge)
   8:       3154699       75712776  java.util.ArrayList (java.base@17.0.15)
   9:        605014       62921456  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
  10:        616144       59149824  net.minecraft.world.item.ItemStack (minecraft@1.20.1)
  11:        862130       55176320  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap (it.unimi.dsi.fastutil@8.5.9)
  12:        265152       52477288  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  13:       1007886       48378528  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  14:        985843       47320464  java.util.HashMap (java.base@17.0.15)
  15:       1252009       40064288  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  16:        937344       37493760  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  17:        748541       29941640  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
  18:       1102797       26467128  org.joml.Vector3f (org.joml@1.10.5)
  19:        542591       26044368  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  20:        821504       19716096  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  21:         55806       19575592  [J (java.base@17.0.15)
  22:        609384       19500288  malte0811.ferritecore.fastmap.immutable.FastMapEntryImmutableMap (ferritecore@6.0.1)
  23:        783780       18810720  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  24:        686026       16464624  net.minecraft.client.resources.model.ModelBakery$BakedCacheKey (minecraft@1.20.1)
  25:        137564       16008200  java.lang.Class (java.base@17.0.15)
  26:        327039       15697872  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  27:          1598       15363600  [C (java.base@17.0.15)
  28:        879364       14069824  net.minecraft.nbt.CompoundTag (minecraft@1.20.1)
  29:        579620       13910880  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
