321523:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       5535387      782083640  [B (java.base@17.0.15)
   2:       2562081      380262304  [I (java.base@17.0.15)
   3:       4008097      343583656  [Ljava.lang.Object; (java.base@17.0.15)
   4:       3747048      179858304  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   5:       4526062      144833984  java.util.HashMap$Node (java.base@17.0.15)
   6:       4776155      114627720  java.lang.String (java.base@17.0.15)
   7:       2036448       97749504  dev.emi.emi.api.stack.ItemEmiStack (emi@1.1.22+1.20.1+forge)
   8:       3162663       75903912  java.util.ArrayList (java.base@17.0.15)
   9:        607542       63184368  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
  10:        625422       60040512  net.minecraft.world.item.ItemStack (minecraft@1.20.1)
  11:        864017       55297088  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap (it.unimi.dsi.fastutil@8.5.9)
  12:        266143       52588672  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  13:       1012466       48598368  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  14:        996718       47842464  java.util.HashMap (java.base@17.0.15)
  15:       1257309       40233888  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  16:        940833       37633320  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  17:        751649       30065960  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
  18:       1105259       26526216  org.joml.Vector3f (org.joml@1.10.5)
  19:        547137       26262576  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  20:         60232       20343064  [J (java.base@17.0.15)
  21:        821504       19716096  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  22:        611902       19580864  malte0811.ferritecore.fastmap.immutable.FastMapEntryImmutableMap (ferritecore@6.0.1)
  23:        788826       18931824  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  24:        705737       16937688  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
  25:        689412       16545888  net.minecraft.client.resources.model.ModelBakery$BakedCacheKey (minecraft@1.20.1)
  26:        138042       16064456  java.lang.Class (java.base@17.0.15)
  27:        328410       15763680  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  28:          1603       15408872  [C (java.base@17.0.15)
  29:        881228       14099648  net.minecraft.nbt.CompoundTag (minecraft@1.20.1)
  30:        225753       12642168  dev.emi.emi.jemi.impl.JemiRecipeSlotBuilder (emi@1.1.22+1.20.1+forge)
  31:        513408       12321792  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex (citadel@2.6.3)
  32:        201093       11261208  net.minecraft.client.renderer.texture.SpriteContents (minecraft@1.20.1)
  33:        280130       11205200  net.minecraftforge.eventbus.ListenerList$ListenerListInst (net.minecraftforge.eventbus)
  34:        262916       10516640  it.unimi.dsi.fastutil.objects.Object2ObjectArrayMap (it.unimi.dsi.fastutil@8.5.9)
  35:        625421       10006736  net.minecraft.world.item.ItemStack$$Lambda$2526/0x0000000800d8de18 (minecraft@1.20.1)
  36:        621173        9938768  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap$MapEntrySet (it.unimi.dsi.fastutil@8.5.9)
  37:        201092        9652416  net.minecraft.client.renderer.texture.TextureAtlasSprite (minecraft@1.20.1)
  38:        294604        9427328  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.15)
  39:        175213        9098592  [Lcom.google.common.collect.ImmutableMapEntry; (com.google.common@31.1-jre)
  40:        160261        8974616  net.minecraft.client.resources.model.SimpleBakedModel (minecraft@1.20.1)
  41:        280131        8964192  java.util.concurrent.Semaphore$FairSync (java.base@17.0.15)
  42:        158520        8877120  com.google.gson.internal.LinkedTreeMap (com.google.gson@2.10)
  43:        343265        8238360  java.util.ImmutableCollections$List12 (java.base@17.0.15)
  44:        203583        8115464  [Lcom.mojang.blaze3d.platform.NativeImage; (minecraft@1.20.1)
  45:        164553        7898544  net.minecraft.client.renderer.block.model.ItemTransforms (minecraft@1.20.1)
  46:        318232        7637568  it.unimi.dsi.fastutil.objects.ObjectArrayList (it.unimi.dsi.fastutil@8.5.9)
  47:        205376        6572032  [Lnet.minecraft.client.model.geom.ModelPart$Vertex; (minecraft@1.20.1)
  48:         97523        6537624  [D (java.base@17.0.15)
  49:        261674        6280176  java.util.ImmutableCollections$ListN (java.base@17.0.15)
  50:        256373        6152952  com.google.common.collect.ImmutableMapEntry$NonTerminalImmutableMapEntry (com.google.common@31.1-jre)
  51:        148959        5958360  com.google.common.collect.RegularImmutableMap (com.google.common@31.1-jre)
  52:        105112        5886272  org.spongepowered.asm.mixin.transformer.ClassInfo$Method (org.spongepowered.mixin)
