329486:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       5203201      718473288  [B (java.base@17.0.15)
   2:       2555610      379322400  [I (java.base@17.0.15)
   3:       4004270      343225880  [Ljava.lang.Object; (java.base@17.0.15)
   4:       3739940      179517120  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   5:       4543461      145390752  java.util.HashMap$Node (java.base@17.0.15)
   6:       4777316      114655584  java.lang.String (java.base@17.0.15)
   7:       2034093       97636464  dev.emi.emi.api.stack.ItemEmiStack (emi@1.1.22+1.20.1+forge)
   8:       3164320       75943680  java.util.ArrayList (java.base@17.0.15)
   9:        607483       63178232  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
  10:        623114       59818944  net.minecraft.world.item.ItemStack (minecraft@1.20.1)
  11:        862652       55209728  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap (it.unimi.dsi.fastutil@8.5.9)
  12:        265577       50126920  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  13:       1011531       48553488  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  14:        993361       47681328  java.util.HashMap (java.base@17.0.15)
  15:       1257138       40228416  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  16:       1104307       26503368  org.joml.Vector3f (org.joml@1.10.5)
  17:        546912       26251776  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  18:        608461       24338440  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  19:         59884       20402112  [J (java.base@17.0.15)
  20:        821504       19716096  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  21:        611838       19578816  malte0811.ferritecore.fastmap.immutable.FastMapEntryImmutableMap (ferritecore@6.0.1)
  22:        788085       18914040  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  23:        706344       16952256  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
  24:        418826       16753040  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
  25:        689290       16542960  net.minecraft.client.resources.model.ModelBakery$BakedCacheKey (minecraft@1.20.1)
  26:        137919       16050560  java.lang.Class (java.base@17.0.15)
  27:        328138       15750624  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  28:          1601       15388224  [C (java.base@17.0.15)
  29:        879882       14078112  net.minecraft.nbt.CompoundTag (minecraft@1.20.1)
  30:        225497       12627832  dev.emi.emi.jemi.impl.JemiRecipeSlotBuilder (emi@1.1.22+1.20.1+forge)
  31:        513408       12321792  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex (citadel@2.6.3)
  32:        200906       11250736  net.minecraft.client.renderer.texture.SpriteContents (minecraft@1.20.1)
  33:        280644       11225760  net.minecraftforge.eventbus.ListenerList$ListenerListInst (net.minecraftforge.eventbus)
  34:        262794       10511760  it.unimi.dsi.fastutil.objects.Object2ObjectArrayMap (it.unimi.dsi.fastutil@8.5.9)
  35:        623113        9969808  net.minecraft.world.item.ItemStack$$Lambda$2526/0x0000000800d91438 (minecraft@1.20.1)
  36:        620848        9933568  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap$MapEntrySet (it.unimi.dsi.fastutil@8.5.9)
  37:        200905        9643440  net.minecraft.client.renderer.texture.TextureAtlasSprite (minecraft@1.20.1)
  38:        294663        9429216  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.15)
  39:        175062        9093392  [Lcom.google.common.collect.ImmutableMapEntry; (com.google.common@31.1-jre)
  40:        280645        8980640  java.util.concurrent.Semaphore$FairSync (java.base@17.0.15)
  41:        160037        8962072  net.minecraft.client.resources.model.SimpleBakedModel (minecraft@1.20.1)
  42:        158449        8873144  com.google.gson.internal.LinkedTreeMap (com.google.gson@2.10)
  43:        342897        8229528  java.util.ImmutableCollections$List12 (java.base@17.0.15)
  44:        203396        8107984  [Lcom.mojang.blaze3d.platform.NativeImage; (minecraft@1.20.1)
  45:        164323        7887504  net.minecraft.client.renderer.block.model.ItemTransforms (minecraft@1.20.1)
  46:        318181        7636344  it.unimi.dsi.fastutil.objects.ObjectArrayList (it.unimi.dsi.fastutil@8.5.9)
  47:        205376        6572032  [Lnet.minecraft.client.model.geom.ModelPart$Vertex; (minecraft@1.20.1)
  48:         97481        6534088  [D (java.base@17.0.15)
  49:        261293        6271032  java.util.ImmutableCollections$ListN (java.base@17.0.15)
  50:        255018        6120432  com.google.common.collect.ImmutableMapEntry$NonTerminalImmutableMapEntry (com.google.common@31.1-jre)
  51:        148808        5952320  com.google.common.collect.RegularImmutableMap (com.google.common@31.1-jre)
  52:        105112        5886272  org.spongepowered.asm.mixin.transformer.ClassInfo$Method (org.spongepowered.mixin)
  53:        102998        5767888  org.objectweb.asm.Label (org.objectweb.asm@9.8)
  54:        143204        5728160  net.minecraft.client.renderer.block.model.BlockElementFace (minecraft@1.20.1)
  55:        228275        5478600  dev.emi.emi.jemi.impl.JemiIngredientAcceptor (emi@1.1.22+1.20.1+forge)
  56:        144368        5053936  [F (java.base@17.0.15)
  57:        103368        4961664  java.lang.invoke.MemberName (java.base@17.0.15)
  58:        206292        4951008  net.minecraft.nbt.ListTag (minecraft@1.20.1)
  59:        205376        4929024  net.minecraft.client.model.geom.ModelPart$Polygon (minecraft@1.20.1)
  60:        101594        4876512  org.embeddedt.modernfix.render.font.CompactUnihexContents$Shorts (modernfix@5.27.12+mc1.20.1)
  61:        301459        4823344  java.util.concurrent.Semaphore (java.base@17.0.15)
  62:        114597        4583880  java.util.EnumMap (java.base@17.0.15)
  63:        114441        4577640  org.objectweb.asm.tree.VarInsnNode (org.objectweb.asm.tree@9.8)
  64:         19348        4515448  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@17.0.15)
  65:        280897        4494352  java.util.concurrent.atomic.AtomicReference (java.base@17.0.15)
  66:         60041        4322952  java.lang.reflect.Constructor (java.base@17.0.15)
  67:         49064        4317632  java.lang.reflect.Method (java.base@17.0.15)
  68:          2084        4284800  [Lcom.google.common.collect.HashBiMap$BiEntry; (com.google.common@31.1-jre)
  69:         76021        4257176  java.util.LinkedHashMap (java.base@17.0.15)
  70:        122716        4253016  [Ljava.util.Map$Entry; (java.base@17.0.15)
  71:         64839        4149696  java.lang.Class$ReflectionData (java.base@17.0.15)
