337514:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       5190538      717211712  [B (java.base@17.0.15)
   2:       2554766      379170080  [I (java.base@17.0.15)
   3:       3991109      341948952  [Ljava.lang.Object; (java.base@17.0.15)
   4:       3730442      179061216  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   5:       4521565      144690080  java.util.HashMap$Node (java.base@17.0.15)
   6:       4764976      114359424  java.lang.String (java.base@17.0.15)
   7:       2032555       97562640  dev.emi.emi.api.stack.ItemEmiStack (emi@1.1.22+1.20.1+forge)
   8:       3154885       75717240  java.util.ArrayList (java.base@17.0.15)
   9:        607288       63157952  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
  10:        623665       59871840  net.minecraft.world.item.ItemStack (minecraft@1.20.1)
  11:        859453       55004992  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap (it.unimi.dsi.fastutil@8.5.9)
  12:        265602       49958488  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  13:       1011275       48541200  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  14:        993568       47691264  java.util.HashMap (java.base@17.0.15)
  15:       1256701       40214432  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  16:       1104557       26509368  org.joml.Vector3f (org.joml@1.10.5)
  17:        546311       26222928  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  18:        607895       24315800  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  19:         55780       19791032  [J (java.base@17.0.15)
  20:        821504       19716096  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  21:        611121       19555872  malte0811.ferritecore.fastmap.immutable.FastMapEntryImmutableMap (ferritecore@6.0.1)
  22:        786207       18868968  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  23:        717566       17221584  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
  24:        418485       16739400  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
  25:        688960       16535040  net.minecraft.client.resources.model.ModelBakery$BakedCacheKey (minecraft@1.20.1)
  26:        137633       16017240  java.lang.Class (java.base@17.0.15)
