342099:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       5194296      718234360  [B (java.base@17.0.15)
   2:       2556273      379447016  [I (java.base@17.0.15)
   3:       4004528      343322600  [Ljava.lang.Object; (java.base@17.0.15)
   4:       3740664      179551872  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   5:       4523451      144750432  java.util.HashMap$Node (java.base@17.0.15)
   6:       4768384      114441216  java.lang.String (java.base@17.0.15)
   7:       2035213       97690224  dev.emi.emi.api.stack.ItemEmiStack (emi@1.1.22+1.20.1+forge)
   8:       3162019       75888456  java.util.ArrayList (java.base@17.0.15)
   9:        607522       63182288  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
  10:        623736       59878656  net.minecraft.world.item.ItemStack (minecraft@1.20.1)
  11:        862654       55209856  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap (it.unimi.dsi.fastutil@8.5.9)
  12:        264776       49919000  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  13:       1011691       48561168  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  14:        993269       47676912  java.util.HashMap (java.base@17.0.15)
  15:       1257225       40231200  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  16:       1104613       26510712  org.joml.Vector3f (org.joml@1.10.5)
  17:        547059       26258832  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  18:        608715       24348600  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  19:         63968       21345576  [J (java.base@17.0.15)
  20:        821504       19716096  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  21:        611882       19580224  malte0811.ferritecore.fastmap.immutable.FastMapEntryImmutableMap (ferritecore@6.0.1)
  22:        788520       18924480  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  23:        419009       16760360  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
  24:        689372       16544928  net.minecraft.client.resources.model.ModelBakery$BakedCacheKey (minecraft@1.20.1)
  25:        137526       16004728  java.lang.Class (java.base@17.0.15)
  26:        328258       15756384  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  27:          1600       15294176  [C (java.base@17.0.15)
  28:        879886       14078176  net.minecraft.nbt.CompoundTag (minecraft@1.20.1)
  29:        579484       13907616  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
  30:        225690       12638640  dev.emi.emi.jemi.impl.JemiRecipeSlotBuilder (emi@1.1.22+1.20.1+forge)
  31:        513408       12321792  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex (citadel@2.6.3)
  32:        200938       11252528  net.minecraft.client.renderer.texture.SpriteContents (minecraft@1.20.1)
  33:        280130       11205200  net.minecraftforge.eventbus.ListenerList$ListenerListInst (net.minecraftforge.eventbus)
  34:        262905       10516200  it.unimi.dsi.fastutil.objects.Object2ObjectArrayMap (it.unimi.dsi.fastutil@8.5.9)
  35:        623735        9979760  net.minecraft.world.item.ItemStack$$Lambda$2526/0x0000000800d96df0 (minecraft@1.20.1)
  36:        620567        9929072  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap$MapEntrySet (it.unimi.dsi.fastutil@8.5.9)
  37:        200937        9644976  net.minecraft.client.renderer.texture.TextureAtlasSprite (minecraft@1.20.1)
  38:        382022        9168528  com.google.common.collect.ImmutableMapEntry$NonTerminalImmutableMapEntry (com.google.common@31.1-jre)
  39:        285240        9127680  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.15)
  40:        175089        9094336  [Lcom.google.common.collect.ImmutableMapEntry; (com.google.common@31.1-jre)
  41:        160087        8964872  net.minecraft.client.resources.model.SimpleBakedModel (minecraft@1.20.1)
  42:        280131        8964192  java.util.concurrent.Semaphore$FairSync (java.base@17.0.15)
  43:        158498        8875888  com.google.gson.internal.LinkedTreeMap (com.google.gson@2.10)
  44:        343051        8233224  java.util.ImmutableCollections$List12 (java.base@17.0.15)
  45:        203428        8109264  [Lcom.mojang.blaze3d.platform.NativeImage; (minecraft@1.20.1)
  46:        164379        7890192  net.minecraft.client.renderer.block.model.ItemTransforms (minecraft@1.20.1)
  47:        318271        7638504  it.unimi.dsi.fastutil.objects.ObjectArrayList (it.unimi.dsi.fastutil@8.5.9)
  48:        205376        6572032  [Lnet.minecraft.client.model.geom.ModelPart$Vertex; (minecraft@1.20.1)
  49:         97484        6540224  [D (java.base@17.0.15)
  50:        261450        6274800  java.util.ImmutableCollections$ListN (java.base@17.0.15)
  51:        148835        5953400  com.google.common.collect.RegularImmutableMap (com.google.common@31.1-jre)
  52:        105112        5886272  org.spongepowered.asm.mixin.transformer.ClassInfo$Method (org.spongepowered.mixin)
  53:        102998        5767888  org.objectweb.asm.Label (org.objectweb.asm@9.8)
  54:        142968        5718720  net.minecraft.client.renderer.block.model.BlockElementFace (minecraft@1.20.1)
  55:        228469        5483256  dev.emi.emi.jemi.impl.JemiIngredientAcceptor (emi@1.1.22+1.20.1+forge)
  56:        144134        5046728  [F (java.base@17.0.15)
  57:        103358        4961184  java.lang.invoke.MemberName (java.base@17.0.15)
  58:        206382        4953168  net.minecraft.nbt.ListTag (minecraft@1.20.1)
  59:        205376        4929024  net.minecraft.client.model.geom.ModelPart$Polygon (minecraft@1.20.1)
  60:        101594        4876512  org.embeddedt.modernfix.render.font.CompactUnihexContents$Shorts (modernfix@5.27.12+mc1.20.1)
  61:        300945        4815120  java.util.concurrent.Semaphore (java.base@17.0.15)
  62:        114605        4584200  java.util.EnumMap (java.base@17.0.15)
  63:        114441        4577640  org.objectweb.asm.tree.VarInsnNode (org.objectweb.asm.tree@9.8)
  64:        280383        4486128  java.util.concurrent.atomic.AtomicReference (java.base@17.0.15)
  65:         19342        4414504  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@17.0.15)
  66:         60021        4321512  java.lang.reflect.Constructor (java.base@17.0.15)
  67:         49041        4315608  java.lang.reflect.Method (java.base@17.0.15)
  68:          2084        4284800  [Lcom.google.common.collect.HashBiMap$BiEntry; (com.google.common@31.1-jre)
  69:         76056        4259136  java.util.LinkedHashMap (java.base@17.0.15)
  70:        122744        4254024  [Ljava.util.Map$Entry; (java.base@17.0.15)
