347529:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       5190864      717655880  [B (java.base@17.0.15)
   2:       2543960      377553032  [I (java.base@17.0.15)
   3:       3970910      339764568  [Ljava.lang.Object; (java.base@17.0.15)
   4:       3722884      178698432  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   5:       4521318      144682176  java.util.HashMap$Node (java.base@17.0.15)
   6:       4765371      114368904  java.lang.String (java.base@17.0.15)
   7:       2023836       97144128  dev.emi.emi.api.stack.ItemEmiStack (emi@1.1.22+1.20.1+forge)
   8:       3158802       75811248  java.util.ArrayList (java.base@17.0.15)
   9:        607298       63158992  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
  10:        618953       59419488  net.minecraft.world.item.ItemStack (minecraft@1.20.1)
  11:        849333       54357312  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap (it.unimi.dsi.fastutil@8.5.9)
  12:        265348       49955312  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  13:       1009271       48445008  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  14:        988787       47461776  java.util.HashMap (java.base@17.0.15)
  15:       1256651       40212832  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  16:       1103760       26490240  org.joml.Vector3f (org.joml@1.10.5)
  17:        546168       26216064  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  18:        607563       24302520  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  19:         59878       20213432  [J (java.base@17.0.15)
  20:        821504       19716096  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  21:        611672       19573504  malte0811.ferritecore.fastmap.immutable.FastMapEntryImmutableMap (ferritecore@6.0.1)
  22:        807670       19384080  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
  23:        786279       18870696  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  24:        418110       16724400  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
  25:        688869       16532856  net.minecraft.client.resources.model.ModelBakery$BakedCacheKey (minecraft@1.20.1)
  26:        137755       16031448  java.lang.Class (java.base@17.0.15)
  27:        327522       15721056  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  28:          1601       15363784  [C (java.base@17.0.15)
  29:        866570       13865120  net.minecraft.nbt.CompoundTag (minecraft@1.20.1)
  30:        224865       12592440  dev.emi.emi.jemi.impl.JemiRecipeSlotBuilder (emi@1.1.22+1.20.1+forge)
  31:        513408       12321792  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex (citadel@2.6.3)
  32:        200454       11225424  net.minecraft.client.renderer.texture.SpriteContents (minecraft@1.20.1)
  33:        280130       11205200  net.minecraftforge.eventbus.ListenerList$ListenerListInst (net.minecraftforge.eventbus)
  34:        262658       10506320  it.unimi.dsi.fastutil.objects.Object2ObjectArrayMap (it.unimi.dsi.fastutil@8.5.9)
  35:        618952        9903232  net.minecraft.world.item.ItemStack$$Lambda$2526/0x0000000800d92138 (minecraft@1.20.1)
  36:        612348        9797568  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap$MapEntrySet (it.unimi.dsi.fastutil@8.5.9)
  37:        200453        9621744  net.minecraft.client.renderer.texture.TextureAtlasSprite (minecraft@1.20.1)
  38:        294638        9428416  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.15)
  39:        174692        9081120  [Lcom.google.common.collect.ImmutableMapEntry; (com.google.common@31.1-jre)
  40:        280131        8964192  java.util.concurrent.Semaphore$FairSync (java.base@17.0.15)
  41:        159423        8927688  net.minecraft.client.resources.model.SimpleBakedModel (minecraft@1.20.1)
  42:        158224        8860544  com.google.gson.internal.LinkedTreeMap (com.google.gson@2.10)
  43:        343016        8232384  java.util.ImmutableCollections$List12 (java.base@17.0.15)
  44:        202944        8089904  [Lcom.mojang.blaze3d.platform.NativeImage; (minecraft@1.20.1)
  45:        163715        7858320  net.minecraft.client.renderer.block.model.ItemTransforms (minecraft@1.20.1)
  46:        314919        7558056  it.unimi.dsi.fastutil.objects.ObjectArrayList (it.unimi.dsi.fastutil@8.5.9)
  47:        205376        6572032  [Lnet.minecraft.client.model.geom.ModelPart$Vertex; (minecraft@1.20.1)
  48:         97484        6539808  [D (java.base@17.0.15)
