351755:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       5200194      717499184  [B (java.base@17.0.15)
   2:       2561490      379999608  [I (java.base@17.0.15)
   3:       4006268      343242256  [Ljava.lang.Object; (java.base@17.0.15)
   4:       3747048      179858304  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   5:       4523338      144746816  java.util.HashMap$Node (java.base@17.0.15)
   6:       4774320      114583680  java.lang.String (java.base@17.0.15)
   7:       2032742       97571616  dev.emi.emi.api.stack.ItemEmiStack (emi@1.1.22+1.20.1+forge)
   8:       3158269       75798456  java.util.ArrayList (java.base@17.0.15)
   9:        607542       63184368  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
  10:        625763       60073248  net.minecraft.world.item.ItemStack (minecraft@1.20.1)
  11:        863972       55294208  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap (it.unimi.dsi.fastutil@8.5.9)
  12:        265112       49938808  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  13:       1012466       48598368  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  14:        995294       47774112  java.util.HashMap (java.base@17.0.15)
  15:       1257309       40233888  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  16:       1104790       26514960  org.joml.Vector3f (org.joml@1.10.5)
  17:        547115       26261520  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  18:        608524       24340960  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  19:        821504       19716096  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  20:        611902       19580864  malte0811.ferritecore.fastmap.immutable.FastMapEntryImmutableMap (ferritecore@6.0.1)
  21:         55790       19525784  [J (java.base@17.0.15)
  22:        788901       18933624  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  23:        418850       16754000  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
