367115:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       5197220      714832744  [B (java.base@17.0.15)
   2:       2557537      379616040  [I (java.base@17.0.15)
   3:       3987636      341637080  [Ljava.lang.Object; (java.base@17.0.15)
   4:       3742802      179654496  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   5:       4525314      144810048  java.util.HashMap$Node (java.base@17.0.15)
   6:       4772437      114538488  java.lang.String (java.base@17.0.15)
   7:       2034888       97674624  dev.emi.emi.api.stack.ItemEmiStack (emi@1.1.22+1.20.1+forge)
   8:       3157087       75770088  java.util.ArrayList (java.base@17.0.15)
   9:        607542       63184368  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
  10:        622803       59789088  net.minecraft.world.item.ItemStack (minecraft@1.20.1)
  11:        856277       54801728  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap (it.unimi.dsi.fastutil@8.5.9)
  12:        265576       49978040  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  13:       1011886       48570528  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  14:        993294       47678112  java.util.HashMap (java.base@17.0.15)
  15:       1257277       40232864  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  16:       1105071       26521704  org.joml.Vector3f (org.joml@1.10.5)
  17:        547137       26262576  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  18:        607193       24287720  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  19:         59852       20204704  [J (java.base@17.0.15)
  20:        821504       19716096  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  21:        611902       19580864  malte0811.ferritecore.fastmap.immutable.FastMapEntryImmutableMap (ferritecore@6.0.1)
  22:        812117       19490808  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
  23:        788399       18921576  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  24:        417804       16712160  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
  25:        689412       16545888  net.minecraft.client.resources.model.ModelBakery$BakedCacheKey (minecraft@1.20.1)
  26:        137749       16031368  java.lang.Class (java.base@17.0.15)
