379889:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       5195369      717519336  [B (java.base@17.0.15)
   2:       2560362      380031648  [I (java.base@17.0.15)
   3:       4005521      343274752  [Ljava.lang.Object; (java.base@17.0.15)
   4:       3744529      179737392  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   5:       4523260      144744320  java.util.HashMap$Node (java.base@17.0.15)
   6:       4769614      114470736  java.lang.String (java.base@17.0.15)
   7:       2036164       97735872  dev.emi.emi.api.stack.ItemEmiStack (emi@1.1.22+1.20.1+forge)
   8:       3161204       75868896  java.util.ArrayList (java.base@17.0.15)
   9:        607240       63152960  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
  10:        625171       60016416  net.minecraft.world.item.ItemStack (minecraft@1.20.1)
  11:        863647       55273408  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap (it.unimi.dsi.fastutil@8.5.9)
  12:        265369       49964944  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  13:       1012331       48591888  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  14:        995168       47768064  java.util.HashMap (java.base@17.0.15)
  15:       1256681       40213792  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  16:       1103652       26487648  org.joml.Vector3f (org.joml@1.10.5)
  17:        546290       26221920  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  18:        608402       24336080  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  19:         59798       20284648  [J (java.base@17.0.15)
  20:        821504       19716096  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  21:        611566       19570112  malte0811.ferritecore.fastmap.immutable.FastMapEntryImmutableMap (ferritecore@6.0.1)
  22:        787831       18907944  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  23:        418712       16748480  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
  24:        688980       16535520  net.minecraft.client.resources.model.ModelBakery$BakedCacheKey (minecraft@1.20.1)
  25:        137784       16034832  java.lang.Class (java.base@17.0.15)
  26:        328058       15746784  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  27:          1595       15314400  [C (java.base@17.0.15)
  28:        589913       14157912  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
  29:        880887       14094192  net.minecraft.nbt.CompoundTag (minecraft@1.20.1)
  30:        225585       12632760  dev.emi.emi.jemi.impl.JemiRecipeSlotBuilder (emi@1.1.22+1.20.1+forge)
  31:        513408       12321792  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex (citadel@2.6.3)
  32:        201066       11259696  net.minecraft.client.renderer.texture.SpriteContents (minecraft@1.20.1)
  33:        280130       11205200  net.minecraftforge.eventbus.ListenerList$ListenerListInst (net.minecraftforge.eventbus)
  34:        262582       10503280  it.unimi.dsi.fastutil.objects.Object2ObjectArrayMap (it.unimi.dsi.fastutil@8.5.9)
  35:        625170       10002720  net.minecraft.world.item.ItemStack$$Lambda$2526/0x0000000800d8b5f8 (minecraft@1.20.1)
  36:        621347        9941552  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap$MapEntrySet (it.unimi.dsi.fastutil@8.5.9)
  37:        201065        9651120  net.minecraft.client.renderer.texture.TextureAtlasSprite (minecraft@1.20.1)
  38:        293525        9392800  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.15)
  39:        175160        9096352  [Lcom.google.common.collect.ImmutableMapEntry; (com.google.common@31.1-jre)
  40:        160117        8966552  net.minecraft.client.resources.model.SimpleBakedModel (minecraft@1.20.1)
  41:        280131        8964192  java.util.concurrent.Semaphore$FairSync (java.base@17.0.15)
  42:        371805        8923320  com.google.common.collect.ImmutableMapEntry$NonTerminalImmutableMapEntry (com.google.common@31.1-jre)
  43:        158270        8863120  com.google.gson.internal.LinkedTreeMap (com.google.gson@2.10)
  44:        343009        8232216  java.util.ImmutableCollections$List12 (java.base@17.0.15)
  45:        203556        8114384  [Lcom.mojang.blaze3d.platform.NativeImage; (minecraft@1.20.1)
  46:        164396        7891008  net.minecraft.client.renderer.block.model.ItemTransforms (minecraft@1.20.1)
  47:        318159        7635816  it.unimi.dsi.fastutil.objects.ObjectArrayList (it.unimi.dsi.fastutil@8.5.9)
  48:        205376        6572032  [Lnet.minecraft.client.model.geom.ModelPart$Vertex; (minecraft@1.20.1)
  49:         97490        6532808  [D (java.base@17.0.15)
  50:        261511        6276264  java.util.ImmutableCollections$ListN (java.base@17.0.15)
  51:        148906        5956240  com.google.common.collect.RegularImmutableMap (com.google.common@31.1-jre)
  52:        105112        5886272  org.spongepowered.asm.mixin.transformer.ClassInfo$Method (org.spongepowered.mixin)
  53:        102998        5767888  org.objectweb.asm.Label (org.objectweb.asm@9.8)
  54:        142328        5693120  net.minecraft.client.renderer.block.model.BlockElementFace (minecraft@1.20.1)
  55:        228362        5480688  dev.emi.emi.jemi.impl.JemiIngredientAcceptor (emi@1.1.22+1.20.1+forge)
  56:        143492        5026192  [F (java.base@17.0.15)
  57:        103320        4959360  java.lang.invoke.MemberName (java.base@17.0.15)
  58:        206270        4950480  net.minecraft.nbt.ListTag (minecraft@1.20.1)
  59:        205376        4929024  net.minecraft.client.model.geom.ModelPart$Polygon (minecraft@1.20.1)
  60:        101594        4876512  org.embeddedt.modernfix.render.font.CompactUnihexContents$Shorts (modernfix@5.27.12+mc1.20.1)
  61:        300945        4815120  java.util.concurrent.Semaphore (java.base@17.0.15)
  62:        114441        4577640  org.objectweb.asm.tree.VarInsnNode (org.objectweb.asm.tree@9.8)
  63:        114364        4574560  java.util.EnumMap (java.base@17.0.15)
  64:         19268        4502856  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@17.0.15)
  65:        280383        4486128  java.util.concurrent.atomic.AtomicReference (java.base@17.0.15)
  66:         60008        4320576  java.lang.reflect.Constructor (java.base@17.0.15)
  67:         49083        4319304  java.lang.reflect.Method (java.base@17.0.15)
  68:          2084        4284800  [Lcom.google.common.collect.HashBiMap$BiEntry; (com.google.common@31.1-jre)
  69:         76040        4258240  java.util.LinkedHashMap (java.base@17.0.15)
  70:        122813        4256176  [Ljava.util.Map$Entry; (java.base@17.0.15)
  71:         64805        4147520  java.lang.Class$ReflectionData (java.base@17.0.15)
  72:        128352        4107264  [Lcom.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex; (citadel@2.6.3)
  73:        253740        4059840  com.google.gson.JsonPrimitive (com.google.gson@2.10)
  74:         98589        3943560  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@17.0.15)
  75:         81027        3889296  net.fabricmc.fabric.impl.renderer.SpriteFinderImpl$Node (fabric_renderer_api_v1@3.2.2+cf68abbe77)
  76:        121424        3885568  net.minecraft.core.Holder$Reference (minecraft@1.20.1)
  77:         68889        3857784  org.objectweb.asm.tree.MethodInsnNode (org.objectweb.asm.tree@9.8)
  78:        155592        3734208  net.minecraft.world.phys.Vec2 (minecraft@1.20.1)
  79:         92761        3710440  org.objectweb.asm.tree.LabelNode (org.objectweb.asm.tree@9.8)
  80:         21345        3585960  com.github.alexthe666.citadel.client.model.AdvancedModelBox (citadel@2.6.3)
  81:         80529        3484968  [Lnet.minecraft.world.item.ItemStack; (minecraft@1.20.1)
  82:        107098        3427136  org.spongepowered.asm.mixin.transformer.ClassInfo$FrameData (org.spongepowered.mixin)
  83:        142328        3415872  net.minecraft.client.renderer.block.model.BlockFaceUV (minecraft@1.20.1)
  84:        105593        3378976  org.objectweb.asm.Type (org.objectweb.asm@9.8)
  85:         69016        3312768  org.objectweb.asm.tree.LineNumberNode (org.objectweb.asm.tree@9.8)
  86:        206091        3297456  net.minecraft.nbt.StringTag (minecraft@1.20.1)
  87:        202376        3238016  org.embeddedt.modernfix.resources.PackResourcesCacheEngine$Node (modernfix@5.27.12+mc1.20.1)
  88:          5744        3170688  com.github.benmanes.caffeine.cache.MpscGrowableArrayQueue (com.github.benmanes.caffeine@3.2.1)
  89:           328        3141096  [Lnet.minecraft.world.level.block.state.BlockState; (minecraft@1.20.1)
  90:        128352        3080448  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$TexturedQuad (citadel@2.6.3)
  91:         76913        3076520  net.minecraft.world.item.crafting.Ingredient (minecraft@1.20.1)
  92:         75163        3006520  org.embeddedt.modernfix.forge.recipe.IngredientItemStacksSoftReference (modernfix@5.27.12+mc1.20.1)
  93:         88571        2834272  net.minecraft.client.renderer.block.model.Variant (minecraft@1.20.1)
  94:         69298        2771920  java.lang.ref.SoftReference (java.base@17.0.15)
  95:        122358        2755432  [Ljava.lang.String; (java.base@17.0.15)
  96:         34236        2738880  me.jellysquid.mods.sodium.client.render.immediate.model.ModelCuboid (embeddium@0.3.31+mc1.20.1)
  97:        112990        2711760  net.minecraft.client.gui.font.providers.UnihexProvider$Glyph (minecraft@1.20.1)
  98:         56364        2705472  java.lang.invoke.MethodHandleImpl$CountingWrapper (java.base@17.0.15)
  99:         47911        2683016  net.minecraft.client.renderer.block.model.BlockModel (minecraft@1.20.1)
 100:         33254        2660320  net.minecraft.client.model.geom.ModelPart (minecraft@1.20.1)
 101:         44236        2477216  dev.emi.emi.jemi.JemiRecipe (emi@1.1.22+1.20.1+forge)
 102:         60528        2421120  org.objectweb.asm.tree.InsnNode (org.objectweb.asm.tree@9.8)
 103:        149904        2398464  com.google.gson.JsonObject (com.google.gson@2.10)
 104:         96237        2309688  it.unimi.dsi.fastutil.doubles.DoubleArrayList (it.unimi.dsi.fastutil@8.5.9)
 105:         30931        2227032  java.lang.reflect.Field (java.base@17.0.15)
 106:         45075        2163600  org.spongepowered.asm.mixin.transformer.ClassInfo$Field (org.spongepowered.mixin)
 107:         87574        2101776  net.minecraftforge.forgespi.language.ModFileScanData$ClassData (net.minecraftforge.forgespi@7.0.1)
 108:         43765        2100720  it.unimi.dsi.fastutil.objects.ObjectOpenHashSet (it.unimi.dsi.fastutil@8.5.9)
 109:          6217        2091096  [Lnet.minecraft.world.phys.shapes.VoxelShape; (minecraft@1.20.1)
 110:         49731        1989240  java.lang.invoke.MethodType (java.base@17.0.15)
 111:         79113        1964608  [Lnet.minecraft.world.item.crafting.Ingredient$Value; (minecraft@1.20.1)
 112:         81810        1963440  net.minecraft.client.resources.model.Material (minecraft@1.20.1)
 113:         81297        1951128  net.minecraftforge.registries.ForgeRegistry$OverrideOwner (forge@47.4.13)
 114:         40625        1950000  org.objectweb.asm.Frame (org.objectweb.asm@9.8)
 115:         47911        1916440  net.minecraftforge.client.model.geometry.BlockGeometryBakingContext (forge@47.4.13)
 116:         59819        1914208  com.mojang.serialization.MapCodec$1 (datafixerupper@6.0.8)
