387987:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       5200144      717825864  [B (java.base@17.0.15)
   2:       2561588      380211224  [I (java.base@17.0.15)
   3:       4002113      343223056  [Ljava.lang.Object; (java.base@17.0.15)
   4:       3746908      179851584  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   5:       4503014      144096448  java.util.HashMap$Node (java.base@17.0.15)
   6:       4774030      114576720  java.lang.String (java.base@17.0.15)
   7:       2036668       97760064  dev.emi.emi.api.stack.ItemEmiStack (emi@1.1.22+1.20.1+forge)
   8:       3136860       75284640  java.util.ArrayList (java.base@17.0.15)
   9:        607542       63184368  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
  10:        624307       59933472  net.minecraft.world.item.ItemStack (minecraft@1.20.1)
  11:        863786       55282304  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap (it.unimi.dsi.fastutil@8.5.9)
  12:        254338       49021296  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  13:       1012466       48598368  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  14:        983469       47206512  java.util.HashMap (java.base@17.0.15)
  15:       1257309       40233888  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  16:       1104787       26514888  org.joml.Vector3f (org.joml@1.10.5)
  17:        547137       26262576  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  18:        608823       24352920  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  19:         59886       20057880  [J (java.base@17.0.15)
  20:        821504       19716096  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  21:        611902       19580864  malte0811.ferritecore.fastmap.immutable.FastMapEntryImmutableMap (ferritecore@6.0.1)
  22:        788898       18933552  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  23:        715619       17174856  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
  24:        419109       16764360  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
  25:        689412       16545888  net.minecraft.client.resources.model.ModelBakery$BakedCacheKey (minecraft@1.20.1)
  26:        137769       16033136  java.lang.Class (java.base@17.0.15)
  27:        328442       15765216  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  28:          1600       15335096  [C (java.base@17.0.15)
  29:        880991       14095856  net.minecraft.nbt.CompoundTag (minecraft@1.20.1)
  30:        225776       12643456  dev.emi.emi.jemi.impl.JemiRecipeSlotBuilder (emi@1.1.22+1.20.1+forge)
  31:        513408       12321792  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex (citadel@2.6.3)
  32:        201093       11261208  net.minecraft.client.renderer.texture.SpriteContents (minecraft@1.20.1)
  33:        275994       11039760  net.minecraftforge.eventbus.ListenerList$ListenerListInst (net.minecraftforge.eventbus)
  34:        262923       10516920  it.unimi.dsi.fastutil.objects.Object2ObjectArrayMap (it.unimi.dsi.fastutil@8.5.9)
  35:        624306        9988896  net.minecraft.world.item.ItemStack$$Lambda$2526/0x0000000800d94730 (minecraft@1.20.1)
  36:        621121        9937936  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap$MapEntrySet (it.unimi.dsi.fastutil@8.5.9)
  37:        201092        9652416  net.minecraft.client.renderer.texture.TextureAtlasSprite (minecraft@1.20.1)
  38:        294453        9422496  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.15)
  39:        175243        9099368  [Lcom.google.common.collect.ImmutableMapEntry; (com.google.common@31.1-jre)
  40:        160257        8974392  net.minecraft.client.resources.model.SimpleBakedModel (minecraft@1.20.1)
  41:        158520        8877120  com.google.gson.internal.LinkedTreeMap (com.google.gson@2.10)
  42:        275995        8831840  java.util.concurrent.Semaphore$FairSync (java.base@17.0.15)
