392579:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       5201817      718158552  [B (java.base@17.0.15)
   2:       2561772      380236888  [I (java.base@17.0.15)
   3:       4007719      343483784  [Ljava.lang.Object; (java.base@17.0.15)
   4:       3747048      179858304  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   5:       4525642      144820544  java.util.HashMap$Node (java.base@17.0.15)
   6:       4775548      114613152  java.lang.String (java.base@17.0.15)
   7:       2036821       97767408  dev.emi.emi.api.stack.ItemEmiStack (emi@1.1.22+1.20.1+forge)
   8:       3162467       75899208  java.util.ArrayList (java.base@17.0.15)
   9:        607542       63184368  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
  10:        625775       60074400  net.minecraft.world.item.ItemStack (minecraft@1.20.1)
  11:        863795       55282880  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap (it.unimi.dsi.fastutil@8.5.9)
  12:        265529       49982304  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  13:       1012466       48598368  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  14:        996097       47812656  java.util.HashMap (java.base@17.0.15)
  15:       1257309       40233888  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  16:       1104978       26519472  org.joml.Vector3f (org.joml@1.10.5)
  17:        547137       26262576  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  18:        608899       24355960  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  19:         59884       20123096  [J (java.base@17.0.15)
  20:        821504       19716096  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  21:        611902       19580864  malte0811.ferritecore.fastmap.immutable.FastMapEntryImmutableMap (ferritecore@6.0.1)
  22:        788908       18933792  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  23:        419121       16764840  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
  24:        689412       16545888  net.minecraft.client.resources.model.ModelBakery$BakedCacheKey (minecraft@1.20.1)
  25:        138054       16065800  java.lang.Class (java.base@17.0.15)
  26:        328394       15762912  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  27:          1601       15384168  [C (java.base@17.0.15)
  28:        590643       14175432  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
  29:        881001       14096016  net.minecraft.nbt.CompoundTag (minecraft@1.20.1)
  30:        225780       12643680  dev.emi.emi.jemi.impl.JemiRecipeSlotBuilder (emi@1.1.22+1.20.1+forge)
  31:        513408       12321792  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex (citadel@2.6.3)
  32:        201093       11261208  net.minecraft.client.renderer.texture.SpriteContents (minecraft@1.20.1)
  33:        280130       11205200  net.minecraftforge.eventbus.ListenerList$ListenerListInst (net.minecraftforge.eventbus)
  34:        262904       10516160  it.unimi.dsi.fastutil.objects.Object2ObjectArrayMap (it.unimi.dsi.fastutil@8.5.9)
  35:        625774       10012384  net.minecraft.world.item.ItemStack$$Lambda$2526/0x0000000800d92138 (minecraft@1.20.1)
  36:        621345        9941520  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap$MapEntrySet (it.unimi.dsi.fastutil@8.5.9)
  37:        201092        9652416  net.minecraft.client.renderer.texture.TextureAtlasSprite (minecraft@1.20.1)
  38:        295427        9453664  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.15)
  39:        175247        9099496  [Lcom.google.common.collect.ImmutableMapEntry; (com.google.common@31.1-jre)
  40:        160261        8974616  net.minecraft.client.resources.model.SimpleBakedModel (minecraft@1.20.1)
  41:        280131        8964192  java.util.concurrent.Semaphore$FairSync (java.base@17.0.15)
  42:        371558        8917392  com.google.common.collect.ImmutableMapEntry$NonTerminalImmutableMapEntry (com.google.common@31.1-jre)
  43:        158520        8877120  com.google.gson.internal.LinkedTreeMap (com.google.gson@2.10)
  44:        343094        8234256  java.util.ImmutableCollections$List12 (java.base@17.0.15)
