397262:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       5203469      718289208  [B (java.base@17.0.15)
   2:       2561707      380240336  [I (java.base@17.0.15)
   3:       4006924      343467528  [Ljava.lang.Object; (java.base@17.0.15)
   4:       3747048      179858304  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   5:       4525656      144820992  java.util.HashMap$Node (java.base@17.0.15)
   6:       4777146      114651504  java.lang.String (java.base@17.0.15)
   7:       2036654       97759392  dev.emi.emi.api.stack.ItemEmiStack (emi@1.1.22+1.20.1+forge)
   8:       3162651       75903624  java.util.ArrayList (java.base@17.0.15)
   9:        607542       63184368  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
  10:        624326       59935296  net.minecraft.world.item.ItemStack (minecraft@1.20.1)
  11:        863440       55260160  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap (it.unimi.dsi.fastutil@8.5.9)
  12:        265525       49981016  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  13:       1012466       48598368  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  14:        994637       47742576  java.util.HashMap (java.base@17.0.15)
  15:       1257309       40233888  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  16:       1105084       26522016  org.joml.Vector3f (org.joml@1.10.5)
  17:        547137       26262576  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  18:        608823       24352920  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  19:        821504       19716096  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  20:         55796       19580880  [J (java.base@17.0.15)
  21:        611902       19580864  malte0811.ferritecore.fastmap.immutable.FastMapEntryImmutableMap (ferritecore@6.0.1)
  22:        788910       18933840  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  23:        419116       16764640  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
  24:        689412       16545888  net.minecraft.client.resources.model.ModelBakery$BakedCacheKey (minecraft@1.20.1)
  25:        137949       16054008  java.lang.Class (java.base@17.0.15)
  26:        328442       15765216  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  27:          1601       15339200  [C (java.base@17.0.15)
  28:        589733       14153592  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
  29:        880646       14090336  net.minecraft.nbt.CompoundTag (minecraft@1.20.1)
  30:        225780       12643680  dev.emi.emi.jemi.impl.JemiRecipeSlotBuilder (emi@1.1.22+1.20.1+forge)
  31:        513408       12321792  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex (citadel@2.6.3)
  32:        201093       11261208  net.minecraft.client.renderer.texture.SpriteContents (minecraft@1.20.1)
  33:        280130       11205200  net.minecraftforge.eventbus.ListenerList$ListenerListInst (net.minecraftforge.eventbus)
  34:        262925       10517000  it.unimi.dsi.fastutil.objects.Object2ObjectArrayMap (it.unimi.dsi.fastutil@8.5.9)
  35:        624325        9989200  net.minecraft.world.item.ItemStack$$Lambda$2526/0x0000000800d93840 (minecraft@1.20.1)
  36:        621292        9940672  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap$MapEntrySet (it.unimi.dsi.fastutil@8.5.9)
  37:        201092        9652416  net.minecraft.client.renderer.texture.TextureAtlasSprite (minecraft@1.20.1)
  38:        295030        9440960  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.15)
  39:        175247        9099496  [Lcom.google.common.collect.ImmutableMapEntry; (com.google.common@31.1-jre)
  40:        160261        8974616  net.minecraft.client.resources.model.SimpleBakedModel (minecraft@1.20.1)
  41:        280131        8964192  java.util.concurrent.Semaphore$FairSync (java.base@17.0.15)
  42:        372456        8938944  com.google.common.collect.ImmutableMapEntry$NonTerminalImmutableMapEntry (com.google.common@31.1-jre)
  43:        158520        8877120  com.google.gson.internal.LinkedTreeMap (com.google.gson@2.10)
  44:        343267        8238408  java.util.ImmutableCollections$List12 (java.base@17.0.15)
  45:        203583        8115464  [Lcom.mojang.blaze3d.platform.NativeImage; (minecraft@1.20.1)
  46:        164553        7898544  net.minecraft.client.renderer.block.model.ItemTransforms (minecraft@1.20.1)
  47:        318228        7637472  it.unimi.dsi.fastutil.objects.ObjectArrayList (it.unimi.dsi.fastutil@8.5.9)
  48:        205376        6572032  [Lnet.minecraft.client.model.geom.ModelPart$Vertex; (minecraft@1.20.1)
  49:         97502        6536440  [D (java.base@17.0.15)
  50:        261719        6281256  java.util.ImmutableCollections$ListN (java.base@17.0.15)
  51:        148993        5959720  com.google.common.collect.RegularImmutableMap (com.google.common@31.1-jre)
  52:        104975        5878600  org.spongepowered.asm.mixin.transformer.ClassInfo$Method (org.spongepowered.mixin)
  53:        102876        5761056  org.objectweb.asm.Label (org.objectweb.asm@9.8)
  54:        143586        5743440  net.minecraft.client.renderer.block.model.BlockElementFace (minecraft@1.20.1)
  55:        228559        5485416  dev.emi.emi.jemi.impl.JemiIngredientAcceptor (emi@1.1.22+1.20.1+forge)
  56:        144752        5066216  [F (java.base@17.0.15)
  57:        103466        4966368  java.lang.invoke.MemberName (java.base@17.0.15)
  58:        206339        4952136  net.minecraft.nbt.ListTag (minecraft@1.20.1)
  59:        205376        4929024  net.minecraft.client.model.geom.ModelPart$Polygon (minecraft@1.20.1)
  60:        101594        4876512  org.embeddedt.modernfix.render.font.CompactUnihexContents$Shorts (modernfix@5.27.12+mc1.20.1)
  61:        300945        4815120  java.util.concurrent.Semaphore (java.base@17.0.15)
  62:        114728        4589120  java.util.EnumMap (java.base@17.0.15)
  63:        114367        4574680  org.objectweb.asm.tree.VarInsnNode (org.objectweb.asm.tree@9.8)
  64:         19341        4517080  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@17.0.15)
  65:        280477        4487632  java.util.concurrent.atomic.AtomicReference (java.base@17.0.15)
  66:         60057        4324104  java.lang.reflect.Constructor (java.base@17.0.15)
  67:         49068        4317984  java.lang.reflect.Method (java.base@17.0.15)
  68:          2084        4284800  [Lcom.google.common.collect.HashBiMap$BiEntry; (com.google.common@31.1-jre)
  69:        122902        4259176  [Ljava.util.Map$Entry; (java.base@17.0.15)
  70:         76030        4257680  java.util.LinkedHashMap (java.base@17.0.15)
  71:         64861        4151104  java.lang.Class$ReflectionData (java.base@17.0.15)
  72:        128352        4107264  [Lcom.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex; (citadel@2.6.3)
  73:        254133        4066128  com.google.gson.JsonPrimitive (com.google.gson@2.10)
  74:         98591        3943640  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@17.0.15)
  75:        121570        3890240  net.minecraft.core.Holder$Reference (minecraft@1.20.1)
  76:         81026        3889248  net.fabricmc.fabric.impl.renderer.SpriteFinderImpl$Node (fabric_renderer_api_v1@3.2.2+cf68abbe77)
  77:         68797        3852632  org.objectweb.asm.tree.MethodInsnNode (org.objectweb.asm.tree@9.8)
  78:        155592        3734208  net.minecraft.world.phys.Vec2 (minecraft@1.20.1)
  79:         92651        3706040  org.objectweb.asm.tree.LabelNode (org.objectweb.asm.tree@9.8)
  80:         21345        3585960  com.github.alexthe666.citadel.client.model.AdvancedModelBox (citadel@2.6.3)
  81:         80639        3488664  [Lnet.minecraft.world.item.ItemStack; (minecraft@1.20.1)
  82:        143586        3446064  net.minecraft.client.renderer.block.model.BlockFaceUV (minecraft@1.20.1)
  83:        106834        3418688  org.spongepowered.asm.mixin.transformer.ClassInfo$FrameData (org.spongepowered.mixin)
  84:        105775        3384800  org.objectweb.asm.Type (org.objectweb.asm@9.8)
  85:         68932        3308736  org.objectweb.asm.tree.LineNumberNode (org.objectweb.asm.tree@9.8)
  86:        206189        3299024  net.minecraft.nbt.StringTag (minecraft@1.20.1)
  87:        202587        3241392  org.embeddedt.modernfix.resources.PackResourcesCacheEngine$Node (modernfix@5.27.12+mc1.20.1)
  88:          5744        3170688  com.github.benmanes.caffeine.cache.MpscGrowableArrayQueue (com.github.benmanes.caffeine@3.2.1)
  89:           328        3141096  [Lnet.minecraft.world.level.block.state.BlockState; (minecraft@1.20.1)
  90:         77023        3080920  net.minecraft.world.item.crafting.Ingredient (minecraft@1.20.1)
  91:        128352        3080448  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$TexturedQuad (citadel@2.6.3)
  92:         75273        3010920  org.embeddedt.modernfix.forge.recipe.IngredientItemStacksSoftReference (modernfix@5.27.12+mc1.20.1)
  93:         88728        2839296  net.minecraft.client.renderer.block.model.Variant (minecraft@1.20.1)
  94:         69341        2773640  java.lang.ref.SoftReference (java.base@17.0.15)
  95:        122563        2761952  [Ljava.lang.String; (java.base@17.0.15)
  96:         34236        2738880  me.jellysquid.mods.sodium.client.render.immediate.model.ModelCuboid (embeddium@0.3.31+mc1.20.1)
  97:        112990        2711760  net.minecraft.client.gui.font.providers.UnihexProvider$Glyph (minecraft@1.20.1)
  98:         56364        2705472  java.lang.invoke.MethodHandleImpl$CountingWrapper (java.base@17.0.15)
  99:         48032        2689792  net.minecraft.client.renderer.block.model.BlockModel (minecraft@1.20.1)
 100:         33254        2660320  net.minecraft.client.model.geom.ModelPart (minecraft@1.20.1)
 101:         44271        2479176  dev.emi.emi.jemi.JemiRecipe (emi@1.1.22+1.20.1+forge)
 102:         60462        2418480  org.objectweb.asm.tree.InsnNode (org.objectweb.asm.tree@9.8)
 103:        150154        2402464  com.google.gson.JsonObject (com.google.gson@2.10)
 104:         96252        2310048  it.unimi.dsi.fastutil.doubles.DoubleArrayList (it.unimi.dsi.fastutil@8.5.9)
 105:         30931        2227032  java.lang.reflect.Field (java.base@17.0.15)
 106:         45062        2162976  org.spongepowered.asm.mixin.transformer.ClassInfo$Field (org.spongepowered.mixin)
 107:         87757        2106168  net.minecraftforge.forgespi.language.ModFileScanData$ClassData (net.minecraftforge.forgespi@7.0.1)
 108:         43817        2103216  it.unimi.dsi.fastutil.objects.ObjectOpenHashSet (it.unimi.dsi.fastutil@8.5.9)
 109:          6227        2091768  [Lnet.minecraft.world.phys.shapes.VoxelShape; (minecraft@1.20.1)
 110:         49797        1991880  java.lang.invoke.MethodType (java.base@17.0.15)
 111:         82055        1969320  net.minecraft.client.resources.model.Material (minecraft@1.20.1)
 112:         79223        1967288  [Lnet.minecraft.world.item.crafting.Ingredient$Value; (minecraft@1.20.1)
 113:         81393        1953432  net.minecraftforge.registries.ForgeRegistry$OverrideOwner (forge@47.4.13)
 114:         40575        1947600  org.objectweb.asm.Frame (org.objectweb.asm@9.8)
 115:         48032        1921280  net.minecraftforge.client.model.geometry.BlockGeometryBakingContext (forge@47.4.13)
 116:         59905        1916960  com.mojang.serialization.MapCodec$1 (datafixerupper@6.0.8)
 117:         29576        1892864  java.util.concurrent.ConcurrentHashMap (java.base@17.0.15)
 118:         58434        1869888  java.lang.invoke.BoundMethodHandle$Species_L (java.base@17.0.15)
 119:         70545        1868680  [Ljava.lang.Class; (java.base@17.0.15)
 120:         57892        1852544  jdk.internal.reflect.NativeConstructorAccessorImpl (java.base@17.0.15)
 121:         75144        1803456  java.lang.invoke.ResolvedMethodName (java.base@17.0.15)
 122:         54784        1780928  [[I (java.base@17.0.15)
 123:         74127        1779048  cpw.mods.modlauncher.TransformerAuditTrail$TransformerActivity (cpw.mods.modlauncher@10.0.9)
 124:        111025        1776400  java.lang.Object (java.base@17.0.15)
 125:         54723        1751136  java.lang.invoke.DirectMethodHandle (java.base@17.0.15)
 126:        109169        1746704  java.util.HashSet (java.base@17.0.15)
 127:         34236        1643328  net.minecraft.client.model.geom.ModelPart$Cube (minecraft@1.20.1)
 128:         29344        1643264  net.minecraft.world.phys.shapes.BitSetDiscreteVoxelShape (minecraft@1.20.1)
 129:         33765        1620720  java.lang.invoke.BoundMethodHandle$Species_LLLL (java.base@17.0.15)
 130:         49812        1593984  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry (java.base@17.0.15)
 131:         98323        1573168  java.lang.Integer (java.base@17.0.15)
 132:         30836        1480128  org.objectweb.asm.tree.FieldInsnNode (org.objectweb.asm.tree@9.8)
 133:         30454        1461792  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@17.0.15)
 134:         45071        1442272  java.util.Hashtable$Entry (java.base@17.0.15)
 135:         29756        1428288  xfacthd.framedblocks.common.compat.emi.FramingSawEmiRecipe (framedblocks@9.4.3)
 136:         29612        1421376  com.google.common.cache.LocalCache$StrongAccessEntry (com.google.common@31.1-jre)
 137:         35127        1405080  org.objectweb.asm.tree.LocalVariableNode (org.objectweb.asm.tree@9.8)
 138:         58502        1404272  [Ljava.lang.reflect.Constructor; (java.base@17.0.15)
 139:         57648        1383552  software.bernie.geckolib.cache.object.GeoVertex (geckolib@4.8.3)
 140:         42954        1374528  com.google.common.collect.MapMakerInternalMap$StrongKeyWeakValueEntry (com.google.common@31.1-jre)
 141:         42954        1374528  com.google.common.collect.MapMakerInternalMap$WeakValueReferenceImpl (com.google.common@31.1-jre)
 142:         34236        1369312  [Lnet.minecraft.client.model.geom.ModelPart$Polygon; (minecraft@1.20.1)
 143:         56240        1349760  net.minecraft.util.random.WeightedEntry$Wrapper (minecraft@1.20.1)
 144:         84234        1347744  net.minecraft.client.renderer.block.model.MultiVariant (minecraft@1.20.1)
 145:         41863        1339616  org.openjdk.nashorn.internal.runtime.PropertyHashMap$Element (org.openjdk.nashorn)
 146:         55790        1338960  java.util.Collections$UnmodifiableRandomAccessList (java.base@17.0.15)
 147:         83670        1338720  com.google.gson.internal.LazilyParsedNumber (com.google.gson@2.10)
 148:          5744        1332608  com.github.benmanes.caffeine.cache.SSA (com.github.benmanes.caffeine@3.2.1)
 149:         23706        1327536  org.openjdk.nashorn.internal.runtime.ScriptFunction (org.openjdk.nashorn)
 150:         31989        1279560  org.openjdk.nashorn.internal.runtime.CompiledFunction (org.openjdk.nashorn)
 151:         52595        1262280  java.util.Collections$SynchronizedRandomAccessList (java.base@17.0.15)
 152:         78865        1261840  net.minecraft.world.item.crafting.Ingredient$ItemValue (minecraft@1.20.1)
 153:         52339        1256136  dev.emi.emi.jemi.impl.JemiRecipeSlot$IngredientRenderer (emi@1.1.22+1.20.1+forge)
 154:         39211        1254752  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@17.0.15)
 155:         31175        1247000  net.minecraft.client.renderer.block.model.BlockElement (minecraft@1.20.1)
 156:         37283        1193056  it.unimi.dsi.fastutil.objects.Object2IntRBTreeMap$Entry (it.unimi.dsi.fastutil@8.5.9)
 157:         29759        1190360  dev.emi.emi.api.stack.FluidEmiStack (emi@1.1.22+1.20.1+forge)
 158:          9204        1178112  org.spongepowered.asm.mixin.transformer.MixinInfo$MixinMethodNode (org.spongepowered.mixin)
 159:         36803        1177696  java.util.LinkedList (java.base@17.0.15)
 160:         72026        1152416  com.mojang.datafixers.util.Either$Left (datafixerupper@6.0.8)
 161:          7920        1140480  me.jellysquid.mods.sodium.client.render.chunk.RenderSection (embeddium@0.3.31+mc1.20.1)
 162:           545        1129240  [Lnet.minecraftforge.eventbus.ListenerList$ListenerListInst; (net.minecraftforge.eventbus)
 163:         10792        1122368  net.minecraft.world.level.block.state.BlockBehaviour$Properties (minecraft@1.20.1)
 164:         46568        1117632  net.minecraft.core.NonNullList (minecraft@1.20.1)
 165:         34808        1113856  net.minecraftforge.common.util.LazyOptional (forge@47.4.13)
 166:         46321        1111704  net.p3pp3rf1y.sophisticatedstorage.client.render.BarrelDynamicModelBase$BarrelModelPartDefinition (sophisticatedstorage@1.4.39.1666)
 167:         45692        1096608  dev.emi.emi.jemi.impl.JemiRecipeSlot$OffsetDrawable (emi@1.1.22+1.20.1+forge)
 168:         34078        1090496  java.util.Collections$UnmodifiableMap (java.base@17.0.15)
 169:         44271        1062504  dev.emi.emi.jemi.impl.JemiRecipeLayoutBuilder (emi@1.1.22+1.20.1+forge)
 170:         32836        1050752  net.minecraft.network.chat.MutableComponent (minecraft@1.20.1)
 171:         32579        1042528  net.minecraft.world.phys.shapes.ArrayVoxelShape (minecraft@1.20.1)
 172:         18172        1017632  net.minecraft.network.chat.Style (minecraft@1.20.1)
 173:         41969        1007256  net.minecraft.resources.ResourceKey (minecraft@1.20.1)
 174:         41969        1007256  net.minecraft.resources.ResourceKey$InternKey (minecraft@1.20.1)
 175:         24912         996480  java.util.TreeMap$Entry (java.base@17.0.15)
 176:         39882         957168  org.objectweb.asm.Edge (org.objectweb.asm@9.8)
 177:         23424         936960  org.objectweb.asm.tree.JumpInsnNode (org.objectweb.asm.tree@9.8)
 178:         58083         929328  jdk.internal.reflect.DelegatingConstructorAccessorImpl (java.base@17.0.15)
 179:         28861         923552  java.lang.invoke.MethodHandleNatives$CallSiteContext (java.base@17.0.15)
 180:         23079         923160  software.bernie.geckolib.core.keyframe.Keyframe (geckolib@4.8.3)
 181:         37873         908952  net.p3pp3rf1y.sophisticatedstorage.client.render.DynamicBarrelBakingData (sophisticatedstorage@1.4.39.1666)
 182:         22258         890320  java.lang.invoke.BoundMethodHandle$Species_LLL (java.base@17.0.15)
 183:         27788         889216  net.minecraftforge.registries.RegistryObject (forge@47.4.13)
 184:         22103         884120  dev.emi.emi.api.stack.TagEmiIngredient (emi@1.1.22+1.20.1+forge)
