405193:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       5204507      718516384  [B (java.base@17.0.15)
   2:       2561636      380217800  [I (java.base@17.0.15)
   3:       4005610      343313216  [Ljava.lang.Object; (java.base@17.0.15)
   4:       3746074      179811552  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   5:       4524707      144790624  java.util.HashMap$Node (java.base@17.0.15)
   6:       4778510      114684240  java.lang.String (java.base@17.0.15)
   7:       2035950       97725600  dev.emi.emi.api.stack.ItemEmiStack (emi@1.1.22+1.20.1+forge)
   8:       3161980       75887520  java.util.ArrayList (java.base@17.0.15)
   9:        607474       63177296  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
  10:        625287       60027552  net.minecraft.world.item.ItemStack (minecraft@1.20.1)
  11:        863366       55255424  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap (it.unimi.dsi.fastutil@8.5.9)
  12:        265368       49968392  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  13:       1012466       48598368  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  14:        995457       47781936  java.util.HashMap (java.base@17.0.15)
  15:       1257155       40228960  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  16:       1104815       26515560  org.joml.Vector3f (org.joml@1.10.5)
  17:        546813       26247024  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  18:        608536       24341440  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  19:         63981       21333040  [J (java.base@17.0.15)
  20:        821504       19716096  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  21:        611834       19578688  malte0811.ferritecore.fastmap.immutable.FastMapEntryImmutableMap (ferritecore@6.0.1)
  22:        788647       18927528  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  23:        418948       16757920  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
  24:        689318       16543632  net.minecraft.client.resources.model.ModelBakery$BakedCacheKey (minecraft@1.20.1)
  25:        137872       16044464  java.lang.Class (java.base@17.0.15)
  26:        328274       15757152  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  27:          1601       15347440  [C (java.base@17.0.15)
  28:        880584       14089344  net.minecraft.nbt.CompoundTag (minecraft@1.20.1)
  29:        576611       13838664  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
