412940:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       5196166      718205648  [B (java.base@17.0.15)
   2:       2561541      380231472  [I (java.base@17.0.15)
   3:       4008046      343448072  [Ljava.lang.Object; (java.base@17.0.15)
   4:       3747048      179858304  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   5:       4525341      144810912  java.util.HashMap$Node (java.base@17.0.15)
   6:       4770071      114481704  java.lang.String (java.base@17.0.15)
   7:       2036815       97767120  dev.emi.emi.api.stack.ItemEmiStack (emi@1.1.22+1.20.1+forge)
   8:       3162408       75897792  java.util.ArrayList (java.base@17.0.15)
   9:        607542       63184368  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
  10:        624308       59933568  net.minecraft.world.item.ItemStack (minecraft@1.20.1)
  11:        864099       55302336  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap (it.unimi.dsi.fastutil@8.5.9)
  12:        265374       49970184  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  13:       1012466       48598368  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  14:        994529       47737392  java.util.HashMap (java.base@17.0.15)
  15:       1257309       40233888  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  16:       1105165       26523960  org.joml.Vector3f (org.joml@1.10.5)
  17:        547137       26262576  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  18:        608836       24353440  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  19:         59876       20544856  [J (java.base@17.0.15)
  20:        821504       19716096  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  21:        611902       19580864  malte0811.ferritecore.fastmap.immutable.FastMapEntryImmutableMap (ferritecore@6.0.1)
  22:        788917       18934008  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  23:        732149       17571576  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
  24:        419152       16766080  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
  25:        689412       16545888  net.minecraft.client.resources.model.ModelBakery$BakedCacheKey (minecraft@1.20.1)
  26:        137564       16009096  java.lang.Class (java.base@17.0.15)
  27:        328442       15765216  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  28:          1601       15359592  [C (java.base@17.0.15)
  29:        881308       14100928  net.minecraft.nbt.CompoundTag (minecraft@1.20.1)
  30:        225780       12643680  dev.emi.emi.jemi.impl.JemiRecipeSlotBuilder (emi@1.1.22+1.20.1+forge)
  31:        513408       12321792  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex (citadel@2.6.3)
  32:        201093       11261208  net.minecraft.client.renderer.texture.SpriteContents (minecraft@1.20.1)
  33:        280130       11205200  net.minecraftforge.eventbus.ListenerList$ListenerListInst (net.minecraftforge.eventbus)
  34:        262925       10517000  it.unimi.dsi.fastutil.objects.Object2ObjectArrayMap (it.unimi.dsi.fastutil@8.5.9)
  35:        624307        9988912  net.minecraft.world.item.ItemStack$$Lambda$2526/0x0000000800d96000 (minecraft@1.20.1)
  36:        621489        9943824  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap$MapEntrySet (it.unimi.dsi.fastutil@8.5.9)
  37:        201092        9652416  net.minecraft.client.renderer.texture.TextureAtlasSprite (minecraft@1.20.1)
  38:        285302        9129664  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.15)
