420880:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       5203803      718220264  [B (java.base@17.0.15)
   2:       2561728      380233272  [I (java.base@17.0.15)
   3:       4007874      343452424  [Ljava.lang.Object; (java.base@17.0.15)
   4:       3747048      179858304  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   5:       4525587      144818784  java.util.HashMap$Node (java.base@17.0.15)
   6:       4777679      114664296  java.lang.String (java.base@17.0.15)
   7:       2036802       97766496  dev.emi.emi.api.stack.ItemEmiStack (emi@1.1.22+1.20.1+forge)
   8:       3162878       75909072  java.util.ArrayList (java.base@17.0.15)
   9:        607542       63184368  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
  10:        624366       59939136  net.minecraft.world.item.ItemStack (minecraft@1.20.1)
  11:        863918       55290752  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap (it.unimi.dsi.fastutil@8.5.9)
  12:        265421       49974280  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  13:       1012466       48598368  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  14:        994605       47741040  java.util.HashMap (java.base@17.0.15)
  15:       1257309       40233888  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  16:       1105201       26524824  org.joml.Vector3f (org.joml@1.10.5)
  17:        547137       26262576  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  18:        608855       24354200  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  19:         59890       20613376  [J (java.base@17.0.15)
  20:        821504       19716096  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  21:        611902       19580864  malte0811.ferritecore.fastmap.immutable.FastMapEntryImmutableMap (ferritecore@6.0.1)
  22:        788917       18934008  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  23:        419122       16764880  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
  24:        689412       16545888  net.minecraft.client.resources.model.ModelBakery$BakedCacheKey (minecraft@1.20.1)
  25:        137970       16056456  java.lang.Class (java.base@17.0.15)
  26:        328442       15765216  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  27:          1599       15339080  [C (java.base@17.0.15)
  28:        625424       15010176  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
  29:        881126       14098016  net.minecraft.nbt.CompoundTag (minecraft@1.20.1)
  30:        225780       12643680  dev.emi.emi.jemi.impl.JemiRecipeSlotBuilder (emi@1.1.22+1.20.1+forge)
  31:        513408       12321792  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex (citadel@2.6.3)
  32:        201093       11261208  net.minecraft.client.renderer.texture.SpriteContents (minecraft@1.20.1)
  33:        280130       11205200  net.minecraftforge.eventbus.ListenerList$ListenerListInst (net.minecraftforge.eventbus)
  34:        262904       10516160  it.unimi.dsi.fastutil.objects.Object2ObjectArrayMap (it.unimi.dsi.fastutil@8.5.9)
  35:        624365        9989840  net.minecraft.world.item.ItemStack$$Lambda$2526/0x0000000800d8f7b8 (minecraft@1.20.1)
  36:        621317        9941072  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap$MapEntrySet (it.unimi.dsi.fastutil@8.5.9)
  37:        201092        9652416  net.minecraft.client.renderer.texture.TextureAtlasSprite (minecraft@1.20.1)
  38:        295257        9448224  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.15)
  39:        175247        9099496  [Lcom.google.common.collect.ImmutableMapEntry; (com.google.common@31.1-jre)
  40:        160261        8974616  net.minecraft.client.resources.model.SimpleBakedModel (minecraft@1.20.1)
  41:        280131        8964192  java.util.concurrent.Semaphore$FairSync (java.base@17.0.15)
  42:        158520        8877120  com.google.gson.internal.LinkedTreeMap (com.google.gson@2.10)
  43:        343075        8233800  java.util.ImmutableCollections$List12 (java.base@17.0.15)
  44:        203583        8115464  [Lcom.mojang.blaze3d.platform.NativeImage; (minecraft@1.20.1)
  45:        336777        8082648  com.google.common.collect.ImmutableMapEntry$NonTerminalImmutableMapEntry (com.google.common@31.1-jre)
  46:        164553        7898544  net.minecraft.client.renderer.block.model.ItemTransforms (minecraft@1.20.1)
  47:        318122        7634928  it.unimi.dsi.fastutil.objects.ObjectArrayList (it.unimi.dsi.fastutil@8.5.9)
  48:        205376        6572032  [Lnet.minecraft.client.model.geom.ModelPart$Vertex; (minecraft@1.20.1)
  49:         97487        6538184  [D (java.base@17.0.15)
  50:        261718        6281232  java.util.ImmutableCollections$ListN (java.base@17.0.15)
  51:        148993        5959720  com.google.common.collect.RegularImmutableMap (com.google.common@31.1-jre)
  52:        105112        5886272  org.spongepowered.asm.mixin.transformer.ClassInfo$Method (org.spongepowered.mixin)
  53:        102998        5767888  org.objectweb.asm.Label (org.objectweb.asm@9.8)
  54:        143586        5743440  net.minecraft.client.renderer.block.model.BlockElementFace (minecraft@1.20.1)
  55:        228559        5485416  dev.emi.emi.jemi.impl.JemiIngredientAcceptor (emi@1.1.22+1.20.1+forge)
  56:        144750        5066160  [F (java.base@17.0.15)
  57:        103478        4966944  java.lang.invoke.MemberName (java.base@17.0.15)
  58:        206233        4949592  net.minecraft.nbt.ListTag (minecraft@1.20.1)
  59:        205376        4929024  net.minecraft.client.model.geom.ModelPart$Polygon (minecraft@1.20.1)
  60:        101594        4876512  org.embeddedt.modernfix.render.font.CompactUnihexContents$Shorts (modernfix@5.27.12+mc1.20.1)
  61:        300945        4815120  java.util.concurrent.Semaphore (java.base@17.0.15)
  62:        114708        4588320  java.util.EnumMap (java.base@17.0.15)
  63:        114441        4577640  org.objectweb.asm.tree.VarInsnNode (org.objectweb.asm.tree@9.8)
  64:         19364        4517624  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@17.0.15)
