432369:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       5208899      719344240  [B (java.base@17.0.15)
   2:       2548490      424272256  [I (java.base@17.0.15)
   3:       3990699      341884680  [Ljava.lang.Object; (java.base@17.0.15)
   4:       3741889      179610672  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   5:       4519119      144611808  java.util.HashMap$Node (java.base@17.0.15)
   6:       4781829      114763896  java.lang.String (java.base@17.0.15)
   7:       2008854       96424992  dev.emi.emi.api.stack.ItemEmiStack (emi@1.1.22+1.20.1+forge)
   8:       3151505       75636120  java.util.ArrayList (java.base@17.0.15)
   9:        607542       63184368  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
  10:        621451       59659296  net.minecraft.world.item.ItemStack (minecraft@1.20.1)
  11:        861314       55124096  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap (it.unimi.dsi.fastutil@8.5.9)
  12:        265062       49916840  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  13:       1011906       48571488  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  14:        991377       47586096  java.util.HashMap (java.base@17.0.15)
  15:       1257275       40232800  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  16:        113140       35831624  [J (java.base@17.0.15)
  17:       1104845       26516280  org.joml.Vector3f (org.joml@1.10.5)
  18:        547131       26262288  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  19:        607857       24314280  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  20:        821504       19716096  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  21:        611902       19580864  malte0811.ferritecore.fastmap.immutable.FastMapEntryImmutableMap (ferritecore@6.0.1)
  22:        790978       18983472  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  23:        419025       16761000  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
  24:        689412       16545888  net.minecraft.client.resources.model.ModelBakery$BakedCacheKey (minecraft@1.20.1)
  25:        137948       16053680  java.lang.Class (java.base@17.0.15)
  26:        322080       15459840  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  27:          1597       15367584  [C (java.base@17.0.15)
  28:        878527       14056432  net.minecraft.nbt.CompoundTag (minecraft@1.20.1)
  29:        571263       13710312  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
  30:        225640       12635840  dev.emi.emi.jemi.impl.JemiRecipeSlotBuilder (emi@1.1.22+1.20.1+forge)
  31:        513408       12321792  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex (citadel@2.6.3)
  32:        200981       11254936  net.minecraft.client.renderer.texture.SpriteContents (minecraft@1.20.1)
  33:        279585       11183400  net.minecraftforge.eventbus.ListenerList$ListenerListInst (net.minecraftforge.eventbus)
  34:        262923       10516920  it.unimi.dsi.fastutil.objects.Object2ObjectArrayMap (it.unimi.dsi.fastutil@8.5.9)
  35:        621450        9943200  net.minecraft.world.item.ItemStack$$Lambda$2526/0x0000000800d8eb88 (minecraft@1.20.1)
  36:        618913        9902608  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap$MapEntrySet (it.unimi.dsi.fastutil@8.5.9)
  37:        200980        9647040  net.minecraft.client.renderer.texture.TextureAtlasSprite (minecraft@1.20.1)
  38:        293703        9398496  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.15)
  39:        390358        9368592  com.google.common.collect.ImmutableMapEntry$NonTerminalImmutableMapEntry (com.google.common@31.1-jre)
  40:        175128        9095648  [Lcom.google.common.collect.ImmutableMapEntry; (com.google.common@31.1-jre)
  41:        160142        8967952  net.minecraft.client.resources.model.SimpleBakedModel (minecraft@1.20.1)
  42:        279586        8946752  java.util.concurrent.Semaphore$FairSync (java.base@17.0.15)
  43:        158519        8877064  com.google.gson.internal.LinkedTreeMap (com.google.gson@2.10)
  44:        343254        8238096  java.util.ImmutableCollections$List12 (java.base@17.0.15)
  45:        203471        8110984  [Lcom.mojang.blaze3d.platform.NativeImage; (minecraft@1.20.1)
  46:        164433        7892784  net.minecraft.client.renderer.block.model.ItemTransforms (minecraft@1.20.1)
  47:        318170        7636080  it.unimi.dsi.fastutil.objects.ObjectArrayList (it.unimi.dsi.fastutil@8.5.9)
  48:        205376        6572032  [Lnet.minecraft.client.model.geom.ModelPart$Vertex; (minecraft@1.20.1)
  49:         97490        6540504  [D (java.base@17.0.15)
  50:        260120        6242880  java.util.ImmutableCollections$ListN (java.base@17.0.15)
  51:        148874        5954960  com.google.common.collect.RegularImmutableMap (com.google.common@31.1-jre)
  52:        105112        5886272  org.spongepowered.asm.mixin.transformer.ClassInfo$Method (org.spongepowered.mixin)
  53:        102998        5767888  org.objectweb.asm.Label (org.objectweb.asm@9.8)
  54:        143586        5743440  net.minecraft.client.renderer.block.model.BlockElementFace (minecraft@1.20.1)
  55:        228419        5482056  dev.emi.emi.jemi.impl.JemiIngredientAcceptor (emi@1.1.22+1.20.1+forge)
  56:        144752        5066216  [F (java.base@17.0.15)
  57:        103403        4963344  java.lang.invoke.MemberName (java.base@17.0.15)
  58:        206281        4950744  net.minecraft.nbt.ListTag (minecraft@1.20.1)
  59:        205376        4929024  net.minecraft.client.model.geom.ModelPart$Polygon (minecraft@1.20.1)
  60:        101594        4876512  org.embeddedt.modernfix.render.font.CompactUnihexContents$Shorts (modernfix@5.27.12+mc1.20.1)
  61:        300400        4806400  java.util.concurrent.Semaphore (java.base@17.0.15)
  62:        114728        4589120  java.util.EnumMap (java.base@17.0.15)
  63:        114441        4577640  org.objectweb.asm.tree.VarInsnNode (org.objectweb.asm.tree@9.8)
  64:         19270        4506120  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@17.0.15)
  65:        279921        4478736  java.util.concurrent.atomic.AtomicReference (java.base@17.0.15)
  66:         60051        4323672  java.lang.reflect.Constructor (java.base@17.0.15)
  67:         48961        4308568  java.lang.reflect.Method (java.base@17.0.15)
  68:          2084        4284800  [Lcom.google.common.collect.HashBiMap$BiEntry; (com.google.common@31.1-jre)
  69:         76010        4256560  java.util.LinkedHashMap (java.base@17.0.15)
  70:        122785        4255040  [Ljava.util.Map$Entry; (java.base@17.0.15)
  71:         64853        4150592  java.lang.Class$ReflectionData (java.base@17.0.15)
  72:        128352        4107264  [Lcom.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex; (citadel@2.6.3)
  73:        254123        4065968  com.google.gson.JsonPrimitive (com.google.gson@2.10)
  74:         98590        3943600  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@17.0.15)
  75:        121514        3888448  net.minecraft.core.Holder$Reference (minecraft@1.20.1)
  76:         80970        3886560  net.fabricmc.fabric.impl.renderer.SpriteFinderImpl$Node (fabric_renderer_api_v1@3.2.2+cf68abbe77)
  77:         68889        3857784  org.objectweb.asm.tree.MethodInsnNode (org.objectweb.asm.tree@9.8)
  78:        155592        3734208  net.minecraft.world.phys.Vec2 (minecraft@1.20.1)
  79:         92761        3710440  org.objectweb.asm.tree.LabelNode (org.objectweb.asm.tree@9.8)
  80:         21345        3585960  com.github.alexthe666.citadel.client.model.AdvancedModelBox (citadel@2.6.3)
  81:         80608        3487776  [Lnet.minecraft.world.item.ItemStack; (minecraft@1.20.1)
  82:        143586        3446064  net.minecraft.client.renderer.block.model.BlockFaceUV (minecraft@1.20.1)
  83:        107098        3427136  org.spongepowered.asm.mixin.transformer.ClassInfo$FrameData (org.spongepowered.mixin)
  84:        105752        3384064  org.objectweb.asm.Type (org.objectweb.asm@9.8)
  85:         69016        3312768  org.objectweb.asm.tree.LineNumberNode (org.objectweb.asm.tree@9.8)
  86:        205316        3285056  net.minecraft.nbt.StringTag (minecraft@1.20.1)
  87:        202530        3240480  org.embeddedt.modernfix.resources.PackResourcesCacheEngine$Node (modernfix@5.27.12+mc1.20.1)
  88:          5744        3170688  com.github.benmanes.caffeine.cache.MpscGrowableArrayQueue (com.github.benmanes.caffeine@3.2.1)
  89:           328        3141096  [Lnet.minecraft.world.level.block.state.BlockState; (minecraft@1.20.1)
  90:        128352        3080448  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$TexturedQuad (citadel@2.6.3)
  91:         76982        3079280  net.minecraft.world.item.crafting.Ingredient (minecraft@1.20.1)
  92:         75232        3009280  org.embeddedt.modernfix.forge.recipe.IngredientItemStacksSoftReference (modernfix@5.27.12+mc1.20.1)
  93:         88728        2839296  net.minecraft.client.renderer.block.model.Variant (minecraft@1.20.1)
  94:         69324        2772960  java.lang.ref.SoftReference (java.base@17.0.15)
  95:        122436        2757104  [Ljava.lang.String; (java.base@17.0.15)
  96:         34236        2738880  me.jellysquid.mods.sodium.client.render.immediate.model.ModelCuboid (embeddium@0.3.31+mc1.20.1)
  97:        112990        2711760  net.minecraft.client.gui.font.providers.UnihexProvider$Glyph (minecraft@1.20.1)
  98:         56372        2705856  java.lang.invoke.MethodHandleImpl$CountingWrapper (java.base@17.0.15)
  99:         48015        2688840  net.minecraft.client.renderer.block.model.BlockModel (minecraft@1.20.1)
 100:         33254        2660320  net.minecraft.client.model.geom.ModelPart (minecraft@1.20.1)
 101:         44251        2478056  dev.emi.emi.jemi.JemiRecipe (emi@1.1.22+1.20.1+forge)
 102:         60528        2421120  org.objectweb.asm.tree.InsnNode (org.objectweb.asm.tree@9.8)
 103:        150153        2402448  com.google.gson.JsonObject (com.google.gson@2.10)
 104:         96234        2309616  it.unimi.dsi.fastutil.doubles.DoubleArrayList (it.unimi.dsi.fastutil@8.5.9)
 105:         30897        2224584  java.lang.reflect.Field (java.base@17.0.15)
 106:         45075        2163600  org.spongepowered.asm.mixin.transformer.ClassInfo$Field (org.spongepowered.mixin)
 107:         87733        2105592  net.minecraftforge.forgespi.language.ModFileScanData$ClassData (net.minecraftforge.forgespi@7.0.1)
 108:          5452        2060768  [Lnet.minecraft.world.phys.shapes.VoxelShape; (minecraft@1.20.1)
 109:         42610        2045280  it.unimi.dsi.fastutil.objects.ObjectOpenHashSet (it.unimi.dsi.fastutil@8.5.9)
 110:         49764        1990560  java.lang.invoke.MethodType (java.base@17.0.15)
 111:         82068        1969632  net.minecraft.client.resources.model.Material (minecraft@1.20.1)
 112:         79182        1966312  [Lnet.minecraft.world.item.crafting.Ingredient$Value; (minecraft@1.20.1)
 113:         40625        1950000  org.objectweb.asm.Frame (org.objectweb.asm@9.8)
 114:         48015        1920600  net.minecraftforge.client.model.geometry.BlockGeometryBakingContext (forge@47.4.13)
 115:         59905        1916960  com.mojang.serialization.MapCodec$1 (datafixerupper@6.0.8)
 116:         79795        1915080  net.minecraftforge.registries.ForgeRegistry$OverrideOwner (forge@47.4.13)
 117:         29432        1883648  java.util.concurrent.ConcurrentHashMap (java.base@17.0.15)
 118:         58429        1869728  java.lang.invoke.BoundMethodHandle$Species_L (java.base@17.0.15)
 119:         70398        1865256  [Ljava.lang.Class; (java.base@17.0.15)
 120:         57891        1852512  jdk.internal.reflect.NativeConstructorAccessorImpl (java.base@17.0.15)
 121:         75106        1802544  java.lang.invoke.ResolvedMethodName (java.base@17.0.15)
 122:        111182        1778912  java.lang.Object (java.base@17.0.15)
 123:         74024        1776576  cpw.mods.modlauncher.TransformerAuditTrail$TransformerActivity (cpw.mods.modlauncher@10.0.9)
 124:         54696        1750272  java.lang.invoke.DirectMethodHandle (java.base@17.0.15)
 125:        108855        1741680  java.util.HashSet (java.base@17.0.15)
 126:         54222        1735856  [[I (java.base@17.0.15)
 127:         69666        1671984  it.unimi.dsi.fastutil.longs.LongArrayList (it.unimi.dsi.fastutil@8.5.9)
 128:         34236        1643328  net.minecraft.client.model.geom.ModelPart$Cube (minecraft@1.20.1)
 129:         29344        1643264  net.minecraft.world.phys.shapes.BitSetDiscreteVoxelShape (minecraft@1.20.1)
 130:         33767        1620816  java.lang.invoke.BoundMethodHandle$Species_LLLL (java.base@17.0.15)
 131:         49772        1592704  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry (java.base@17.0.15)
 132:         96339        1541424  java.lang.Integer (java.base@17.0.15)
 133:         30854        1480992  org.objectweb.asm.tree.FieldInsnNode (org.objectweb.asm.tree@9.8)
 134:         30520        1464960  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@17.0.15)
 135:         45071        1442272  java.util.Hashtable$Entry (java.base@17.0.15)
 136:         29756        1428288  xfacthd.framedblocks.common.compat.emi.FramingSawEmiRecipe (framedblocks@9.4.3)
 137:         35148        1405920  org.objectweb.asm.tree.LocalVariableNode (org.objectweb.asm.tree@9.8)
 138:         58499        1404200  [Ljava.lang.reflect.Constructor; (java.base@17.0.15)
 139:         57648        1383552  software.bernie.geckolib.cache.object.GeoVertex (geckolib@4.8.3)
 140:         42937        1373984  com.google.common.collect.MapMakerInternalMap$StrongKeyWeakValueEntry (com.google.common@31.1-jre)
 141:         42937        1373984  com.google.common.collect.MapMakerInternalMap$WeakValueReferenceImpl (com.google.common@31.1-jre)
 142:         28555        1370640  com.google.common.cache.LocalCache$StrongAccessEntry (com.google.common@31.1-jre)
 143:         34236        1369312  [Lnet.minecraft.client.model.geom.ModelPart$Polygon; (minecraft@1.20.1)
 144:         56240        1349760  net.minecraft.util.random.WeightedEntry$Wrapper (minecraft@1.20.1)
 145:         84234        1347744  net.minecraft.client.renderer.block.model.MultiVariant (minecraft@1.20.1)
 146:         41863        1339616  org.openjdk.nashorn.internal.runtime.PropertyHashMap$Element (org.openjdk.nashorn)
 147:         83670        1338720  com.google.gson.internal.LazilyParsedNumber (com.google.gson@2.10)
 148:         55736        1337664  java.util.Collections$UnmodifiableRandomAccessList (java.base@17.0.15)
 149:          5744        1332608  com.github.benmanes.caffeine.cache.SSA (com.github.benmanes.caffeine@3.2.1)
 150:         23706        1327536  org.openjdk.nashorn.internal.runtime.ScriptFunction (org.openjdk.nashorn)
 151:         31989        1279560  org.openjdk.nashorn.internal.runtime.CompiledFunction (org.openjdk.nashorn)
 152:         78829        1261264  net.minecraft.world.item.crafting.Ingredient$ItemValue (minecraft@1.20.1)
 153:         52494        1259856  java.util.Collections$SynchronizedRandomAccessList (java.base@17.0.15)
 154:         39222        1255104  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@17.0.15)
 155:         52279        1254696  dev.emi.emi.jemi.impl.JemiRecipeSlot$IngredientRenderer (emi@1.1.22+1.20.1+forge)
 156:         31175        1247000  net.minecraft.client.renderer.block.model.BlockElement (minecraft@1.20.1)
 157:         29759        1190360  dev.emi.emi.api.stack.FluidEmiStack (emi@1.1.22+1.20.1+forge)
 158:          9214        1179392  org.spongepowered.asm.mixin.transformer.MixinInfo$MixinMethodNode (org.spongepowered.mixin)
 159:         36813        1178016  java.util.LinkedList (java.base@17.0.15)
 160:         72011        1152176  com.mojang.datafixers.util.Either$Left (datafixerupper@6.0.8)
 161:         35712        1142784  it.unimi.dsi.fastutil.objects.Object2IntRBTreeMap$Entry (it.unimi.dsi.fastutil@8.5.9)
 162:          7920        1140480  me.jellysquid.mods.sodium.client.render.chunk.RenderSection (embeddium@0.3.31+mc1.20.1)
 163:           545        1129240  [Lnet.minecraftforge.eventbus.ListenerList$ListenerListInst; (net.minecraftforge.eventbus)
 164:         10792        1122368  net.minecraft.world.level.block.state.BlockBehaviour$Properties (minecraft@1.20.1)
 165:         35049        1121568  net.minecraftforge.common.util.LazyOptional (forge@47.4.13)
 166:         46558        1117392  net.minecraft.core.NonNullList (minecraft@1.20.1)
 167:         46321        1111704  net.p3pp3rf1y.sophisticatedstorage.client.render.BarrelDynamicModelBase$BarrelModelPartDefinition (sophisticatedstorage@1.4.39.1666)
 168:         45692        1096608  dev.emi.emi.jemi.impl.JemiRecipeSlot$OffsetDrawable (emi@1.1.22+1.20.1+forge)
 169:         34076        1090432  java.util.Collections$UnmodifiableMap (java.base@17.0.15)
 170:         26850        1074000  java.util.TreeMap$Entry (java.base@17.0.15)
 171:         44251        1062024  dev.emi.emi.jemi.impl.JemiRecipeLayoutBuilder (emi@1.1.22+1.20.1+forge)
 172:         32834        1050688  net.minecraft.network.chat.MutableComponent (minecraft@1.20.1)
 173:         32579        1042528  net.minecraft.world.phys.shapes.ArrayVoxelShape (minecraft@1.20.1)
 174:         18170        1017520  net.minecraft.network.chat.Style (minecraft@1.20.1)
 175:         41952        1006848  net.minecraft.resources.ResourceKey (minecraft@1.20.1)
 176:         41952        1006848  net.minecraft.resources.ResourceKey$InternKey (minecraft@1.20.1)
 177:         39921         958104  org.objectweb.asm.Edge (org.objectweb.asm@9.8)
