436675:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       5527988      782035200  [B (java.base@17.0.15)
   2:       2553044      424926184  [I (java.base@17.0.15)
   3:       3993110      342186056  [Ljava.lang.Object; (java.base@17.0.15)
   4:       3747048      179858304  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   5:       4520551      144657632  java.util.HashMap$Node (java.base@17.0.15)
   6:       4768206      114436944  java.lang.String (java.base@17.0.15)
   7:       2009181       96440688  dev.emi.emi.api.stack.ItemEmiStack (emi@1.1.22+1.20.1+forge)
   8:       3157066       75769584  java.util.ArrayList (java.base@17.0.15)
   9:        607542       63184368  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
  10:        622960       59804160  net.minecraft.world.item.ItemStack (minecraft@1.20.1)
  11:        861868       55159552  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap (it.unimi.dsi.fastutil@8.5.9)
  12:        265860       52535456  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  13:       1012466       48598368  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  14:        993933       47708784  java.util.HashMap (java.base@17.0.15)
  15:       1257309       40233888  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  16:        940008       37600320  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  17:        751469       30058760  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
  18:         83525       29205816  [J (java.base@17.0.15)
  19:       1105025       26520600  org.joml.Vector3f (org.joml@1.10.5)
  20:        547137       26262576  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  21:        821504       19716096  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  22:        611902       19580864  malte0811.ferritecore.fastmap.immutable.FastMapEntryImmutableMap (ferritecore@6.0.1)
  23:        791270       18990480  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  24:        694734       16673616  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
  25:        689412       16545888  net.minecraft.client.resources.model.ModelBakery$BakedCacheKey (minecraft@1.20.1)
  26:        137598       16012768  java.lang.Class (java.base@17.0.15)
  27:          1605       15474344  [C (java.base@17.0.15)
  28:        322218       15466464  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  29:        879076       14065216  net.minecraft.nbt.CompoundTag (minecraft@1.20.1)
  30:        225772       12643232  dev.emi.emi.jemi.impl.JemiRecipeSlotBuilder (emi@1.1.22+1.20.1+forge)
  31:        513408       12321792  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex (citadel@2.6.3)
  32:        201093       11261208  net.minecraft.client.renderer.texture.SpriteContents (minecraft@1.20.1)
  33:        280130       11205200  net.minecraftforge.eventbus.ListenerList$ListenerListInst (net.minecraftforge.eventbus)
  34:        262899       10515960  it.unimi.dsi.fastutil.objects.Object2ObjectArrayMap (it.unimi.dsi.fastutil@8.5.9)
  35:        622959        9967344  net.minecraft.world.item.ItemStack$$Lambda$2526/0x0000000800d8f7b8 (minecraft@1.20.1)
  36:        618704        9899264  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap$MapEntrySet (it.unimi.dsi.fastutil@8.5.9)
  37:        201092        9652416  net.minecraft.client.renderer.texture.TextureAtlasSprite (minecraft@1.20.1)
  38:        284591        9106912  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.15)
  39:        175247        9099496  [Lcom.google.common.collect.ImmutableMapEntry; (com.google.common@31.1-jre)
  40:        160261        8974616  net.minecraft.client.resources.model.SimpleBakedModel (minecraft@1.20.1)
  41:        280131        8964192  java.util.concurrent.Semaphore$FairSync (java.base@17.0.15)
  42:        158520        8877120  com.google.gson.internal.LinkedTreeMap (com.google.gson@2.10)
  43:        343263        8238312  java.util.ImmutableCollections$List12 (java.base@17.0.15)
  44:        203583        8115464  [Lcom.mojang.blaze3d.platform.NativeImage; (minecraft@1.20.1)
  45:        164553        7898544  net.minecraft.client.renderer.block.model.ItemTransforms (minecraft@1.20.1)
  46:        318267        7638408  it.unimi.dsi.fastutil.objects.ObjectArrayList (it.unimi.dsi.fastutil@8.5.9)
  47:        205376        6572032  [Lnet.minecraft.client.model.geom.ModelPart$Vertex; (minecraft@1.20.1)
  48:         97511        6541176  [D (java.base@17.0.15)
  49:        267459        6419016  com.google.common.collect.ImmutableMapEntry$NonTerminalImmutableMapEntry (com.google.common@31.1-jre)
  50:        260237        6245688  java.util.ImmutableCollections$ListN (java.base@17.0.15)
  51:        148993        5959720  com.google.common.collect.RegularImmutableMap (com.google.common@31.1-jre)
  52:        105109        5886104  org.spongepowered.asm.mixin.transformer.ClassInfo$Method (org.spongepowered.mixin)
  53:        102998        5767888  org.objectweb.asm.Label (org.objectweb.asm@9.8)
  54:        143586        5743440  net.minecraft.client.renderer.block.model.BlockElementFace (minecraft@1.20.1)
  55:        228550        5485200  dev.emi.emi.jemi.impl.JemiIngredientAcceptor (emi@1.1.22+1.20.1+forge)
  56:        144750        5066448  [F (java.base@17.0.15)
  57:        103383        4962384  java.lang.invoke.MemberName (java.base@17.0.15)
  58:        206378        4953072  net.minecraft.nbt.ListTag (minecraft@1.20.1)
