448089:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       5184073      717214400  [B (java.base@17.0.15)
   2:       2537051      422564032  [I (java.base@17.0.15)
   3:       3978521      341104232  [Ljava.lang.Object; (java.base@17.0.15)
   4:       3731398      179107104  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   5:       4515972      144511104  java.util.HashMap$Node (java.base@17.0.15)
   6:       4758088      114194112  java.lang.String (java.base@17.0.15)
   7:       2002712       96130176  dev.emi.emi.api.stack.ItemEmiStack (emi@1.1.22+1.20.1+forge)
   8:       3147413       75537912  java.util.ArrayList (java.base@17.0.15)
   9:        607532       63183328  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
  10:        620866       59603136  net.minecraft.world.item.ItemStack (minecraft@1.20.1)
  11:        857931       54907584  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap (it.unimi.dsi.fastutil@8.5.9)
  12:        264576       49868536  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  13:       1009453       48453744  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  14:        990114       47525472  java.util.HashMap (java.base@17.0.15)
  15:       1257133       40228256  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  16:        103647       33846912  [J (java.base@17.0.15)
  17:       1101499       26435976  org.joml.Vector3f (org.joml@1.10.5)
  18:        547091       26260368  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  19:        606863       24274520  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  20:        818528       19644672  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  21:        611892       19580544  malte0811.ferritecore.fastmap.immutable.FastMapEntryImmutableMap (ferritecore@6.0.1)
  22:        788489       18923736  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  23:        729328       17503872  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
  24:        418240       16729600  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
  25:        689381       16545144  net.minecraft.client.resources.model.ModelBakery$BakedCacheKey (minecraft@1.20.1)
  26:        137062       15951752  java.lang.Class (java.base@17.0.15)
  27:        321418       15428064  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  28:          1601       15359728  [C (java.base@17.0.15)
  29:        875076       14001216  net.minecraft.nbt.CompoundTag (minecraft@1.20.1)
  30:        224287       12560072  dev.emi.emi.jemi.impl.JemiRecipeSlotBuilder (emi@1.1.22+1.20.1+forge)
  31:        513408       12321792  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex (citadel@2.6.3)
  32:        200476       11226656  net.minecraft.client.renderer.texture.SpriteContents (minecraft@1.20.1)
  33:        279585       11183400  net.minecraftforge.eventbus.ListenerList$ListenerListInst (net.minecraftforge.eventbus)
  34:        262808       10512320  it.unimi.dsi.fastutil.objects.Object2ObjectArrayMap (it.unimi.dsi.fastutil@8.5.9)
  35:        620865        9933840  net.minecraft.world.item.ItemStack$$Lambda$2526/0x0000000800d93380 (minecraft@1.20.1)
  36:        615432        9846912  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap$MapEntrySet (it.unimi.dsi.fastutil@8.5.9)
  37:        200475        9622800  net.minecraft.client.renderer.texture.TextureAtlasSprite (minecraft@1.20.1)
  38:        284367        9099744  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.15)
  39:        174620        9079680  [Lcom.google.common.collect.ImmutableMapEntry; (com.google.common@31.1-jre)
  40:        279586        8946752  java.util.concurrent.Semaphore$FairSync (java.base@17.0.15)
  41:        159722        8944432  net.minecraft.client.resources.model.SimpleBakedModel (minecraft@1.20.1)
  42:        158501        8876056  com.google.gson.internal.LinkedTreeMap (com.google.gson@2.10)
  43:        342877        8229048  java.util.ImmutableCollections$List12 (java.base@17.0.15)
  44:        202966        8091072  [Lcom.mojang.blaze3d.platform.NativeImage; (minecraft@1.20.1)
  45:        164013        7872624  net.minecraft.client.renderer.block.model.ItemTransforms (minecraft@1.20.1)
  46:        318114        7634736  it.unimi.dsi.fastutil.objects.ObjectArrayList (it.unimi.dsi.fastutil@8.5.9)
  47:        204632        6548224  [Lnet.minecraft.client.model.geom.ModelPart$Vertex; (minecraft@1.20.1)
  48:         97514        6543496  [D (java.base@17.0.15)
  49:        259257        6222168  java.util.ImmutableCollections$ListN (java.base@17.0.15)
  50:        148394        5935760  com.google.common.collect.RegularImmutableMap (com.google.common@31.1-jre)
  51:        105104        5885824  org.spongepowered.asm.mixin.transformer.ClassInfo$Method (org.spongepowered.mixin)
  52:        102916        5763296  org.objectweb.asm.Label (org.objectweb.asm@9.8)
  53:        142358        5694320  net.minecraft.client.renderer.block.model.BlockElementFace (minecraft@1.20.1)
  54:        230304        5527296  com.google.common.collect.ImmutableMapEntry$NonTerminalImmutableMapEntry (com.google.common@31.1-jre)
  55:        227043        5449032  dev.emi.emi.jemi.impl.JemiIngredientAcceptor (emi@1.1.22+1.20.1+forge)
  56:        143524        5026920  [F (java.base@17.0.15)
  57:        206225        4949400  net.minecraft.nbt.ListTag (minecraft@1.20.1)
  58:        103027        4945296  java.lang.invoke.MemberName (java.base@17.0.15)
  59:        204632        4911168  net.minecraft.client.model.geom.ModelPart$Polygon (minecraft@1.20.1)
  60:        101594        4876512  org.embeddedt.modernfix.render.font.CompactUnihexContents$Shorts (modernfix@5.27.12+mc1.20.1)
  61:        300400        4806400  java.util.concurrent.Semaphore (java.base@17.0.15)
  62:        114520        4580800  java.util.EnumMap (java.base@17.0.15)
  63:        114397        4575880  org.objectweb.asm.tree.VarInsnNode (org.objectweb.asm.tree@9.8)
  64:        279838        4477408  java.util.concurrent.atomic.AtomicReference (java.base@17.0.15)
  65:         19208        4409928  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@17.0.15)
  66:         59837        4308264  java.lang.reflect.Constructor (java.base@17.0.15)
  67:         48922        4305136  java.lang.reflect.Method (java.base@17.0.15)
  68:          2084        4284800  [Lcom.google.common.collect.HashBiMap$BiEntry; (com.google.common@31.1-jre)
  69:         75951        4253256  java.util.LinkedHashMap (java.base@17.0.15)
  70:        122329        4240432  [Ljava.util.Map$Entry; (java.base@17.0.15)
  71:         64609        4134976  java.lang.Class$ReflectionData (java.base@17.0.15)
  72:        128352        4107264  [Lcom.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex; (citadel@2.6.3)
  73:        254125        4066000  com.google.gson.JsonPrimitive (com.google.gson@2.10)
  74:         98522        3940880  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@17.0.15)
  75:        121264        3880448  net.minecraft.core.Holder$Reference (minecraft@1.20.1)
  76:         80669        3872112  net.fabricmc.fabric.impl.renderer.SpriteFinderImpl$Node (fabric_renderer_api_v1@3.2.2+cf68abbe77)
  77:         68825        3854200  org.objectweb.asm.tree.MethodInsnNode (org.objectweb.asm.tree@9.8)
  78:        155592        3734208  net.minecraft.world.phys.Vec2 (minecraft@1.20.1)
  79:         92697        3707880  org.objectweb.asm.tree.LabelNode (org.objectweb.asm.tree@9.8)
  80:         21345        3585960  com.github.alexthe666.citadel.client.model.AdvancedModelBox (citadel@2.6.3)
  81:         80195        3472672  [Lnet.minecraft.world.item.ItemStack; (minecraft@1.20.1)
  82:        107082        3426624  org.spongepowered.asm.mixin.transformer.ClassInfo$FrameData (org.spongepowered.mixin)
  83:        142358        3416592  net.minecraft.client.renderer.block.model.BlockFaceUV (minecraft@1.20.1)
  84:        105360        3371520  org.objectweb.asm.Type (org.objectweb.asm@9.8)
  85:         68964        3310272  org.objectweb.asm.tree.LineNumberNode (org.objectweb.asm.tree@9.8)
  86:        205029        3280464  net.minecraft.nbt.StringTag (minecraft@1.20.1)
  87:        202137        3234192  org.embeddedt.modernfix.resources.PackResourcesCacheEngine$Node (modernfix@5.27.12+mc1.20.1)
  88:          5744        3170688  com.github.benmanes.caffeine.cache.MpscGrowableArrayQueue (com.github.benmanes.caffeine@3.2.1)
  89:           328        3141096  [Lnet.minecraft.world.level.block.state.BlockState; (minecraft@1.20.1)
  90:        128352        3080448  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$TexturedQuad (citadel@2.6.3)
  91:         76566        3062640  net.minecraft.world.item.crafting.Ingredient (minecraft@1.20.1)
  92:         74829        2993160  org.embeddedt.modernfix.forge.recipe.IngredientItemStacksSoftReference (modernfix@5.27.12+mc1.20.1)
  93:         88720        2839040  net.minecraft.client.renderer.block.model.Variant (minecraft@1.20.1)
  94:         69100        2764000  java.lang.ref.SoftReference (java.base@17.0.15)
  95:        122010        2745960  [Ljava.lang.String; (java.base@17.0.15)
  96:         34112        2728960  me.jellysquid.mods.sodium.client.render.immediate.model.ModelCuboid (embeddium@0.3.31+mc1.20.1)
  97:        112990        2711760  net.minecraft.client.gui.font.providers.UnihexProvider$Glyph (minecraft@1.20.1)
  98:         56358        2705184  java.lang.invoke.MethodHandleImpl$CountingWrapper (java.base@17.0.15)
  99:         47917        2683352  net.minecraft.client.renderer.block.model.BlockModel (minecraft@1.20.1)
 100:         33168        2653440  net.minecraft.client.model.geom.ModelPart (minecraft@1.20.1)
 101:         44013        2464728  dev.emi.emi.jemi.JemiRecipe (emi@1.1.22+1.20.1+forge)
