451636:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       5193666      717591960  [B (java.base@17.0.15)
   2:       2372576      416946272  [I (java.base@17.0.15)
   3:       3984454      340274904  [Ljava.lang.Object; (java.base@17.0.15)
   4:       3705769      177876912  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   5:       4516047      144513504  java.util.HashMap$Node (java.base@17.0.15)
   6:       4768142      114435408  java.lang.String (java.base@17.0.15)
   7:       2008936       96428928  dev.emi.emi.api.stack.ItemEmiStack (emi@1.1.22+1.20.1+forge)
   8:       3144304       75463296  java.util.ArrayList (java.base@17.0.15)
   9:        607418       63171472  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
  10:        622779       59786784  net.minecraft.world.item.ItemStack (minecraft@1.20.1)
  11:        861408       55130112  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap (it.unimi.dsi.fastutil@8.5.9)
  12:        264488       49851136  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  13:       1012381       48594288  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  14:        991558       47594784  java.util.HashMap (java.base@17.0.15)
  15:       1257061       40225952  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  16:        115699       37458032  [J (java.base@17.0.15)
  17:        546594       26236512  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  18:       1014337       24344088  org.joml.Vector3f (org.joml@1.10.5)
  19:        606153       24246120  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  20:        821504       19716096  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  21:        611778       19576896  malte0811.ferritecore.fastmap.immutable.FastMapEntryImmutableMap (ferritecore@6.0.1)
  22:        789024       18936576  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  23:        417616       16704640  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
  24:        688868       16532832  net.minecraft.client.resources.model.ModelBakery$BakedCacheKey (minecraft@1.20.1)
  25:        137303       15979592  java.lang.Class (java.base@17.0.15)
  26:        321970       15454560  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  27:          1597       15363544  [C (java.base@17.0.15)
  28:        602955       14470920  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
  29:        878614       14057824  net.minecraft.nbt.CompoundTag (minecraft@1.20.1)
  30:        225324       12618144  dev.emi.emi.jemi.impl.JemiRecipeSlotBuilder (emi@1.1.22+1.20.1+forge)
  31:        513408       12321792  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex (citadel@2.6.3)
  32:        201076       11260256  net.minecraft.client.renderer.texture.SpriteContents (minecraft@1.20.1)
