459675:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       5198394      718289128  [B (java.base@17.0.15)
   2:       2561454      379525848  [I (java.base@17.0.15)
   3:       3992152      341848744  [Ljava.lang.Object; (java.base@17.0.15)
   4:       3747048      179858304  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   5:       4519640      144628480  java.util.HashMap$Node (java.base@17.0.15)
   6:       4771539      114516936  java.lang.String (java.base@17.0.15)
   7:       2009042       96434016  dev.emi.emi.api.stack.ItemEmiStack (emi@1.1.22+1.20.1+forge)
   8:       3156538       75756912  java.util.ArrayList (java.base@17.0.15)
   9:        607542       63184368  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
  10:        621459       59660064  net.minecraft.world.item.ItemStack (minecraft@1.20.1)
  11:        861374       55127936  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap (it.unimi.dsi.fastutil@8.5.9)
  12:        265081       49918312  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  13:       1012466       48598368  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  14:        991549       47594352  java.util.HashMap (java.base@17.0.15)
  15:       1257309       40233888  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  16:       1104911       26517864  org.joml.Vector3f (org.joml@1.10.5)
  17:        547137       26262576  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  18:        608079       24323160  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  19:         59880       20548936  [J (java.base@17.0.15)
  20:        821504       19716096  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  21:        611902       19580864  malte0811.ferritecore.fastmap.immutable.FastMapEntryImmutableMap (ferritecore@6.0.1)
  22:        791271       18990504  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  23:        718020       17232480  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
  24:        419129       16765160  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
  25:        689412       16545888  net.minecraft.client.resources.model.ModelBakery$BakedCacheKey (minecraft@1.20.1)
  26:        137529       16005152  java.lang.Class (java.base@17.0.15)
  27:        322226       15466848  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  28:          1602       15380184  [C (java.base@17.0.15)
  29:        878582       14057312  net.minecraft.nbt.CompoundTag (minecraft@1.20.1)
  30:        225773       12643288  dev.emi.emi.jemi.impl.JemiRecipeSlotBuilder (emi@1.1.22+1.20.1+forge)
  31:        513408       12321792  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex (citadel@2.6.3)
  32:        201093       11261208  net.minecraft.client.renderer.texture.SpriteContents (minecraft@1.20.1)
  33:        280130       11205200  net.minecraftforge.eventbus.ListenerList$ListenerListInst (net.minecraftforge.eventbus)
  34:        262920       10516800  it.unimi.dsi.fastutil.objects.Object2ObjectArrayMap (it.unimi.dsi.fastutil@8.5.9)
  35:        621458        9943328  net.minecraft.world.item.ItemStack$$Lambda$2526/0x0000000800d877b8 (minecraft@1.20.1)
  36:        619318        9909088  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap$MapEntrySet (it.unimi.dsi.fastutil@8.5.9)
  37:        201092        9652416  net.minecraft.client.renderer.texture.TextureAtlasSprite (minecraft@1.20.1)
  38:        285366        9131712  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.15)
  39:        175247        9099496  [Lcom.google.common.collect.ImmutableMapEntry; (com.google.common@31.1-jre)
  40:        160261        8974616  net.minecraft.client.resources.model.SimpleBakedModel (minecraft@1.20.1)
